crossfit_fold,heldout_rows,heldout_iv_rmse,calibration_rows,calibration_iv_rmse
0,1652,0.03230360601044382,2990,0.025466909004086925
1,1547,0.02811163922667311,3115,0.030469150847400796
2,1510,0.029337625559714822,3344,0.035746331329564125
