phase,step,total_loss,pde_loss,market_loss,boundary_loss,terminal_loss,calibrated_sigma
price_warmup,1,6.168905370624586,,0.0400485153700107,0.1750078724154156,0.0413975109469349,0.3499999998857273
price_warmup,50,0.0387646070964358,,0.0003010951531541,0.0001952269501507,0.0006702822279517,0.3499999998857273
price_warmup,100,0.0242261565014833,,0.000185807211209,9.77785496668097e-05,0.0004667649883906,0.3499999998857273
price_warmup,150,0.0219894980414092,,0.0001692412981218,0.0001011747783438,0.0004053620445788,0.3499999998857273
price_warmup,200,0.0195287813191548,,0.0001489450055752,9.349628980486908e-05,0.0003699317863584,0.3499999998857273
price_warmup,250,0.0162404655401256,,0.0001221075630903,7.735099564608725e-05,0.0003256199274626,0.3499999998857273
price_warmup,300,0.0121688009426547,,8.942893828818608e-05,5.320964890524722e-05,0.0002693810624783,0.3499999998857273
price_warmup,350,0.008217155788649,,5.8177960584848245e-05,3.0226154892505125e-05,0.0002097098181239,0.3499999998857273
price_warmup,400,0.0077955142150738,,5.243645978596342e-05,3.14578324361984e-05,0.0002237289912115,0.3499999998857273
price_warmup,450,0.0061277059439262,,4.050626365143105e-05,2.8016574449372e-05,0.0001796913834289,0.3499999998857273
price_warmup,500,0.004663866265447,,3.0579228382652647e-05,1.410118939832984e-05,0.0001464931533198,0.3499999998857273
price_warmup,550,0.0036784638700737,,2.334379639539722e-05,1.0694174118965976e-05,0.0001237142489344,0.3499999998857273
price_warmup,600,0.0029879903096806,,1.849968065599657e-05,7.990893540821823e-06,0.0001058113308672,0.3499999998857273
price_warmup,650,0.0067450580372414,,4.834015154614228e-05,6.667239867426281e-05,0.0001244318895884,0.3499999998857273
price_warmup,700,0.0027873379573877,,1.6799182885255388e-05,8.876171455407385e-06,0.0001018657954308,0.3499999998857273
price_warmup,750,0.0023491427253301,,1.4113248341108732e-05,5.354489337926609e-06,8.842729978400091e-05,0.3499999998857273
price_warmup,800,0.0020394716799082,,1.2152189413095836e-05,4.278673014616593e-06,7.814660084524558e-05,0.3499999998857273
price_warmup,850,0.0018358177398937,,1.1162617819522708e-05,2.050435725370839e-06,6.990516006877814e-05,0.3499999998857273
price_warmup,900,0.0083023230177162,,4.73676855416364e-05,0.0001377480381188,0.0002188074082364,0.3499999998857273
price_warmup,950,0.0046624656365776,,2.804552255709632e-05,3.6149746294489615e-05,0.0001496415917923,0.3499999998857273
price_warmup,1000,0.0032091235818045,,1.9321056175001744e-05,1.1756220038440536e-05,0.0001159455763919,0.3499999998857273
price_warmup,1050,0.0025218213147204,,1.4957452650280832e-05,7.087604215389892e-06,9.552000075384688e-05,0.3499999998857273
price_warmup,1100,0.002135146294421,,1.2631166396889038e-05,5.205727444445469e-06,8.199723802877245e-05,0.3499999998857273
price_warmup,1150,0.0018906300084021,,1.123569289804278e-05,4.258208171461745e-06,7.244786368833013e-05,0.3499999998857273
price_warmup,1200,0.0017178834064259,,1.026617090576554e-05,3.7326296473795086e-06,6.5394001937557e-05,0.3499999998857273
price_warmup,1250,0.0015843634825529,,9.505192555353008e-06,3.4145270331485427e-06,5.996989566861977e-05,0.3499999998857273
price_warmup,1300,0.0014746423868774,,8.86130733052545e-06,3.2057222625046404e-06,5.5645443119989656e-05,0.3499999998857273
price_warmup,1350,0.0013810122162286,,8.295546514747016e-06,3.0584989726213373e-06,5.208725750277e-05,0.3499999998857273
price_warmup,1400,0.0012992449991294,,7.789629711860953e-06,2.9472051949554586e-06,4.908099759937608e-05,0.3499999998857273
price_warmup,1450,0.0012267347125823,,7.333105119356234e-06,2.856630519405613e-06,4.648578954526743e-05,0.3499999998857273
price_warmup,1500,0.0011616981975413,,6.91856903647814e-06,2.77730934458132e-06,4.420682004477318e-05,0.3499999998857273
price_warmup,1550,0.0011028263491068,,6.540063696782889e-06,2.703412535904499e-06,4.217858540695153e-05,0.3499999998857273
price_warmup,1600,0.0010491205065205,,6.192597020781153e-06,2.631567995998029e-06,4.035451244824856e-05,0.3499999998857273
price_warmup,1650,0.0009998043990211,,5.871993351745696e-06,2.560057361667346e-06,3.870044902298778e-05,0.3499999998857273
price_warmup,1700,0.0009542683922639,,5.57480766799662e-06,2.4882256133193782e-06,3.719053693310933e-05,0.3499999998857273
price_warmup,1750,0.0009120295912716,,5.298233922865685e-06,2.41605107138986e-06,3.5804568827122765e-05,0.3499999998857273
