spot,strike,tau,rate,dividend,call_price,pinn_price,absolute_error
100.0,62.5,0.08,0.03,0.01,37.569852135382014,37.5726074668292,0.002755331447183096
100.0,67.3529411764706,0.08,0.03,0.01,32.72854405243956,32.724085606165694,0.004458446273865491
100.0,72.20588235294117,0.08,0.03,0.01,27.887235972344897,27.890084599777595,0.002848627432697981
100.0,77.05882352941177,0.08,0.03,0.01,23.045929647553905,23.054283628018364,0.008353980464459454
100.0,81.91176470588235,0.08,0.03,0.01,18.204859128602052,18.205579855221444,0.0007207266193915984
100.0,86.76470588235294,0.08,0.03,0.01,13.372675452041136,13.361868644087773,0.010806807953363418
100.0,91.61764705882354,0.08,0.03,0.01,8.654925103557744,8.654948951292765,2.3847735020510186e-05
100.0,96.47058823529412,0.08,0.03,0.01,4.52328097232953,4.517186129942694,0.006094842386836774
100.0,101.3235294117647,0.08,0.03,0.01,1.7345212145526006,1.726126195363412,0.008395019189188613
100.0,106.17647058823529,0.08,0.03,0.01,0.45663548895559813,0.47235128126605447,0.015715792310456334
100.0,111.02941176470588,0.08,0.03,0.01,0.08049389569799636,0.09629642113792325,0.015802525439926884
100.0,115.88235294117646,0.08,0.03,0.01,0.009555898514680639,0.012677198070676169,0.00312129955599553
100.0,120.73529411764706,0.08,0.03,0.01,0.0007813969849016569,0.000984614068018671,0.00020321708311701403
100.0,125.58823529411765,0.08,0.03,0.01,4.5334806783199014e-05,1.1133321120890772e-06,4.4221474671109936e-05
100.0,130.44117647058823,0.08,0.03,0.01,1.92583317048793e-06,2.118966880437074e-10,1.9256212737998865e-06
100.0,135.2941176470588,0.08,0.03,0.01,6.176819182098193e-08,3.9626783894998463e-11,6.172856503708692e-08
100.0,140.1470588235294,0.08,0.03,0.01,1.539425871998798e-09,4.506821857306077e-11,1.4943576534257371e-09
100.0,145.0,0.08,0.03,0.01,3.060929757484949e-11,7.176859918527393e-11,4.115930161042444e-11
100.0,62.5,0.15,0.03,0.01,37.63073057990761,37.62658790782452,0.00414267208309127
100.0,67.3529411764706,0.15,0.03,0.01,32.79957873330373,32.79826050297187,0.001318230331861514
100.0,72.20588235294117,0.15,0.03,0.01,27.968442115691673,27.97317221324268,0.004730097551007617
100.0,77.05882352941177,0.15,0.03,0.01,23.137854687396555,23.138469368699894,0.000614681303339637
100.0,81.91176470588235,0.15,0.03,0.01,18.315881919649385,18.306876658831605,0.00900526081777997
