instrument,expiry,strike,cp,ts,tau,price_usdc,mark_usdc,trade_iv,index,f_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
HYPE_USDC-10JUL26-50-P,2026-07-10,50.0,P,1783379148328,0.009235529934043633,0.008,0.00213378,1.3502,71.041,71.04155396823019,1.0000077978664461,71.04101139120215,0.7038188086127402,0.35123433008013044,True,0.29629380239663794,0.2962112272772086,1.3501741287375673,3.370968425925926,0.0008228545964414413,False,False,2026-07-06
HYPE_USDC-10JUL26-52-P,2026-07-10,52.0,P,1783380175704,0.00920295205479452,0.018,0.0076379,1.3143,70.797,70.79641189629064,0.9999916930984454,70.7970113520775,0.7344942817063433,0.3085730686859941,True,0.26575996631424736,0.26561360279123836,1.3143311644883617,3.3590774999999997,0.0016384577942972702,True,False,2026-07-06
HYPE_USDC-10JUL26-55-P,2026-07-10,55.0,P,1783324855320,0.010957149923896499,0.06,0.06064147,1.1931,70.919,70.92474258702666,1.0000809738860765,70.91901137163983,0.7755325255703471,0.25420535582617293,True,0.2253135099120933,0.2253225550184419,1.1927862697719933,3.999359722222222,0.004619465182719854,False,False,2026-07-06
HYPE_USDC-10JUL26-60-P,2026-07-10,60.0,P,1783346471922,0.010271691971080668,0.234,0.30944893,1.0425,69.792,69.79112436831413,0.9999874536954684,69.7920111909289,0.8596972486701802,0.15117498814397717,True,0.14365557059963363,0.14473662455856862,1.0425651406914906,3.749167569444444,0.013452525369891853,True,False,2026-07-06
HYPE_USDC-10JUL26-61-P,2026-07-10,61.0,P,1783300733388,0.011722051369863014,0.298,0.23790621,1.1207,72.253,72.25384105036808,1.000011640352208,72.25301158554255,0.8442554664697988,0.16930014479540423,True,0.15986892908770933,0.15903721579740804,1.1206442339676852,4.278548750000001,0.014964240068254494,False,False,2026-07-06
HYPE_USDC-10JUL26-62-P,2026-07-10,62.0,P,1783354250859,0.01002502349695586,0.336,0.28806945,1.0720999999999998,71.156,71.15672966882161,1.000010254494654,71.15601140964205,0.871324836394619,0.13774042516479126,True,0.1333971820735841,0.1327235840310509,1.0720440269314273,3.659133576388889,0.01634341721110908,True,False,2026-07-06
HYPE_USDC-10JUL26-64-P,2026-07-10,64.0,P,1783339932777,0.010479046898782344,0.75,0.82220202,0.9645,69.465,69.46462079185851,0.999994541018621,69.46501113849548,0.9213271393910865,0.08194010558801253,True,0.08946966302365289,0.09050906428216621,0.9645384063988114,3.8248521180555555,0.027745886906442568,False,False,2026-07-06
HYPE_USDC-10JUL26-65-P,2026-07-10,65.0,P,1783339910518,0.01047975272704211,0.95,1.0285311,0.943,69.443,69.4427947235036,0.9999970439569661,69.44301113496785,0.9360193191171893,0.0661191626350814,True,0.07766096323913896,0.07879183441993165,0.943023135055884,3.8251097453703706,0.031214746180568378,True,False,2026-07-06
HYPE_USDC-10JUL26-66-P,2026-07-10,66.0,P,1783339900022,0.010480085553018771,1.19,1.28299221,0.9234,69.449,69.44960669463579,1.000008735829685,69.44901113592992,0.9503375054659986,0.050938088569029934,True,0.06679736773861555,0.06813636750951213,0.9233304671521974,3.8252312268518516,0.03439421790834989,False,False,2026-07-06
HYPE_USDC-10JUL26-67-P,2026-07-10,67.0,P,1783339893009,0.010480307933789955,1.5,1.59250249,0.915,69.475,69.4755737135919,1.0000082578422729,69.47501114009894,0.9643755200685324,0.036274516584460605,True,0.05721497664941988,0.058546426453917944,0.9149276500635631,3.8253123958333335,0.03716845406807136,True,False,2026-07-06
HYPE_USDC-10JUL26-68-P,2026-07-10,68.0,P,1783307208857,0.011516715594875698,1.07,1.17886861,0.8814,72.149,72.14942977010652,1.000005956702193,72.14901156886648,0.9424938543349796,0.05922588028072161,True,0.07233656366705621,0.07384550478257068,0.881357482425366,4.2036011921296295,0.03412603738800838,False,False,2026-07-06
HYPE_USDC-10JUL26-70-P,2026-07-10,70.0,P,1783299716277,0.011754303748097413,1.69,1.75443486,0.8881999999999999,72.429,72.4287781481814,0.9999969369752639,72.4290116137636,0.9664635543183082,0.034111689975627205,True,0.0568696372073767,0.05775926497619954,0.8882277745970651,4.290320868055556,0.039888807268630214,True,False,2026-07-06
HYPE_USDC-10JUL26-70-C,2026-07-10,70.0,C,1783339423789,0.010495186802384577,2.43,2.39313481,0.9782,69.107,69.2637696820649,1.0022685065487564,69.1070110810913,1.0129218281175676,-0.012839053599420515,True,0.03516285774750985,0.03462940695252839,1.0045502176732195,3.830743182870371,0.04076039674326897,False,False,2026-07-06
HYPE_USDC-10JUL26-71-C,2026-07-10,71.0,C,1783339423577,0.010495193524860478,2.0,2.00056055,0.9687,69.117,69.27997414787544,1.0023579459159893,69.11701108269477,1.027243494587061,-0.02687899591836142,True,0.028936436467241155,0.028944546626972007,0.9933360102309092,3.8307456365740746,0.03995124646967611,True,False,2026-07-06
HYPE_USDC-10JUL26-72-C,2026-07-10,72.0,C,1783339423735,0.010495188514713344,1.87,1.91650033,1.0553,69.107,69.26374090527878,1.0022680901396208,69.1070110810913,1.0418624517780695,-0.04100993056611678,True,0.027059483122569308,0.027732357397878882,1.077293524888709,3.8307438078703706,0.03887462591358513,False,False,2026-07-06
HYPE_USDC-10JUL26-73-C,2026-07-10,73.0,C,1783299716274,0.01175430384322679,2.48,2.53113622,0.8767,72.429,72.42872367012514,0.9999961848172022,72.4290116137636,1.00788342093195,-0.007852509123404983,True,0.034240423067277204,0.03494644153778582,0.8766553022038737,4.290320902777778,0.04322560109536562,True,False,2026-07-06
HYPE_USDC-10JUL26-74-C,2026-07-10,74.0,C,1783339423973,0.010495180967782852,1.06,0.99637727,0.963,69.107,69.26407467047352,1.0022729198268412,69.1070110810913,1.0708030754385713,-0.06840890475423117,True,0.015338530540066024,0.01441788979747416,0.9809525525775094,3.830741053240741,0.03350344146093394,False,False,2026-07-06
HYPE_USDC-10JUL26-77-C,2026-07-10,77.0,C,1783347748719,0.010231205003805175,0.37,0.4171077,0.8583,69.495,69.49506633838891,1.0000009545778676,69.49501114330589,1.1079932031555193,-0.10255045397010304,True,0.0053241231839940536,0.006001980475114694,0.8583047978170159,3.734389826388889,0.021122673550089097,True,False,2026-07-06
HYPE_USDC-10JUL26-80-C,2026-07-10,80.0,C,1783368386446,0.009576786973617453,0.294,0.29731562,0.9078,71.165,71.16566729252493,1.0000093766953548,71.16501141108517,1.124147926259429,-0.11702534980443337,True,0.004131243629003401,0.004177834220844205,0.9078538866899182,3.4955272453703703,0.017367816699679236,False,False,2026-07-06
HYPE_USDC-17JUL26-52-P,2026-07-17,52.0,P,1783378198563,0.028443728976407914,0.136,0.1496498,1.0184,71.275,71.2738510780785,0.9999838804360363,71.27404779657648,0.7295783192840877,0.3152885565570615,True,0.272329808627886,0.2725213201306278,1.0184071032268014,10.381961076388889,0.010619982717811189,False,True,2026-07-06
HYPE_USDC-17JUL26-62-P,2026-07-17,62.0,P,1783307081973,0.030698821251902587,1.0,1.09004096,0.9226000000000001,72.218,72.21753454162206,0.9999935548148946,72.21703519850102,0.8585231978795899,0.1525415776007212,True,0.15532395047330672,0.15657076100426404,0.9225744539544497,11.205069756944445,0.04135717232355079,True,True,2026-07-06
HYPE_USDC-17JUL26-63-P,2026-07-17,63.0,P,1783307422691,0.030688017154997464,1.21,1.29531464,0.9109,71.989,71.98803825784279,0.9999866404289931,71.98803825784279,0.8751453925491075,0.1333652435147847,True,0.1416629554665183,0.1428480779127561,0.9108999999999993,11.201126261574075,0.04595914050268866,False,True,2026-07-06
HYPE_USDC-17JUL26-71-C,2026-07-17,71.0,C,1783330752900,0.02994822108066971,3.9,3.93528504,0.9213,69.803,69.80287169084423,0.9999981618389501,69.80206746186501,1.0171618489493806,-0.017016247914153314,True,0.05587227057609273,0.05637777193562305,0.9213816763825532,10.931100694444444,0.0690140256614393,True,True,2026-07-06
HYPE_USDC-17JUL26-72-C,2026-07-17,72.0,C,1783330760997,0.029947964326484017,3.89,3.88900059,1.0063,69.784,69.78452172494868,1.0000074762832263,69.78306771569686,1.0317689141058566,-0.03127472154538469,True,0.055744181609330305,0.05572985994029633,1.0064403844817336,10.931006979166666,0.06874427601864586,False,True,2026-07-06
HYPE_USDC-17JUL26-75-C,2026-07-17,75.0,C,1783327205884,0.030060696220192796,2.54,2.40648723,0.9126000000000001,70.115,70.11470672575851,0.9999958172396565,70.11406329367884,1.0696855449078166,-0.06736472201794319,True,0.036226683787544726,0.034322461385816704,0.9126513461523552,10.972154120370371,0.06513620071406208,True,True,2026-07-06
HYPE_USDC-17JUL26-90-C,2026-07-17,90.0,C,1783325859663,0.030103384608066972,0.318,0.31073029,0.9031,70.485,70.48553612792068,1.0000076062697125,70.48405835063758,1.276884477228543,-0.24442310876762297,True,0.0045116584862075195,0.004408518710063596,0.9031628417054614,10.987735381944445,0.023101883081645548,False,True,2026-07-06
HYPE_USDC-31JUL26-45-P,2026-07-31,45.0,P,1783356070125,0.0675015815258752,0.284,0.3452769,1.0406,70.992,71.07867219562945,1.001220872712833,70.99368705236164,0.6338591763350746,0.4559284685623746,True,0.37014117935557345,0.37100431103029263,1.0385252655182606,24.638077256944445,0.01961552004102255,False,False,2026-07-06
HYPE_USDC-31JUL26-50-P,2026-07-31,50.0,P,1783343181339,0.06791028224885844,0.77,0.80584965,0.9890000000000001,68.906,68.90464588520679,0.999980348376147,68.90763748070249,0.7256089720678995,0.32074401522471896,True,0.28556540610194614,0.28608566265565605,0.9890909615935247,24.78725302083333,0.04049222430033947,True,False,2026-07-06
HYPE_USDC-31JUL26-52-P,2026-07-31,52.0,P,1783317858933,0.06871325047564687,0.91,0.90066051,0.993,70.735,70.77181437788191,1.0005204549074986,70.73668094501916,0.7351207224497507,0.3077205450256109,True,0.27774389019311996,0.27761185841165625,0.9919369077568534,25.080336423611108,0.04413770228625936,False,False,2026-07-06
HYPE_USDC-31JUL26-55-P,2026-07-31,55.0,P,1783307683898,0.0690358987189244,1.25,1.2894625,0.9849,71.974,71.98258079803793,1.0001192208024832,71.97571038858852,0.7641466781371294,0.26899552115229597,True,0.2532202918205325,0.25376856706209605,0.9846814506063283,25.198103032407406,0.052925758070614795,True,False,2026-07-06
HYPE_USDC-31JUL26-58-P,2026-07-31,58.0,P,1783331292276,0.06828728196347032,2.24,2.17808703,0.9843999999999999,69.85,69.85112532467981,1.0000161105895464,69.85165991389817,0.8303310196420961,0.18593083885269188,True,0.2017369369785642,0.20085058767668196,0.9844208086352828,24.924857916666667,0.07255642012132767,False,False,2026-07-06
HYPE_USDC-31JUL26-60-P,2026-07-31,60.0,P,1783356312435,0.0674938979261796,2.08,2.16096766,0.9053,71.13,71.23497205853396,1.001475777569717,71.13169033179067,0.8435058933666923,0.17018839021946372,True,0.18573564427001976,0.18687392257638824,0.9013191820535008,24.635272743055555,0.07259423736761894,True,False,2026-07-06
HYPE_USDC-31JUL26-64-P,2026-07-31,64.0,P,1783316792688,0.06874706088280061,3.4,3.39910609,0.8856,70.821,70.8216843902107,1.0000096636620595,70.82268298872131,0.9036652848945607,0.10129624722553447,True,0.14434193336546286,0.14432931156179374,0.8856455905115532,25.09267722222222,0.08980344403911845,False,False,2026-07-06
HYPE_USDC-31JUL26-68-P,2026-07-31,68.0,P,1783331967574,0.06826586840436327,5.71,5.78955076,0.9236,69.911,69.91164258187636,1.0000091914273341,69.91266136350087,0.9726421319658214,0.02773906304690315,True,0.1090311999977791,0.1101690591272777,0.9236584836239126,24.917041967592596,0.10138129625788676,True,False,2026-07-06
HYPE_USDC-31JUL26-70-P,2026-07-31,70.0,P,1783317889734,0.06871227378234399,6.32,6.26144903,0.9113,70.726,70.75548520719362,1.0004168934648308,70.72768073114335,0.9897115143092352,0.010341778006281378,True,0.09964529669697009,0.0988174599943561,0.9096428055459984,25.079979930555556,0.10320162363429483,False,False,2026-07-06
HYPE_USDC-31JUL26-70-C,2026-07-31,70.0,C,1783341853469,0.06795238873033993,6.5,6.79273316,0.9004000000000001,69.246,69.92748411423645,1.009841494299114,69.24764556045517,1.0108646934268402,-0.010806096686895741,True,0.09386600724677802,0.09809334461876758,0.9512138711589585,24.802621886574073,0.10365941892218422,True,False,2026-07-06
HYPE_USDC-31JUL26-72-C,2026-07-31,72.0,C,1783341997209,0.06794783076484019,5.64,5.92422181,0.9266,69.266,69.53440942870112,1.0038750531097669,69.26764603573474,1.0394463233651055,-0.038688190008290574,True,0.08142329533026658,0.08552653582227597,0.9446645400044318,24.80095822916667,0.10393144583414966,False,False,2026-07-06
HYPE_USDC-31JUL26-74-C,2026-07-31,74.0,C,1783365583508,0.06719991412988331,5.38,5.37531126,0.8740000000000001,71.386,71.48631682627956,1.001405273110688,71.38769641536916,1.036593190644942,-0.03593955781975191,True,0.07536312656310523,0.07529744661774436,0.8804601287354693,24.52796865740741,0.10332049994359171,True,False,2026-07-06
HYPE_USDC-31JUL26-75-C,2026-07-31,75.0,C,1783365583520,0.0671999137493658,5.05,5.06330344,0.8808,71.386,71.49451250770989,1.00152008107626,71.38769641536916,1.0506012067347383,-0.049362578151892496,True,0.07074048125347238,0.07092683605504203,0.8874990377055817,24.52796851851852,0.10290666655289639,False,False,2026-07-06
HYPE_USDC-31JUL26-76-C,2026-07-31,76.0,C,1783365583524,0.06719991362252663,4.61,4.61193202,0.8701000000000001,71.386,71.4951263789522,1.0015286803988486,71.38769641536916,1.064609222824535,-0.06260780490191324,True,0.06457695417396192,0.06460401794120774,0.8765276960067657,24.52796847222222,0.10207064846050148,True,False,2026-07-06
HYPE_USDC-31JUL26-78-C,2026-07-31,78.0,C,1783317884930,0.06871242611618467,4.02,3.88391977,0.9107,70.714,70.74980654113322,1.0005063571730242,70.71568044597561,1.103008547864987,-0.09804148989227712,True,0.056847363620733934,0.0549230346863053,0.912557166683522,25.080035532407404,0.10026141680866935,False,False,2026-07-06
HYPE_USDC-31JUL26-80-C,2026-07-31,80.0,C,1783332100497,0.06826165344368341,3.39,3.34470502,0.9395,70.035,70.03912402049535,1.000058885135937,70.0366643102342,1.1422588552423376,-0.1330077538867311,True,0.04840321899089406,0.047756486590856254,0.939624188761878,24.915503506944447,0.09547009950190957,True,False,2026-07-06
HYPE_USDC-31JUL26-85-C,2026-07-31,85.0,C,1783337956052,0.0680759750126839,2.46,2.49988317,0.9338,70.762,70.77178791365317,1.0001383216083939,70.76368158664658,1.2011811439731517,-0.18330535934577974,True,0.03476359546087004,0.0353272061875274,0.9341547370489959,24.847730879629626,0.08534245682765633,False,False,2026-07-06
HYPE_USDC-31JUL26-90-C,2026-07-31,90.0,C,1783381774321,0.06668650681760528,1.35,1.3551921,0.8787,70.722,70.82610619885286,1.001472048285581,70.72368063608744,1.2725582038511247,-0.2410292081616371,True,0.019088373057766873,0.019161786940547043,0.8824873373797417,24.340574988425928,0.06599974435739611,True,False,2026-07-06
HYPE_USDC-31JUL26-105-C,2026-07-31,105.0,C,1783319404914,0.06866422773972602,0.394,0.41994245,0.8976999999999999,70.803,70.83803691213062,1.0004948506720142,70.8046825609697,1.4829527681249728,-0.39403521377805795,True,0.005564603720392755,0.005930998273149362,0.898604960225117,25.062443124999998,0.031171328994574247,False,False,2026-07-06
HYPE_USDC-25SEP26-40-P,2026-09-25,40.0,P,1783339848176,0.221440633688483,1.29,1.45999829,0.982,69.534,70.36793818139691,1.0119932433255228,69.54156830077079,0.5751955409892107,0.5530452247103362,True,0.4433545152076914,0.44579907166728616,0.9687454367621913,80.82583129629629,0.06646157423084396,False,False,2026-07-06
HYPE_USDC-25SEP26-60-P,2026-09-25,60.0,P,1783339874534,0.2214397978817859,6.37,6.80295803,0.8881,69.491,70.35839262957589,1.012482085875522,69.4985636205146,0.8633271951866526,0.14696152280434838,True,0.228329375368997,0.23455911606355428,0.8662898071571524,80.82552622685185,0.1600968182680547,True,False,2026-07-06
HYPE_USDC-25SEP26-72-C,2026-09-25,72.0,C,1783348620440,0.22116246702181633,10.51,10.38741118,0.8648,69.814,70.07615674236523,1.0037550740877939,69.82159877685751,1.0311995322551182,-0.030722719049950834,True,0.15052648727779572,0.14877074375218868,0.8756293443150894,80.72430046296296,0.18600428338647715,False,False,2026-07-06
HYPE_USDC-25SEP26-75-C,2026-09-25,75.0,C,1783315358600,0.2222171930492136,10.49,10.49219198,0.8919,71.216,71.43684020347713,1.0031009913990836,71.22375137497758,1.0530195131837592,-0.05166176401884856,True,0.14728232924396847,0.14731310521346858,0.9004643187844875,81.10927546296297,0.1872919559729242,True,False,2026-07-06
HYPE_USDC-25SEP26-80-C,2026-09-25,80.0,C,1783312730911,0.2223005165208016,8.69,8.61985879,0.8817,71.469,71.54548699893901,1.0010702122450155,71.47677891229883,1.1192446164671055,-0.11265400818062488,True,0.12157794646373933,0.12059663181767699,0.884133706367792,81.13968853009258,0.18773728028908354,False,False,2026-07-06
HYPE_USDC-25SEP26-85-C,2026-09-25,85.0,C,1783344464076,0.22129426445966513,6.32,6.339811,0.8978,68.724,68.82656859622966,1.0014924712797517,68.73148013780555,1.236696777511212,-0.2124439360466325,True,0.0919520427514219,0.09224028039682512,0.9007670064771751,80.77240652777778,0.1799689322030426,True,False,2026-07-06
HYPE_USDC-25SEP26-100-C,2026-09-25,100.0,C,1783298913737,0.2227386562341451,4.0,3.99235351,0.8486,72.389,72.39029573687067,1.0000178996376614,72.39687904801242,1.381275012334187,-0.3230069945972089,True,0.05525100049336748,0.055145381437676846,0.8484420444089679,81.29960952546296,0.15665523701441234,False,False,2026-07-06
