window,date,expiry,tau,strike,option,price,x,forward,discount,market_call_normalized,market_iv,vega_over_DF,split,source_sha256,date_eligible
final,2026-08-24,2026-09-01,0.021917808219178082,22000.0,PE,1.9,0.09694917435836527,24239.696190241255,0.9954580760252949,0.10189112996685823,0.26380634550152426,0.00258294732235598,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,22500.0,PE,3.0,0.07447631850630655,24239.696190241255,0.9954580760252949,0.07745377236367852,0.22115193517503495,0.00428032883254832,test,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23000.0,PE,4.05,0.05249741178753144,24239.696190241255,0.9954580760252949,0.05407672473749128,0.17045464407403296,0.0066087293644061145,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23050.0,PE,4.3,0.050325858274023506,24239.696190241255,0.9954580760252949,0.051801119723387856,0.16590902005876168,0.007059236016207606,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23100.0,PE,4.4,0.04815901018893328,24239.696190241255,0.9954580760252949,0.04952884267916925,0.16037700704608043,0.007369824825432812,test,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23200.0,PE,4.7,0.043839349044416775,24239.696190241255,0.9954580760252949,0.04501800149495513,0.14965059693270988,0.008157328285233143,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23300.0,PE,5.35,0.03953826714502612,24239.696190241255,0.9954580760252949,0.040560969974404254,0.1401595999637127,0.009425390878671303,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23400.0,PE,6.45,0.03525560535302538,24239.696190241255,0.9954580760252949,0.036161351252799595,0.1316490966287747,0.011300819555938804,test,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23500.0,PE,8.0,0.030991206566567838,24239.696190241255,0.9954580760252949,0.031818412400792584,0.1233770655992863,0.013785995500182776,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23550.0,PE,9.0,0.028865807254254403,24239.696190241255,0.9954580760252949,0.029670371722539196,0.11930195538197745,0.015311635114831008,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23600.0,PE,10.0,0.026744915685116697,24239.696190241255,0.9954580760252949,0.02753143291156642,0.11478674678622541,0.01689046352497519,test,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23650.0,PE,12.1,0.024628512778739033,24239.696190241255,0.9954580760252949,0.025448262083383737,0.11226734109272148,0.01946059456589024,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23700.0,PE,14.75,0.02251657957559552,24239.696190241255,0.9954580760252949,0.02339719364080294,0.10990656489461235,0.022416915377846135,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23750.0,PE,18.1,0.020409097236030856,24239.696190241255,0.9954580760252949,0.021384369438107564,0.10771835448541496,0.025775728857088436,test,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
final,2026-08-24,2026-09-01,0.021917808219178082,23800.0,PE,22.45,0.018306047039252038,24239.696190241255,0.9954580760252949,0.019422210994548283,0.10587804892875065,0.029590661291220736,anchor,922d768844e8cce6a8e820606022b512e4f99f6a40a9df974c658290f31949ff,True
