step,total_loss,seconds,teacher,iv,pde,convexity,weight_teacher,weight_iv,weight_pde,weight_convexity,terminal_loss,boundary_penalty_active
1,0.6853763069365405,0.7683569579967298,1.0938485464953383e-10,8.027336365529413e-07,0.00021123076117447064,0.0,1.0,1.0,1.0,1.0,0.0,False
101,0.8779417435274717,7.504159249991062,1.1147747862636183e-10,1.5767391566838514e-06,0.00020506261323427374,6.445563305942646e-06,1.0,1.0,1.0,1.0,0.0,False
201,1.007684183642192,13.916046332989936,9.964203549430695e-11,9.834579447693377e-07,0.0005127144550632386,1.5365085162001433e-06,1.0,1.0,1.0,1.0,0.0,False
301,0.9694619313862392,20.38202404198819,1.251652625031521e-10,9.98662853081069e-07,0.0004068829115958579,1.5026223379367522e-06,1.0,1.0,1.0,1.0,0.0,False
401,1.0368786762972366,26.78381174999231,9.559723131767039e-11,1.6788240766102536e-06,0.0003781795788504972,0.0,1.0,1.0,1.0,1.0,0.0,False
501,2.463182585416814,33.317595457992866,1.0436169825649953e-10,4.162938208950817e-06,0.0011615437875378612,0.0,1.0,1.0,1.0,1.0,0.0,False
601,1.0464582463990053,39.754890083000646,1.2339256982649452e-10,9.04616755664081e-07,0.0005118226329167487,0.0,1.0,1.0,1.0,1.0,0.0,False
701,0.9816888272136501,46.24722933299199,9.991665213825742e-11,1.8287904273930166e-06,0.0002746995900197525,0.0,1.0,1.0,1.0,1.0,0.0,False
801,1.6488577472849937,52.844084166994435,9.794917924469807e-11,3.545675199069155e-06,0.0005175659994059597,0.0,1.0,1.0,1.0,1.0,0.0,False
901,0.8969953082474876,59.21035799999663,1.2244363489279747e-10,1.6414996449027856e-06,0.00018051130978979758,0.0,1.0,1.0,1.0,1.0,0.0,False
1001,16.58603048970985,65.71472337500018,1.3348375187132165e-10,1.0972942831620173e-06,0.01597799753924104,0.0,1.0,1.0,1.0,1.0,0.0,False
1101,4.55473304405636,72.10833175000153,1.0755279957040962e-10,8.167352172424333e-07,0.0040816671462385054,9.45812221596128e-07,1.0,1.0,1.0,1.0,0.0,False
1201,6.832844743610883,78.59600187499018,1.1305372520990787e-10,2.4156454355254108e-05,0.0005110968417725856,0.0,1.0,1.0,1.0,1.0,0.0,False
1301,1.679179586931972,84.90198841699748,1.2524507624055057e-10,4.856806128079866e-06,0.0001518651904757903,1.7383483884088894e-06,1.0,1.0,1.0,1.0,0.0,False
1401,1.300177324118251,91.17699699998775,1.1838799418565434e-10,3.1493221453447333e-06,0.00021687674088889075,6.142904128409242e-07,1.0,1.0,1.0,1.0,0.0,False
1501,2.0927812659116873,97.65262941698893,1.2046839926244265e-10,6.149725633915732e-07,0.0016378671269076874,0.0,1.0,1.0,1.0,1.0,0.0,False
1601,0.8998903283838167,104.18208437498834,1.0456432786916969e-10,1.358761572212402e-06,0.00029878911565779203,0.0,1.0,1.0,1.0,1.0,0.0,False
1701,1.599696930232553,110.35783741698833,1.0477475666414145e-10,1.9195135561626808e-06,0.0008578814391096635,2.104218659384747e-06,1.0,1.0,1.0,1.0,0.0,False
1801,1.2754592301360714,116.6171467499953,1.2125465534653744e-10,6.478269256590382e-07,0.0008103658603549683,0.0,1.0,1.0,1.0,1.0,0.0,False
1901,4.805515976460551,122.84657754198997,1.071460028770147e-10,1.3536185921087913e-05,0.0011536044101415632,7.885447342862768e-07,1.0,1.0,1.0,1.0,0.0,False
2000,1.0778953439134962,128.90289287499036,1.0777272311651672e-10,2.4417597676685575e-06,0.00019802359420506503,0.0,1.0,1.0,1.0,1.0,0.0,False
