model,start_id,optimizer_success,optimizer_status,optimizer_message,nfev,valid,boundary_reasons,boundary_hit,calibration_price_rmse,calibration_price_mae,calibration_relative_price_error_mean,calibration_iv_rmse,holdout_price_rmse,holdout_price_mae,holdout_relative_price_error_mean,holdout_iv_rmse,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,z_v0_total,z_alpha_v,z_theta_total,z_alpha_theta,z_kappa_slow,z_delta_kappa,z_sigma_slow,z_sigma_fast,z_rho_slow,z_rho_fast,v0_total,alpha_v,theta_total,alpha_theta,delta_kappa,slow_half_life_days,fast_half_life_days,minimum_hard_bound_fraction_margin,kappa_ordering_margin,slow_feller_margin,fast_feller_margin,correlation_disk_margin,runtime_seconds
DOUBLE_HESTON_REPARAMETERIZED,0,True,3,`xtol` termination condition is satisfied.,33,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_lower_hard_bound;kappa_fast:near_upper_hard_bound;theta_fast:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,8.132322220595222,7.903416936389163,1.7525071425446663,0.25440191345649205,5.188399922268148,4.616386960624807,1.598221960651091,0.1794757988929098,2.9999999993527737,0.005000000007247271,0.17320506226916377,-0.9499999800044417,0.1524999999999998,11.999999999490708,0.0020000000034998177,0.21908899979713153,-0.31224993839750353,0.12600000000000017,-4.440892098500626e-16,-2.84914813768845e-15,-24.44220078762186,0.7279139423011295,22.2401308752367,23.595223499527037,18.69848694622619,18.787783842303526,-18.369609555250367,-17.14529566450156,0.27849999999999997,0.5475763016157983,0.007000000010747088,0.714285714224397,9.000000000137934,84.33290698632084,21.083226742926463,1.767584658186504e-11,9.000000000137934,6.441346463159636e-09,1.024985095410269e-08,1.3962315512094925e-08,2.874482300001546
DOUBLE_HESTON_REPARAMETERIZED,1,False,0,The maximum number of function evaluations is exceeded.,160,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.24157075234183853,0.16601511249838158,0.030127533296359588,0.007957591664650458,0.9288779748358539,0.6466253702409938,0.2125233428722752,0.07447464763124982,2.9984722850353265,0.005003933776078913,0.17318946214140252,-0.9496201994336162,0.005000607810747518,5.445436209477416,0.0961857166160612,1.0234862280756043,0.08503554836608868,0.03485771487973141,-2.742483418591288,-10.897833564081756,-1.3092180565377827,-10.083424021883836,7.5652693138145395,-0.9853176140564444,8.354052577719397,11.45463463278736,-8.517518239474432,0.556597208731963,0.039858322690478926,0.12545956460787117,0.10118965039214012,0.04945104323107329,2.4469639244420893,84.37587439678447,46.46068949702372,2.0603754153162394e-06,2.4469639244420893,1.3723690621282592e-05,2.230913083844932e-05,0.09099043234173762,19.622919400000683
DOUBLE_HESTON_REPARAMETERIZED,2,False,0,The maximum number of function evaluations is exceeded.,160,True,slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,0.2331742198919137,0.1630000037809813,0.03957171473919057,0.007809356351239924,0.9215170692305648,0.6363140698183918,0.19695350363699782,0.07184944122658926,2.8162640941574306,0.13321432450908385,0.8659521588068699,0.7160106376942605,0.013238217204953003,11.63368804622258,0.02463558204725297,0.7567453574665293,-0.6977486334219064,0.02739222803582811,-2.7177420288373617,-1.1256591824705082,-0.660982342691308,1.7341801788476578,2.711753554139829,3.1809986001975274,8.083624290337625,7.6500918912537745,1.9629115537845574,-8.317899610940396,0.04063044524078111,0.3258201362673155,0.15784990655633682,0.8439303349320609,8.81742395206515,89.83487075279854,21.747077960073707,0.02792616001678984,8.81742395206515,0.00046029654245960394,0.0005418167025798004,0.00047561126652040375,21.989424999999756
DOUBLE_HESTON_REPARAMETERIZED,3,False,0,The maximum number of function evaluations is exceeded.,160,True,slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,0.23317473344132042,0.16300013787629394,0.03956860354667668,0.007809222174714988,0.9215012304995795,0.6363074578550815,0.19695644149365785,0.07185047770182638,2.8149284594408837,0.13320959940831353,0.8657119694484406,0.716361631289141,0.01323483798108456,11.627147124378974,0.024656052231539466,0.75688075895426,-0.6973526050567558,0.027394581226017678,-2.717774552693632,-1.1261621246984825,-0.6608240770438447,1.7332393971371267,2.704027583949885,3.1627094807748786,8.01285625177843,7.74972820690662,1.9646233776862005,-8.217337780439387,0.04062941920710224,0.3257451925074784,0.157865651639853,0.8438162325026309,8.81221866493809,89.87749584038524,21.75931191013403,0.027914705020625624,8.81221866493809,0.000493770844064656,0.0004906103297871445,0.0005253574373171865,20.450716999999713
DOUBLE_HESTON_REPARAMETERIZED,4,False,0,The maximum number of function evaluations is exceeded.,160,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_upper_hard_bound;v0_slow:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.24129369726969815,0.1664842206410765,0.031537141896774874,0.007909969867444381,0.9236827013664491,0.6439050588297033,0.2127206870440388,0.07413802221011569,2.9958690879780825,0.005064855511258204,0.17412535778339214,0.9494184264042764,0.005000992263235157,6.125118885710835,0.09062213975114024,1.053613670914964,0.01944115522050799,0.03482976862479732,-2.7433766042145287,-10.406857811672035,-1.3850674529264477,-7.219975097843906,6.569660947679426,-0.6298957250306425,7.664460511782419,10.900421629456755,8.091320780100864,0.12398215462368975,0.03983076088803248,0.12555603136212623,0.09568699526239845,0.052931492909449845,3.1292497977327525,84.4491910276124,41.30511188845585,3.363604186972099e-06,3.1292497977327525,2.764789931344186e-05,4.0991767565223824e-05,0.09822669308771965,19.092272499998217
DOUBLE_HESTON_REPARAMETERIZED,5,False,0,The maximum number of function evaluations is exceeded.,160,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.24157031479961003,0.1660228490811326,0.030126523245064697,0.007957596162807057,0.9288519762058114,0.6465915636916411,0.2125024379023221,0.07446480355940246,2.9988979141884404,0.005003569079444409,0.17320470648164882,-0.9497283653752853,0.005000284948073964,5.462202766858568,0.09604297219133229,1.0243028015036082,0.08503442404873596,0.03485595494441027,-2.742550890603533,-11.65533659626294,-1.3111487775925226,-10.17919940393095,7.891982214493705,-0.9761004694388472,8.62062034017983,11.783094486503987,-8.852763596542907,0.5572030959705456,0.03985623989248423,0.12545802016353474,0.1010465412707767,0.04951747003429075,2.4633048526701278,84.36389905351159,46.318075637804476,9.659256744530672e-07,2.4633048526701278,1.0515404293105074e-05,1.614771349123245e-05,0.09078517872828847,18.047589800000424
DOUBLE_HESTON_REPARAMETERIZED,6,False,0,The maximum number of function evaluations is exceeded.,160,True,theta_fast:near_upper_hard_bound;kappa_ordering_gap:near_boundary;slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,0.23988096816283444,0.16578382945955422,0.03141924014309414,0.007935172499126727,0.9319436538001407,0.6526793670992399,0.21440659440257176,0.07687431568470969,0.9642493412439288,0.13477291697865293,0.5097183031693135,-0.6701926331714202,0.02150869511891152,0.9663543957862707,0.1999996969205475,0.6216242771130951,0.7419575753947248,0.01839663601204953,-2.7409616486266164,0.006811026433270236,1.0454126710889697,-12.848420383648085,-0.8005165674543528,-8.569124987227266,8.580600175236237,8.726696290674994,-1.7561989397291309,8.773919274604042,0.03990533113096105,0.5389930244739588,0.33477261389920043,0.40258047218651183,0.0021050545423418887,262.3789408847294,261.80738868428136,1.5307043055918296e-06,0.0021050545423418887,9.664424257338489e-05,0.0001244306538078499,0.00034079075713933094,17.321543799997016
DOUBLE_HESTON_REPARAMETERIZED,7,False,0,The maximum number of function evaluations is exceeded.,160,True,slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,0.23317478034243605,0.1630013309696052,0.03954993135641665,0.00780847776579009,0.9214452305895353,0.6362310387351638,0.19692756640707557,0.07183310844078994,2.881774431875372,0.13073781221995479,0.8677571069348649,0.7167278891400755,0.013211328294413568,11.617657292366106,0.02467857860580075,0.7568815383244792,-0.6969481900334376,0.02740566692225317,-2.718168449673481,-1.129457556118384,-0.6855410899763166,1.7127780783729765,3.176064407908933,3.1288757975440133,7.982558497737374,7.644825638380327,1.9664120056393024,-8.144616642597121,0.040616995216666736,0.3252660179301605,0.15541639082575553,0.8412099362578234,8.735882860490733,87.79268707014522,21.77708590789849,0.02783501116750362,8.735882860490733,0.0005113724336121006,0.0005448743533923439,0.0005643533379271481,17.818448899997748
DOUBLE_HESTON_REPARAMETERIZED,8,False,0,The maximum number of function evaluations is exceeded.,160,True,v0_slow:near_lower_hard_bound;fast_feller:near_boundary,True,0.23922151747466916,0.16817477595651753,0.03895390639376984,0.00784333234548934,0.9373110398693362,0.6577091274425525,0.2151274458262662,0.07522078959686249,1.0248210978195054,0.20962723404300734,0.6311787604488821,0.8991056194534417,0.006050157594594627,10.545030444680494,0.04239679235026719,0.9364575404188292,-0.23124948350601446,0.034474985452711146,-2.721084806928265,-3.4315298716059335,0.21321059473680096,1.3619250826467155,-0.7061602918696114,1.8784308121548532,3.248897996686648,4.624319057740617,3.5927048366032106,-1.175541475585655,0.04052514304730577,0.1492939232202626,0.25202402639327454,0.8317747995815744,9.52020934686099,246.87110896007232,23.992222898892322,0.0035598562528631407,9.52020934686099,0.031274196607855076,0.01719820717344611,0.1381327614454444,16.505967400000372
DOUBLE_HESTON_REPARAMETERIZED,9,False,0,The maximum number of function evaluations is exceeded.,160,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.24157155443144593,0.16601625697913056,0.030127556451395702,0.007957609048739333,0.9288795938436937,0.6466260424119523,0.2125238874876372,0.0744742410467182,2.9977374935058045,0.005007164153955453,0.17320158146668158,-0.9494406917568752,0.005000889009947252,5.446956570575596,0.09616978946194253,1.0235393136887567,0.08503576051139694,0.03485728425826503,-2.742488258975965,-10.51757559662454,-1.3093892653103336,-9.48376472865828,7.172319936771981,-0.9841644406950096,7.903330694135762,11.072235683236219,-8.130369288033467,0.5555849073334994,0.03985817326821228,0.12546708993147873,0.10117695361589799,0.049489176882754796,2.4492190770697913,84.3965562203054,46.44772133324443,3.0135930415315287e-06,2.4492190770697913,2.153961834153173e-05,3.2606534748014226e-05,0.09133129227047472,19.890035200001876
