model,start_id,optimizer_success,optimizer_status,optimizer_message,nfev,valid,boundary_reasons,boundary_hit,calibration_price_rmse,calibration_price_mae,calibration_relative_price_error_mean,calibration_iv_rmse,holdout_price_rmse,holdout_price_mae,holdout_relative_price_error_mean,holdout_iv_rmse,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,z_v0_total,z_alpha_v,z_theta_total,z_alpha_theta,z_kappa_slow,z_delta_kappa,z_sigma_slow,z_sigma_fast,z_rho_slow,z_rho_fast,v0_total,alpha_v,theta_total,alpha_theta,delta_kappa,slow_half_life_days,fast_half_life_days,minimum_hard_bound_fraction_margin,kappa_ordering_margin,slow_feller_margin,fast_feller_margin,correlation_disk_margin,runtime_seconds,distance_from_best,cluster_id
DOUBLE_HESTON_REPARAMETERIZED,1,False,0,The maximum number of function evaluations is exceeded.,160,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.2415707523418385,0.1660151124983815,0.0301275332963595,0.0079575916646504,0.928877974835854,0.6466253702409938,0.2125233428722752,0.0744746476312498,2.9984722850353265,0.0050039337760789,0.1731894621414025,-0.9496201994336162,0.0050006078107475,5.445436209477416,0.0961857166160612,1.0234862280756043,0.0850355483660886,0.0348577148797314,-2.742483418591288,-10.897833564081756,-1.309218056537783,-10.083424021883836,7.5652693138145395,-0.9853176140564444,8.354052577719397,11.45463463278736,-8.517518239474432,0.556597208731963,0.0398583226904789,0.1254595646078708,0.1011896503921401,0.04945104323107317,2.4469639244420893,84.37587439678447,46.46068949702372,2.0603754153162394e-06,2.4469639244420893,1.3723690621282592e-05,2.230913083844932e-05,0.0909904323417376,19.622919400000683,0.46250984658816985,4
DOUBLE_HESTON_REPARAMETERIZED,2,False,0,The maximum number of function evaluations is exceeded.,160,True,slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,0.2331742198919137,0.1630000037809813,0.0395717147391905,0.0078093563512399,0.9215170692305648,0.6363140698183918,0.1969535036369978,0.0718494412265892,2.8162640941574306,0.1332143245090838,0.8659521588068699,0.7160106376942605,0.013238217204953,11.63368804622258,0.0246355820472529,0.7567453574665293,-0.6977486334219064,0.0273922280358281,-2.7177420288373617,-1.1256591824705082,-0.660982342691308,1.7341801788476578,2.711753554139829,3.1809986001975274,8.083624290337625,7.6500918912537745,1.9629115537845572,-8.317899610940396,0.0406304452407811,0.3258201362673156,0.15784990655633668,0.8439303349320613,8.81742395206515,89.83487075279854,21.747077960073707,0.0279261600167898,8.81742395206515,0.0004602965424596,0.0005418167025798,0.0004756112665204,21.98942499999976,0.00221386860369754,1
DOUBLE_HESTON_REPARAMETERIZED,3,False,0,The maximum number of function evaluations is exceeded.,160,True,slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,0.2331747334413204,0.1630001378762939,0.0395686035466766,0.0078092221747149,0.9215012304995795,0.6363074578550815,0.1969564414936578,0.0718504777018263,2.814928459440884,0.1332095994083135,0.8657119694484406,0.716361631289141,0.0132348379810845,11.627147124378974,0.0246560522315394,0.75688075895426,-0.6973526050567558,0.0273945812260176,-2.717774552693632,-1.1261621246984823,-0.6608240770438447,1.7332393971371267,2.704027583949885,3.1627094807748786,8.01285625177843,7.74972820690662,1.9646233776862003,-8.217337780439387,0.0406294192071021,0.325745192507478,0.15786565163985292,0.8438162325026312,8.81221866493809,89.87749584038522,21.75931191013403,0.0279147050206256,8.81221866493809,0.0004937708440646,0.0004906103297871,0.0005253574373171,20.450716999999717,0.002116890229905782,1
DOUBLE_HESTON_REPARAMETERIZED,4,False,0,The maximum number of function evaluations is exceeded.,160,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_upper_hard_bound;v0_slow:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.2412936972696981,0.1664842206410765,0.0315371418967748,0.0079099698674443,0.9236827013664493,0.6439050588297033,0.2127206870440388,0.0741380222101156,2.9958690879780825,0.0050648555112582,0.1741253577833921,0.9494184264042764,0.0050009922632351,6.125118885710835,0.0906221397511402,1.053613670914964,0.0194411552205079,0.0348297686247973,-2.7433766042145287,-10.406857811672037,-1.3850674529264475,-7.219975097843906,6.569660947679426,-0.6298957250306425,7.664460511782419,10.900421629456757,8.091320780100864,0.1239821546236897,0.039830760888032404,0.12555603136212504,0.09568699526239839,0.05293149290944983,3.1292497977327525,84.4491910276124,41.30511188845585,3.363604186972099e-06,3.1292497977327525,2.764789931344186e-05,4.0991767565223824e-05,0.0982266930877196,19.092272499998217,0.35914722703145363,5
DOUBLE_HESTON_REPARAMETERIZED,5,False,0,The maximum number of function evaluations is exceeded.,160,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.24157031479961,0.1660228490811326,0.0301265232450646,0.007957596162807,0.9288519762058114,0.6465915636916411,0.2125024379023221,0.0744648035594024,2.9988979141884404,0.0050035690794444,0.1732047064816488,-0.9497283653752852,0.0050002849480739,5.462202766858568,0.0960429721913322,1.0243028015036082,0.0850344240487359,0.0348559549444102,-2.742550890603533,-11.65533659626294,-1.3111487775925226,-10.17919940393095,7.891982214493705,-0.9761004694388472,8.62062034017983,11.783094486503987,-8.852763596542907,0.5572030959705456,0.039856239892484095,0.12545802016353355,0.1010465412707766,0.04951747003429071,2.4633048526701278,84.36389905351159,46.318075637804476,9.659256744530672e-07,2.463304852670128,1.0515404293105074e-05,1.614771349123245e-05,0.0907851787282884,18.047589800000424,0.46232716929231327,4
DOUBLE_HESTON_REPARAMETERIZED,6,False,0,The maximum number of function evaluations is exceeded.,160,True,theta_fast:near_upper_hard_bound;kappa_ordering_gap:near_boundary;slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,0.2398809681628344,0.1657838294595542,0.0314192401430941,0.0079351724991267,0.9319436538001408,0.6526793670992399,0.2144065944025717,0.0768743156847096,0.9642493412439288,0.1347729169786529,0.5097183031693135,-0.6701926331714202,0.0215086951189115,0.9663543957862708,0.1999996969205475,0.6216242771130951,0.7419575753947248,0.0183966360120495,-2.7409616486266164,0.0068110264332702,1.0454126710889695,-12.848420383648085,-0.8005165674543528,-8.569124987227266,8.580600175236237,8.726696290674994,-1.7561989397291309,8.773919274604042,0.039905331130961,0.538993024473959,0.33477261389920043,0.4025804721865118,0.0021050545423419997,262.3789408847294,261.8073886842813,1.5307043055918296e-06,0.0021050545423418,9.664424257338489e-05,0.0001244306538078,0.0003407907571393,17.321543799997016,0.5674247779466101,6
DOUBLE_HESTON_REPARAMETERIZED,7,False,0,The maximum number of function evaluations is exceeded.,160,True,slow_feller:near_boundary;fast_feller:near_boundary;correlation_disk:near_boundary,True,0.233174780342436,0.1630013309696052,0.0395499313564166,0.00780847776579,0.9214452305895352,0.6362310387351638,0.1969275664070755,0.0718331084407899,2.881774431875372,0.1307378122199547,0.8677571069348649,0.7167278891400755,0.0132113282944135,11.617657292366106,0.0246785786058007,0.7568815383244792,-0.6969481900334376,0.0274056669222531,-2.718168449673481,-1.129457556118384,-0.6855410899763166,1.7127780783729765,3.176064407908933,3.1288757975440133,7.982558497737374,7.644825638380327,1.9664120056393024,-8.144616642597121,0.0406169952166666,0.32526601793015997,0.1554163908257554,0.8412099362578236,8.735882860490733,87.79268707014522,21.77708590789849,0.0278350111675036,8.735882860490733,0.0005113724336121,0.0005448743533923,0.0005643533379271,17.818448899997748,0.009937607281416226,1
DOUBLE_HESTON_REPARAMETERIZED,8,False,0,The maximum number of function evaluations is exceeded.,160,True,v0_slow:near_lower_hard_bound;fast_feller:near_boundary,True,0.2392215174746691,0.1681747759565175,0.0389539063937698,0.0078433323454893,0.9373110398693362,0.6577091274425525,0.2151274458262662,0.0752207895968624,1.0248210978195054,0.2096272340430073,0.6311787604488821,0.8991056194534417,0.0060501575945946,10.545030444680494,0.0423967923502671,0.9364575404188292,-0.2312494835060144,0.0344749854527111,-2.721084806928265,-3.431529871605933,0.2132105947368009,1.3619250826467155,-0.7061602918696114,1.8784308121548527,3.248897996686648,4.624319057740617,3.5927048366032106,-1.175541475585655,0.0405251430473057,0.1492939232202622,0.25202402639327437,0.8317747995815747,9.52020934686099,246.87110896007232,23.992222898892322,0.0035598562528631,9.52020934686099,0.031274196607855,0.0171982071734461,0.1381327614454444,16.505967400000372,0.24793880639347995,3
DOUBLE_HESTON_REPARAMETERIZED,9,False,0,The maximum number of function evaluations is exceeded.,160,True,kappa_slow:near_upper_hard_bound;theta_slow:near_lower_hard_bound;rho_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.2415715544314459,0.1660162569791305,0.0301275564513957,0.0079576090487393,0.9288795938436936,0.6466260424119523,0.2125238874876372,0.0744742410467182,2.9977374935058045,0.0050071641539554,0.1732015814666815,-0.9494406917568752,0.0050008890099472,5.446956570575596,0.0961697894619425,1.0235393136887567,0.0850357605113969,0.034857284258265,-2.742488258975965,-10.51757559662454,-1.3093892653103336,-9.48376472865828,7.172319936771981,-0.9841644406950096,7.903330694135762,11.07223568323622,-8.130369288033467,0.5555849073334994,0.0398581732682122,0.12546708993147768,0.1011769536158979,0.04948917688275432,2.4492190770697913,84.3965562203054,46.44772133324443,3.0135930415315287e-06,2.4492190770697917,2.153961834153173e-05,3.2606534748014226e-05,0.0913312922704747,19.89003520000188,0.46246568711267066,4
DOUBLE_HESTON_REPARAMETERIZED,10,True,2,`ftol` termination condition is satisfied.,49,True,kappa_slow:near_upper_hard_bound;kappa_fast:near_upper_hard_bound;theta_fast:near_lower_hard_bound;rho_fast:near_lower_hard_bound;v0_fast:near_lower_hard_bound;slow_feller:near_boundary;fast_feller:near_boundary,True,0.2400683257909938,0.1647664078415713,0.0303770117601301,0.007928443684437,0.9242477814646252,0.6447326116666166,0.2115366428845475,0.0751641865768148,2.9999999360983223,0.1402362845953565,0.9172881339524204,0.0653169556697101,0.038023892410624,11.999998889965774,0.0020000000583212,0.2190889775892084,-0.9499999427449796,0.0020000007973519,-2.7371325391097385,17.53920100901914,-0.8223088253728368,21.564323008182704,17.647725369363094,15.908343057561368,21.629799905016437,16.37460044888806,0.1377266754649399,-17.317604359512323,0.0400238932079759,0.950029828758554,0.1422362846536777,0.9859388899028761,8.99999895386745,84.3329087644648,21.083228692290458,2.9455170941217185e-10,8.99999895386745,1.689595580112169e-07,1.6858488029181107e-08,0.0932338040865768,4.917554899999232,0.1739809157839295,2
