left_start_id,right_start_id,range_scaled_distance
0,1,0.46096208596424426
0,2,0.17392473681364287
0,3,0.3636174404477394
0,4,0.374335150263999
0,5,0.4610423702349503
0,6,0.4889218315424745
0,7,0.2580514215881146
0,8,0.4910854918863381
0,9,0.3637449601272898
0,10,0.1739247373471477
0,11,0.3637300705648487
1,2,0.4786506322429557
1,3,0.3162328970652751
1,4,0.16052646850655067
1,5,0.00016345093738862805
1,6,0.3584436739557724
1,7,0.3865196199720391
1,8,0.35969472439033995
1,9,0.31627133229264415
1,10,0.4786506534207581
1,11,0.31614508448558415
2,3,0.4609998162445553
2,4,0.43460308621127186
2,5,0.47870901769783725
2,6,0.5607679695234051
2,7,0.3108007922929669
2,8,0.5641490887697526
2,9,0.46111818119807657
2,10,5.5152684118389235e-08
2,11,0.46110111138454046
3,4,0.15850702916532708
3,5,0.3162794399164105
3,6,0.357276111182833
3,7,0.2701109759177245
3,8,0.3530775626477524
3,9,0.0002693148734980671
3,10,0.4609998353599777
3,11,0.00039820834649808136
4,5,0.1605911187407514
4,6,0.310047667709715
4,7,0.29555851434793584
4,8,0.3094543804869165
4,9,0.1585449843433356
4,10,0.4346031061403585
4,11,0.15841807524261853
5,6,0.35856089710123545
5,7,0.3865332313447915
5,8,0.3598070388384159
5,9,0.3163178598256111
5,10,0.4787090388842542
5,11,0.316191661765774
6,7,0.45542968139162937
6,8,0.01982903591694339
6,9,0.357401477301231
6,10,0.5607679868541783
6,11,0.3569466143199216
7,8,0.4499303748597467
7,9,0.270307459274438
7,10,0.31080083363252226
7,11,0.27012496920639917
8,9,0.35321018222475214
8,10,0.5641491074467359
8,11,0.3527388218455081
9,10,0.46111820029616857
9,11,0.0005798259237565924
10,11,0.4611011305193037
