left_start_id,right_start_id,range_scaled_distance
1,2,0.46208187267685447
1,3,0.4619923229201434
1,4,0.31696053357495196
1,5,0.0005317498626361068
1,6,0.3883277914346017
1,7,0.4608379979347947
1,8,0.5091505604807685
1,9,9.764652755608761e-05
1,10,0.47909169674204544
1,11,0.46250984658816985
2,3,0.00025737933003175655
2,4,0.35843763462772554
2,5,0.4618987881238468
2,6,0.5680729359382308
2,7,0.0077512206338489036
2,8,0.24971365455418776
2,9,0.4620379941237946
2,10,0.17411850194783537
2,11,0.00221386860369754
3,4,0.35828167688740453
3,5,0.4618093932456125
3,6,0.5679023668784847
3,7,0.007875345735874251
3,8,0.2495271586377161
3,9,0.46194842466876523
3,10,0.17423087260529538
3,11,0.002116890229905782
4,5,0.3169437070120402
4,6,0.48204518219682135
4,7,0.3567594592404196
4,8,0.3970025902605287
4,9,0.31692744059010264
4,10,0.46095811570075435
4,11,0.35914722703145363
5,6,0.3886263458849968
5,7,0.4606541541668408
5,8,0.5090286917638589
5,9,0.0004990400955033612
5,10,0.47892361359043945
5,11,0.46232716929231327
6,7,0.5704487772739858
6,8,0.4884677361371178
6,9,0.3883027842131818
6,10,0.593889520771503
6,11,0.5674247779466101
7,8,0.25645815383545006
7,9,0.4607952581831852
7,10,0.17377982884554094
7,11,0.009937607281416226
8,9,0.5090818793294882
8,10,0.3553312527704564
8,11,0.24793880639347995
9,10,0.4790590330521715
9,11,0.46246568711267066
10,11,0.1739809157839295
