case_id,case_index,distribution,noise_level,seed,start_index,start_strategy,optimizer_success_is_unique_recovery_proof,initial_kappa_slow,initial_theta_slow,initial_sigma_slow,initial_rho_slow,initial_v0_slow,initial_kappa_fast,initial_theta_fast,initial_sigma_fast,initial_rho_fast,initial_v0_fast,success,optimizer_status,optimizer_message,nfev,loss,price_rmse,price_mae,max_abs_price_error,parameter_rmse,parameter_mae,max_relative_parameter_error,boundary_near,boundary_reasons,predicted_kappa_slow,predicted_theta_slow,predicted_sigma_slow,predicted_rho_slow,predicted_v0_slow,predicted_kappa_fast,predicted_theta_fast,predicted_sigma_fast,predicted_rho_fast,predicted_v0_fast,runtime_seconds
case_1,0,interior_train,0.0,20260822,0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,True,1,`gtol` termination condition is satisfied.,206,3.763661470311031e-27,1.1346407744817112e-13,9.309698215257021e-14,2.7267077484793845e-13,2.889886574717683e-11,1.8690989034286786e-11,2.262952627436237e-10,False,,0.7201001271143921,0.06273439187050246,0.21197918528816667,-0.18029788341291345,0.07306624270540085,3.7034634461665985,0.043319473994343806,0.26279660473259264,-0.1036039245741212,0.06788516143294039,48.38596825001878
case_1,0,interior_train,0.0,20260822,1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,False,0,The maximum number of function evaluations is exceeded.,300,2.267484927909328e-09,0.00012876611942178517,9.682618467473274e-05,0.00031520327546274984,0.3903398920415329,0.1947671749189101,1.6467738200895903,True,theta_fast:near_lower_hard_bound;sigma_fast:near_lower_hard_bound,1.905942164077092,0.10895952688573395,0.2538998583726959,-0.15830158270171982,0.11343155678352433,3.514573672461221,0.0021307451300713836,0.007737782719244079,-0.017801408513713042,0.027502712884391448,68.33965004200581
case_1,0,interior_train,0.0,20260822,2,disclosed_target_perturbation,False,0.8926286038874252,0.07559364850317365,0.2682963169229958,-0.22836557248965694,0.07428387002264872,4.756957827818815,0.04892425306060462,0.2607964733337171,-0.128716556001411,0.05438713081344527,True,1,`gtol` termination condition is satisfied.,8,2.5016843477859033e-26,3.560563828491377e-13,2.850702675803782e-13,9.414691248821327e-13,7.378641785604321e-11,3.9597769507793146e-11,3.1604514671355085e-10,False,,0.7201001272329035,0.06273439187674867,0.21197918529209855,-0.1802978834099335,0.07306624270849382,3.7034634460840086,0.04331947399045589,0.2627966047237364,-0.10360392457527526,0.06788516142982315,1.9197570830001496
case_1,0,interior_train,0.01,20260922,0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,False,0,The maximum number of function evaluations is exceeded.,300,5.801404278190247e-05,0.13465745898571538,0.0723586164978778,0.5528601707962792,0.5729493914835248,0.2746020922350037,2.8328278986547684,False,,0.2758000696260922,0.24045012732436408,0.2619931529324625,-0.10354965087275837,0.057999730800869606,1.964167544581628,0.0073037132166626235,0.16099663504398581,-0.19339241490468342,0.08316145641331471,64.80053124998813
case_1,0,interior_train,0.01,20260922,1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,True,2,`ftol` termination condition is satisfied.,256,5.8009434007752114e-05,0.1347529567519734,0.072358020373175,0.5527502827141006,0.1676676630963389,0.11551713437487243,0.9744784271376432,True,sigma_fast:near_lower_hard_bound;slow_feller:near_boundary,1.0665697549725668,0.05633652897514515,0.3463824496046516,-0.2054821396018484,0.05598981002946582,3.4380827324879712,0.05530543800554545,0.006706982695440369,-0.028782010844844524,0.08524684774636301,56.02529916699859
case_1,0,interior_train,0.01,20260922,2,disclosed_target_perturbation,False,0.8926286038874252,0.07559364850317365,0.2682963169229958,-0.22836557248965694,0.07428387002264872,4.756957827818815,0.04892425306060462,0.2607964733337171,-0.128716556001411,0.05438713081344527,True,2,`ftol` termination condition is satisfied.,92,5.800971629638581e-05,0.13473691247812436,0.07235582193967162,0.5527379377878816,0.20661963329580146,0.14360667474843833,3.216986687371486,True,sigma_fast:near_lower_hard_bound;slow_feller:near_boundary,0.9767775504474367,0.06079517767021637,0.34317924506258146,-0.18737012306570414,0.05610345844297004,3.292703382572948,0.0526724694977328,0.011229525682915582,-0.4368963706670417,0.08512760340038161,19.02654116600752
case_2,1,interior_train,0.0,20261822,0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,True,1,`gtol` termination condition is satisfied.,111,1.3143809385442022e-27,8.72240267882532e-14,7.004757629854827e-14,2.2382096176443156e-13,1.9766866127702502e-11,1.1936851507243774e-11,6.323327040218217e-11,False,,1.381430434895574,0.11917046583708352,0.20286162986621656,-0.6619571308251854,0.10750456633362994,5.94028001246145,0.07388374877730608,0.7311424537825306,-0.06109839331853135,0.07753806442910686,24.72730212501483
case_2,1,interior_train,0.0,20261822,1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,True,1,`gtol` termination condition is satisfied.,95,6.044147021491074e-28,4.3729931662066926e-14,3.517216102834923e-14,1.2789769243681803e-13,1.7540383759528854e-11,8.494995679120265e-12,4.4082896009642247e-11,False,,1.381430434914814,0.11917046583854897,0.20286162986560544,-0.661957130820481,0.1075045663353897,5.9402800124551325,0.07388374877561853,0.7311424537920834,-0.06109839331736129,0.07753806442733971,23.10874949998106
case_2,1,interior_train,0.0,20261822,2,disclosed_target_perturbation,False,1.6078816455001594,0.13581868501807215,0.2527107882302298,-0.7192074799812176,0.10905577334038175,7.089282836209678,0.08152999182619426,0.771397870058906,-0.06524297624664062,0.06272180999447746,True,1,`gtol` termination condition is satisfied.,48,1.3891946991689514e-26,3.134012216245271e-13,2.460061638648732e-13,8.455458555545192e-13,1.6505828517376917e-10,7.54292982241278e-11,1.7069207906002e-10,False,,1.3814304349412028,0.11917046582822077,0.20286162985238768,-0.6619571309283455,0.10750456632394129,5.940280012001628,0.07388374878641218,0.7311424537203067,-0.061098393314123534,0.07753806443882351,10.580849542020587
case_2,1,interior_train,0.01,20261922,0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,True,3,`xtol` termination condition is satisfied.,105,7.178250877774843e-05,0.13762407225803291,0.07987061109309233,0.6875689953777382,0.6991989866954202,0.34992416001468457,1.1716611374502675,True,kappa_slow:near_upper_hard_bound;rho_slow:near_lower_hard_bound;fast_feller:near_boundary,2.9999987896447267,0.13364284095432588,0.17962325523268138,-0.9493584471363775,0.09002035535503075,4.462386987731757,0.06026084980802045,0.7333576642993523,-0.03489649160666439,0.09568199685746656,21.410155416000634
