case_id,case_index,distribution,noise_level,start_index,start_strategy,optimizer_success,optimizer_status,nfev,price_rmse_normalized,price_rmse_clean_normalized,parameter_rmse_full_range,constraint_valid,finite_solution,bound_hit,bound_reasons,material_displacement,near_equivalent,weakest_direction_absolute_cosine,runtime_seconds,true_kappa_slow,recovered_kappa_slow,scaled_displacement_kappa_slow,true_theta_slow,recovered_theta_slow,scaled_displacement_theta_slow,true_sigma_slow,recovered_sigma_slow,scaled_displacement_sigma_slow,true_rho_slow,recovered_rho_slow,scaled_displacement_rho_slow,true_v0_slow,recovered_v0_slow,scaled_displacement_v0_slow,true_kappa_fast,recovered_kappa_fast,scaled_displacement_kappa_fast,true_theta_fast,recovered_theta_fast,scaled_displacement_theta_fast,true_sigma_fast,recovered_sigma_fast,scaled_displacement_sigma_fast,true_rho_fast,recovered_rho_fast,scaled_displacement_rho_fast,true_v0_fast,recovered_v0_fast,scaled_displacement_v0_fast
case_1,0,interior_train,0.0,0,neutral_transform_midpoint,False,0,120,2.7658485735856883e-08,2.7658485735856883e-08,0.011178511115749567,True,True,False,,False,True,0.9993487567204251,2.5369550000177696,0.7201001270341181,0.7809092059394522,0.02061324708655395,0.0627343918595344,0.06622835446053237,0.014261071840808012,0.2119791852951291,0.21181643386353757,-0.00016356927798143623,-0.1802978834235966,-0.1777461622000152,0.0013430111703059907,0.0730662426958352,0.07661006188081679,0.0120129463897681,3.703463446201858,3.72604692012336,0.0018977709177732825,0.0433194740041468,0.040096730701679274,-0.01627648132559355,0.2627966047238745,0.265075350118347,0.001524244411018382,-0.1036039245690306,-0.10284783561860096,0.00039794155285770516,0.0678851614425259,0.06434163619954403,-0.014288408237830147
case_1,0,interior_train,0.0,1,deterministic_broad_1,False,0,120,6.639905258759612e-07,6.639905258759612e-07,0.15853966316494722,True,True,True,theta_fast:near_lower_hard_bound,True,False,0.975345378532055,2.4304020840208977,0.7201001270341181,1.728471309626787,0.34182073986192163,0.0627343918595344,0.10270994581178328,0.1631655263357097,0.2119791852951291,0.23738525684192172,0.025533740248032778,-0.1802978834235966,-0.16023421592356543,0.010559825000016402,0.0730662426958352,0.11995800363053438,0.15895512181253962,3.703463446201858,4.424032194353763,0.06055199564301722,0.0433194740041468,0.005362124111753913,-0.1917037873353176,0.2627966047238745,0.18827153720498402,-0.049849543490896646,-0.1036039245690306,0.003965434210484955,0.05661545198921872,0.0678851614425259,0.020996463395090474,-0.18906733083643318
case_1,0,interior_train,0.0,2,deterministic_broad_2,False,0,120,1.024698210448928e-06,1.024698210448928e-06,0.13154107944149132,True,True,False,,True,False,0.8996112408252718,2.5891374580096453,0.7201001270341181,1.6858828747069836,0.3273839822619883,0.0627343918595344,0.08607065592075754,0.09525005739274749,0.2119791852951291,0.25174323754874045,0.0399638716116697,-0.1802978834235966,-0.17851360124956003,0.0009390958810718743,0.0730662426958352,0.10442162657023688,0.10628943686237857,3.703463446201858,4.55386697918269,0.07146248176309512,0.0433194740041468,0.021540280270230652,-0.10999592794907144,0.2627966047238745,0.14874996262434165,-0.0762853793307912,-0.1036039245690306,0.029126902462823966,0.06985833001676557,0.0678851614425259,0.03653827794823154,-0.12639872376731598
case_1,0,interior_train,0.0,3,deterministic_broad_3,False,0,120,1.5316448144091307e-06,1.5316448144091307e-06,0.09127500877453251,True,True,False,,True,False,0.6506330001327786,2.4164725839800667,0.7201001270341181,1.4708851892997084,0.25450341093748824,0.0627343918595344,0.06351467544519666,0.003184830961886781,0.2119791852951291,0.26374766578609754,0.05202862360901351,-0.1802978834235966,-0.20925530503422704,-0.015240748216121288,0.0730662426958352,0.08298937921624669,0.033637750916649126,3.703463446201858,4.637376774341805,0.07848011160839889,0.0433194740041468,0.04266967934986383,-0.003281791183247324,0.2627966047238745,0.17559917398068817,-0.05832604063089387,-0.1036039245690306,0.00540955072328744,0.05737551331174634,0.0678851614425259,0.05798187845718752,-0.03993259268281608
case_1,0,interior_train,0.0,4,deterministic_broad_4,True,1,111,1.4008038852788728e-09,1.4008038852788728e-09,0.0005666091860839771,True,True,False,,False,True,0.9999546555625344,2.3739312080142554,0.7201001270341181,0.7232935096835504,0.00108250259302792,0.0627343918595344,0.06290917916643347,0.0007134175791798828,0.2119791852951291,0.21197756691599476,-1.6265116928078563e-06,-0.1802978834235966,-0.18016991010322259,6.735437914421503e-05,0.0730662426958352,0.07324237646148046,0.0005970636123568284,3.703463446201858,3.7046305514490383,9.807607119163398e-05,0.0433194740041468,0.043159880591054814,-0.0008060273388484029,0.2627966047238745,0.2628971487656395,6.725353964215122e-05,-0.1036039245690306,-0.10356089056491345,2.2649475851130746e-05,0.0678851614425259,0.0677090423340975,-0.0007101576952758367
case_1,0,interior_train,0.0,5,deterministic_broad_5,True,1,93,5.610061391617995e-06,5.610061391617995e-06,0.31464230767559714,True,True,True,kappa_slow:near_upper_hard_bound;rho_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;kappa_ordering_gap:near_boundary;slow_feller:near_boundary,True,False,0.0944788487713312,1.8817512089735828,0.7201001270341181,2.999655090509678,0.77273049609341,0.0627343918595344,0.018036730070681833,-0.18243943587286762,0.2119791852951291,0.3289478156623951,0.11755641242941307,-0.1802978834235966,-0.9477277540758964,-0.4039104582380525,0.0730662426958352,0.008032045779761278,-0.22045490480025062,3.703463446201858,3.1198619029034877,-0.049042146495661354,0.0433194740041468,0.09270414485178638,0.24941752953353324,0.2627966047238745,0.23423587270852783,-0.01910416857213824,-0.1036039245690306,-0.06513791154097809,0.02024527001476448,0.0678851614425259,0.13286335773208455,0.2620088560062849
case_1,0,interior_train,0.0,6,deterministic_broad_6,False,0,120,2.2028703104564116e-05,2.2028703104564116e-05,0.21500715452617633,True,True,True,kappa_ordering_gap:near_boundary,True,False,0.7076560409743714,2.4708826249989215,0.7201001270341181,2.5432183220456994,0.618006167800536,0.0627343918595344,0.06629084388106443,0.01451613070012257,0.2119791852951291,0.29250740022884303,0.08093287933036576,-0.1802978834235966,-0.17129105219209564,0.004740437490263658,0.0730662426958352,0.11011481930958923,0.12558839530086113,3.703463446201858,2.5464453733200227,-0.0972284094858685,0.0433194740041468,0.04045419883384096,-0.01447108671871636,0.2627966047238745,0.0399776927062798,-0.14904275051344126,-0.1036039245690306,0.0013864500969643088,0.05525809192947101,0.0678851614425259,0.030385952774181317,-0.1512064865659056
case_1,0,interior_train,0.0,7,deterministic_broad_7,False,0,120,1.1209058276704943e-06,1.1209058276704943e-06,0.0573750077083798,True,True,False,,True,False,0.04101068617246988,2.4598262079816777,0.7201001270341181,1.0315592526621218,0.10557936461966226,0.0627343918595344,0.07177316675702022,0.03689295876524825,0.2119791852951291,0.2366678761372596,0.024812754615206524,-0.1802978834235966,-0.19397979246551011,-0.007201004758901853,0.0730662426958352,0.05168678874185818,-0.0724727252677187,3.703463446201858,2.7574061109796038,-0.07950061640523144,0.0433194740041468,0.04685905215876017,0.017876657346532182,0.2627966047238745,0.23103875438186947,-0.021242709258866246,-0.1036039245690306,-0.10849742396511673,-0.0025755259979400695,0.0678851614425259,0.08920910996190964,0.08598366338461186
case_1,0,interior_train,0.0,8,deterministic_broad_8,False,0,120,7.653416980746859e-07,7.653416980746859e-07,0.13648106445324318,True,True,False,,True,False,0.9476404075788732,2.5674559580220375,0.7201001270341181,1.6707564082658013,0.32225636651921463,0.0627343918595344,0.09227831517454098,0.12058744210206766,0.2119791852951291,0.24354224007136582,0.0317216630916952,-0.1802978834235966,-0.17045325115268667,0.005181385405742066,0.0730662426958352,0.10965753645695839,0.12403828393601082,3.703463446201858,4.4380439922546016,0.061729457651491064,0.0433194740041468,0.015519796220796201,-0.14040241304722523,0.2627966047238745,0.17919231918209522,-0.055922599024601526,-0.1036039245690306,0.0012923740093759167,0.05520857819916133,0.0678851614425259,0.03129947190554113,-0.1475229416813902
case_1,0,interior_train,0.0,9,deterministic_broad_9,False,0,120,1.1610478174587743e-06,1.1610478174587743e-06,0.19066391528522128,True,True,True,v0_slow:near_lower_hard_bound,True,False,0.23257013393973344,2.5473547920119017,0.7201001270341181,2.1047880383057893,0.4693857326344648,0.0627343918595344,0.07508774991852804,0.05042186962854546,0.2119791852951291,0.3607500183578121,0.14951842518862615,-0.1802978834235966,-0.17312328985948752,0.0037761018758468803,0.0730662426958352,0.010875197128006588,-0.210817103619758,3.703463446201858,2.5498858460287366,-0.09693929413219506,0.0433194740041468,0.03925120112121168,-0.02054683274209656,0.2627966047238745,0.21753678275842883,-0.03027412840498038,-0.1036039245690306,-0.13817433468498871,-0.018194952692609536,0.0678851614425259,0.13002443416220863,0.2505615835471078
