date,quotes,holdout,expiries,grid_noise,spot,bs1_iv,bs1_sigma,bs5_iv,sh_seconds,sh_iv,dh_seconds,dh_iv,dhr_seconds,dhr_iv,net_iv,net2_iv,net_seconds,net_atm_vol
2026-04-08,833,142,10,0.01,23997.35,0.03073634810828346,0.1587830291913628,0.026117196330316287,8.124426958005643,0.02795143640351878,65.09342570899753,0.02902083202273584,5.539112208003644,0.024877829143009518,0.023747594290690878,0.026359644794856987,7.329595957999118,0.1696639738681213
2026-04-09,936,135,11,0.01,23775.1,0.02505880852075023,0.16094138167581912,0.021669121435370652,13.466069707996212,0.024648010152666395,233.05813054202008,0.026234212117395735,5.4365437920205295,0.020530512326104866,0.022054846792860287,0.02347103388361648,6.106420916999923,0.20231448599799107
2026-04-10,812,133,10,0.01,24050.6,0.026127160029121747,0.1568427132591263,0.023051633295589506,8.914446999988286,0.02069018475502228,199.8417937910126,0.022561729305831776,5.63367254199693,0.01942152328161099,0.02849890846291572,0.020548619388869146,5.8890615409763996,0.18725235941690443
2026-04-13,817,136,10,0.01,23842.65,0.02751075966989863,0.16150127888637214,0.02529912500772836,11.709494624985382,0.03048992427547571,76.98853170798975,0.031092669932113015,5.607017458998598,0.024074492950066174,0.024242249886901705,0.027177659481545408,4.9950039589894,0.20561863423979126
2026-04-15,843,139,10,0.01,24231.3,0.03005291149214942,0.15418126413875302,0.026619938687245086,10.293929584004218,0.026567280946571046,174.37625699999626,0.02761649910844872,5.876128082978539,0.02299400957337862,0.026169019396205532,0.023376684040315517,4.55490729099256,0.18335297918757854
2026-04-16,801,134,10,0.01,24196.75,0.028994312148354642,0.15259408691424062,0.024858762296193996,8.67826495799818,0.022025438155754008,169.78569779198733,0.023011665368289143,5.085308542009443,0.02203595540629382,0.027664400612881973,0.02031789067076586,5.206024874991272,0.18366145428257533
2026-04-17,802,135,10,0.01,24353.55,0.03301816477027964,0.14436784783984863,0.026984719368366664,6.280843374988763,0.022322643069201193,135.45565304200863,0.02212731889574324,4.411784750001971,0.027346783723351472,0.02254777629480739,0.02093525377551631,6.190651666984195,0.1698005995427233
2026-04-22,807,135,10,0.01,24378.1,0.04223928596020304,0.14658498361727504,0.03254900001881931,8.827920333016664,0.02241366121472315,123.10995195800206,0.02278864183912414,4.262225500016939,0.028535163226699033,0.025294564232515367,0.022482023664163686,5.434764999983599,0.16663993629521642
2026-04-21,795,134,10,0.01,24576.6,0.041472160735379564,0.14318935495936888,0.03459317710635516,10.318285875022411,0.02417210438230918,219.53081762502552,0.023846390364490332,3.998755083011929,0.03049657773980493,0.027866346113222737,0.02375154356494399,4.7705737500218675,0.15879445877711829
2026-04-20,797,135,10,0.01,24364.85,0.03132504250229641,0.15763793058295741,0.027445473161478252,7.303284583002096,0.023043193618391692,220.49777570797596,0.023474791507359115,6.273473709006794,0.023492156129489315,0.030672593668607282,0.02209547796608736,6.487319084000774,0.1781204048892049
