symbol,origin_date,target_date,target_split,candidate,calendar_gap_days,origin_v0_slow,origin_v0_fast,forecast_v0_slow,forecast_v0_fast,state_fit_information_cutoff,origin_clean_quotes,optimizer_evaluations
ADANIENSOL,2026-01-29,2026-01-30,validation,full_start_1,1,0.04588479089451417,0.0848218009790383,0.04876867351679895,0.08800340580008544,2026-01-29,18,7
ADANIENSOL,2026-01-29,2026-01-30,validation,full_start_2,1,0.028770371412706868,0.09607222886746929,0.03049806500048205,0.1005781055474167,2026-01-29,18,16
ADANIENSOL,2026-01-29,2026-01-30,validation,full_start_3,1,0.046030645878672574,0.08465214604092906,0.04891732674630972,0.0878346796052791,2026-01-29,18,13
ADANIENSOL,2026-01-29,2026-01-30,validation,training_half_a,1,0.039824595734630416,0.07354941443355145,0.043889536095535475,0.07712404676785609,2026-01-29,18,12
ADANIENSOL,2026-01-29,2026-01-30,validation,training_half_b,1,0.029001289280551356,0.09125269453660816,0.030240003969045734,0.09646011464613058,2026-01-29,18,7
ADANIENSOL,2026-02-02,2026-02-03,validation,full_start_1,1,0.04835297659189391,0.062157879019581704,0.05120361258118719,0.06594663087683864,2026-02-02,17,6
ADANIENSOL,2026-02-02,2026-02-03,validation,full_start_2,1,0.010907756179127714,0.09787795519213947,0.012878109336299126,0.10234527931101975,2026-02-02,17,8
ADANIENSOL,2026-02-02,2026-02-03,validation,full_start_3,1,0.048471565920766756,0.06201828076049739,0.05132528750036616,0.0658075199494835,2026-02-02,17,6
ADANIENSOL,2026-02-02,2026-02-03,validation,training_half_a,1,0.04246542915925495,0.05374524354576126,0.046496184816886,0.057850723655881425,2026-02-02,17,7
ADANIENSOL,2026-02-02,2026-02-03,validation,training_half_b,1,0.010525037296624223,0.09440410861668305,0.012014721713858284,0.09956717417423966,2026-02-02,17,16
ADANIENSOL,2026-02-03,2026-02-04,validation,full_start_1,1,0.03307050993797787,0.07234651498015306,0.036127001815905,0.07586232201622908,2026-02-03,22,12
ADANIENSOL,2026-02-03,2026-02-04,validation,full_start_2,1,0.03943838996625062,0.06159633019927784,0.041021160945848734,0.06683827312059934,2026-02-03,22,18
ADANIENSOL,2026-02-03,2026-02-04,validation,full_start_3,1,0.03318403669001614,0.07220553684205534,0.03624418292532422,0.0757217044417344,2026-02-03,22,15
ADANIENSOL,2026-02-03,2026-02-04,validation,training_half_a,1,0.028550256249664244,0.06312037745078326,0.03276113915518791,0.06697455852851009,2026-02-03,22,13
ADANIENSOL,2026-02-03,2026-02-04,validation,training_half_b,1,0.03560613357547476,0.06579856388482895,0.03675513223376416,0.07136423795021152,2026-02-03,22,17
ADANIENSOL,2026-02-04,2026-02-05,validation,full_start_1,1,0.038356938232897056,0.06347288483168044,0.04134222155405165,0.06722640881077743,2026-02-04,19,8
ADANIENSOL,2026-02-04,2026-02-05,validation,full_start_2,1,0.025067471167822965,0.07365065148588763,0.02684546781409161,0.07863523261811856,2026-02-04,19,8
