symbol,candidate,candidate_source,training_objective,training_dates,training_first_date,training_last_date,optimizer_evaluations,v0_slow_training_median,v0_fast_training_median,kappa_slow,theta_slow,sigma_slow,rho_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,feller_gap_slow,feller_gap_fast,correlation_radius,selected_candidate
ADANIENSOL,training_half_a,alternating training-date half A,3.707714661269871e-05,6,2024-12-06,2025-08-07,140,0.0453927680985835,0.0934576440863146,4.75564960896903,0.3538489793353169,1.8215148980837872,0.5675245727714624,9.917286823712145,0.2069070978124285,2.013533029466333,-0.7602140090570412,0.0476469964789902,0.0495988089835641,0.9486882945762586,training_half_a
ADANIGREEN,training_half_a,alternating training-date half A,4.214440418478532e-05,6,2024-11-29,2025-07-03,95,0.0299272019605521,0.0953052043283242,3.813725157027662,0.1715702420143102,1.137861416054948,-0.9496814163301088,3.927226552024502,0.8276564483437063,2.536068716770286,-7.207488593810168e-07,0.0139148941880264,0.0691442235985135,0.9496814163303822,training_half_a
ADANIPOWER,full_start_3,all training dates; generic start 3,1.2202079589873005e-05,12,2026-04-06,2026-05-07,59,0.0784820891185634,0.2091728998934103,4.998340010180476,0.8459356802109068,2.892499924300738,-0.531453049950275,9.997613578496718,0.1537341665769181,1.2085561230230613,0.7870163459129911,0.0899925007950468,1.6133416800000144,0.949651026975534,full_start_3
CESC,training_half_a,alternating training-date half A,5.8719822003386065e-05,6,2024-12-05,2025-05-06,79,0.0058430856522913,0.0241199648775787,0.0517037571728708,0.150342519173402,0.0135929193787164,-0.0011077073849227,5.762405816904913,0.8479778786743382,3.109474955107853,-2.4089073266224397e-07,0.0153617787509622,0.1039508249164065,0.0011077074111157,training_half_a
JSWENERGY,full_start_1,all training dates; generic start 1,1.9686261298144584e-05,12,2024-12-30,2025-06-06,140,0.0268028864474441,0.0473848512511044,4.83019191457844,0.3360533535813503,1.7908560449276898,0.6501997997167203,9.86991253243113,0.2352715560697138,2.142738344106523,-0.6914218395947501,0.0392390090171685,0.0528917482497206,0.9491174531217154,full_start_1
NHPC,training_half_a,alternating training-date half A,1.347554388899267e-05,6,2025-01-03,2025-10-20,111,0.0041136155859378,0.0300679330417909,0.0635743970290944,0.1356286098207681,0.1299232266363663,-0.9448298070407706,3.36002636682258,0.6606079986711142,2.095669534560627,-6.699927655969502e-06,0.0003649693588946,0.0474897892521246,0.9448298070645256,training_half_a
NTPC,training_half_b,alternating training-date half B,2.0295165697087773e-05,6,2024-07-25,2024-11-07,136,0.0222215563085727,0.0302991090763977,4.997312698820739,0.0811780092423029,0.8958525501710582,0.6506354102297093,9.99745420959367,0.0664646484315502,1.1466572665025196,-0.6916158696602607,0.0087920012551072,0.0141316716793005,0.949557237985526,training_half_b
POWERGRID,full_start_3,all training dates; generic start 3,1.2130461214080788e-05,12,2024-07-08,2024-12-23,140,0.0118191424557147,0.0131671413318059,4.9956169648869775,0.1537548478866967,1.2328279819856374,-0.7359503825732026,5.113148374821945,0.1098494609270323,1.0542338522175214,0.6002215851696179,0.016335819906019,0.0119441700668496,0.949678322861574,full_start_3
SJVN,full_start_1,all training dates; generic start 1,4.795513855231951e-05,12,2024-12-31,2025-06-04,140,0.0162401645596192,0.0532979040652499,1.063320341238336,0.1507939590797468,0.5632659417896362,-0.9496797432567452,4.253820343611514,0.8429799372813612,2.663735822566794,-2.310263999169628e-06,0.0034160468705463,0.0762818805020284,0.9496797432595554,full_start_1
TATAPOWER,full_start_1,all training dates; generic start 1,1.7117904854087222e-05,12,2024-07-25,2024-10-30,56,0.0061485801067216,0.0537491846251237,0.0516648544064848,0.0309714472092593,0.0562528253407463,-0.9487302939923562,9.99665115955824,0.1742630685395758,1.8566205157143831,-7.765159337658114e-07,3.5890262832519865e-05,0.0370544729971125,0.948730293992674,full_start_1
TORNTPOWER,full_start_3,all training dates; generic start 3,2.2136543161290287e-05,12,2025-03-07,2025-10-16,140,0.0339450582731787,0.0396189802559428,4.850333517784417,0.2546621340875742,1.5612423708624896,0.6416086206426084,9.78159830681659,0.2099685726327492,2.0150335501855876,-0.6988371825944182,0.0329148287746141,0.0472962607248597,0.9487017602278468,full_start_3
