S,tau_days,C_BS,C_SH,C_DH,C_PINN
594.6902620449547,84.63471170423611,0.0006249304471430386,7.31003830278335e-10,4.997997614546859e-06,4.86451627391566e-06
595.9599061577399,84.63471170423611,0.0007163294211254338,1.4555078410793708e-09,6.3554798687802145e-06,6.2044894434788036e-06
597.2295502705249,84.63471170423611,0.000820111507075304,2.8165411480588787e-09,8.062732330078488e-06,7.893182666551612e-06
598.49919438331,84.63471170423611,0.0009378114076806062,5.320324585799236e-09,1.0204627983140274e-05,1.0015799627359523e-05
599.7688384960951,84.63471170423611,0.0010711346310012127,9.83445253436729e-09,1.288524550799903e-05,1.267691674173882e-05
601.0384826088803,84.63471170423611,0.0012219740609627334,1.781539654402238e-08,1.623186705489341e-05,1.6004528265999105e-05
602.3081267216653,84.63471170423611,0.0013924278530388836,3.166181561858041e-08,2.0399724250869125e-05,2.0154851046962724e-05
603.5777708344505,84.63471170423611,0.0015848187311008944,5.524974408498152e-08,2.5577616482498963e-05,2.53180126592563e-05
604.8474149472355,84.63471170423611,0.0018017147627983497,9.473115837204983e-08,3.199453874725317e-05,3.1724762906573164e-05
606.1170590600207,84.63471170423611,0.002045951691913916,1.597003437034529e-07,3.9927473295863194e-05,3.965436626124165e-05
607.3867031728057,84.63471170423611,0.002320656906906303,2.6487121945357915e-07,4.971052200852858e-05,4.944385175121979e-05
608.6563472855909,84.63471170423611,0.002629275125251222,4.324459737271114e-07,6.174557228767916e-05,6.149881701341208e-05
609.925991398376,84.63471170423611,0.002975595873199355,6.954075861461454e-07,7.651471206700049e-05,7.630600461505213e-05
611.1956355111611,84.63471170423611,0.003363782840146418,1.1020240274401628e-06,9.459463323776761e-05,9.444789115391632e-05
612.4652796239462,84.63471170423611,0.003798405185911831,1.7219169654982743e-06,0.00011667328342222076,0.00011661955289130937
613.7349237367313,84.63471170423611,0.004284470877831447,2.6541212174356654e-06,0.00014356905251119135,0.0001436480954970804
615.0045678495164,84.63471170423611,0.004827462132630036,4.03763545769666e-06,0.00017625280175923196,0.00017651495959177123
616.2742119623015,84.63471170423611,0.005433373035526225,6.065051473645543e-06,0.00021587307117098328,0.00021638143779060853
617.5438560750866,84.63471170423611,0.00610874940591277,8.999928077979217e-06,0.0002637848203245487,0.00026461776245752743
618.8135001878717,84.63471170423611,0.0068607309752014315,1.3198663889978172e-05,0.0003215820837893453,0.00032283614588197757
620.0831443006568,84.63471170423611,0.00769709593799274,1.9137698670917616e-05,0.00039113494334627844,0.00039292817553768575
621.352788413442,84.63471170423611,0.008626307932627381,2.7446947862565307e-05,0.00047463123672013155,0.0004771069858728019
622.622432526227,84.63471170423611,0.009657565501332727,3.895043658240782e-05,0.0005746234404540615,0.0005779546440420653
623.8920766390122,84.63471170423611,0.010800854073619123,5.471514484225573e-05,0.0006940811795235758,0.0006984751994346793
625.1617207517972,84.63471170423611,0.012067000509254862,7.610910688490785e-05,0.0008364498217347297,0.0008421538550175551
626.4313648645824,84.63471170423611,0.013467730229014619,0.00010486981349585499,0.0010057156228395637,0.001013022721656288
627.7010089773675,84.63471170423611,0.015015726952594793,0.00014318395385315254,0.0012064778831500423,0.0012157336139120667
628.9706530901526,84.63471170423611,0.016724695053352445,0.000193779486585276,0.0014440285736264378,0.001455638336587823
630.2402972029377,84.63471170423611,0.01860942452914767,0.00026003096222318515,0.0017244398692908517,0.0017388768947688264
631.5099413157228,84.63471170423611,0.020685858577308956,0.000346078923012879,0.0020546600083696967,0.00207247403559334
632.7795854285079,84.63471170423611,0.022971163749806515,0.00045696407287517944,0.0024426178620866623,0.002464444496867338
634.049229541293,84.63471170423611,0.02548380265195619,0.0005987767602743132,0.0028973365615665428,0.0029239072953996382
635.3188736540782,84.63471170423611,0.028243609134558003,0.0007788221380940263,0.003429056476868304,0.003461209336125416
636.5885177668632,84.63471170423611,0.03127186591525344,0.0010058011532124778,0.004049367783607683,0.004088058561507849
637.8581618796484,84.63471170423611,0.03459138455004433,0.0012900073063775044,0.004771352782835763,0.0048176667891210775
639.1278059924334,84.63471170423611,0.03822658766058102,0.0016435388747430626,0.00560973806135749,0.005664902303917127
640.3974501052186,84.63471170423611,0.0422035933068768,0.002080526046285108,0.0065810564874441615,0.006646452180579517
641.6670942180036,84.63471170423611,0.04655030137857068,0.0026173721554793392,0.007703818940775063,0.0077809942111064295
642.9367383307888,84.63471170423611,0.05129648186110951,0.003273007955380356,0.008998695566939505,0.009089378203943064
644.2063824435738,84.63471170423611,0.05647386481584967,0.0040691576068877565,0.010488706226769375,0.01059481630452797
645.476026556359,84.63471170423611,0.062116231895574255,0.0050306148224449655,0.012199419698523138,0.012323081864011747
646.7456706691441,84.63471170423611,0.06825950919928794,0.00618552737543433,0.01415916104920014,0.014302716254609176
648.0153147819292,84.63471170423611,0.07494186125207679,0.007565687970626931,0.016399226469296663,0.016565242897856696
649.2849588947144,84.63471170423611,0.08220378587820168,0.009206829289759588,0.01895410472655684,0.01914538763778558
650.5546030074994,84.63471170423611,0.09008820971763883,0.011148920861186882,0.021861704255128355,0.022081304456401125
651.8242471202846,84.63471170423611,0.09864058411873032,0.013436465273605336,0.02516358476691519,0.02541480539594705
