tau_days,S,BS,DH,PINN,SH
30.0,70.0,1.18032494109506e-10,-3.2834845953289005e-12,1.5878363225780932e-13,-9.475753515175792e-13
30.0,70.15,1.513584001038894e-10,-3.272920823249593e-12,1.6114803983905132e-13,-1.7737478152923055e-13
30.0,70.3,1.9372726038685242e-10,-3.2683966644242464e-12,1.6384181798469966e-13,8.641976023681395e-13
30.0,70.45,2.4749089366095227e-10,-3.262545789084469e-12,1.6687205755199713e-13,2.209216143356319e-12
30.0,70.6,3.1558544750543714e-10,-3.2555513840293325e-12,1.7024685135239684e-13,4.0055181393937595e-12
30.0,70.75,4.01669554937387e-10,-3.248457058901978e-12,1.7397552676131236e-13,6.346173586635536e-12
30.0,70.9,5.102934256457555e-10,-3.238942447580938e-12,1.78068981043234e-13,9.42624867050782e-12
30.0,71.05,6.471053913243315e-10,-3.237182744086907e-12,1.8254014965772538e-13,1.3462914116857333e-11
30.0,71.2,8.191037073102659e-10,-3.22901705374079e-12,1.8740464533406786e-13,1.8735990536811457e-11
30.0,71.35,1.0349429285275932e-09,-3.2207014832863487e-12,1.9268161760050316e-13,2.562351442136881e-11
30.0,71.5,1.3053059650195089e-09,-3.2154001683437636e-12,1.9839490345963823e-13,3.4612979149527815e-11
30.0,71.65,1.6433550251704011e-09,-3.209915666602115e-12,2.0457457895451357e-13,4.6295306477262245e-11
30.0,71.8,2.0652771234239997e-09,-3.1985525339450772e-12,2.1125909381459817e-13,6.144869058033469e-11
30.0,71.95,2.5909427212941806e-09,-3.1931179922395358e-12,2.184983015040071e-13,8.109607985140702e-11
30.0,72.1,3.2446994510238573e-09,-3.181505059401956e-12,2.2635791941402092e-13,1.0650964554770353e-10
30.0,72.25,4.0563268143983235e-09,-3.1798730315557573e-12,2.3492631146873224e-13,1.3932838216490712e-10
30.0,72.4,5.062182338610633e-09,-3.1566749214562134e-12,2.4432501895030143e-13,1.8161134818228895e-10
30.0,72.55,6.306575001225901e-09,-3.1579128201286734e-12,2.547251923515646e-13,2.360084017105602e-10
30.0,72.7,7.843407913367352e-09,-3.1355806839883382e-12,2.6637295916133567e-13,3.058482744844271e-10
30.0,72.85,9.738139393392351e-09,-3.1207814110700838e-12,2.7962768042974235e-13,3.9535886231512236e-10
30.0,73.0,1.2070119805880632e-08,-3.112621271839088e-12,2.9501783043739486e-13,5.098502176004219e-10
30.0,73.15,1.4935371031564074e-08,-3.100827927760009e-12,3.1331980367309294e-13,6.560513549080899e-10
30.0,73.3,1.844988633804174e-08,-3.0726199362618458e-12,3.3566564353829047e-13,8.423892916553602e-10
30.0,73.45,2.2753540922588232e-08,-3.0511593251958367e-12,3.636875925603429e-13,1.0794481031251182e-09
30.0,73.6,2.801471769994388e-08,-3.0068392220528057e-12,3.997124027588393e-13,1.3804706711084518e-09
30.0,73.75,3.4435769233459394e-08,-2.963809753175894e-12,4.47028654658119e-13,1.7620629955139794e-09
30.0,73.9,4.225945530324765e-08,-2.8822610964596138e-12,5.102671630008203e-13,2.2448573389066817e-09
30.0,74.05,5.177651674029688e-08,-2.788369535267067e-12,5.959576736963533e-13,2.854613823100058e-09
30.0,74.2,6.33345701247359e-08,-2.646127761352089e-12,7.133538133864115e-13,3.623351862991346e-09
30.0,74.35,7.734853507061814e-08,-2.4572038848091902e-12,8.756537584941791e-13,4.590732702314267e-09
30.0,74.5,9.431283644704913e-08,-2.181366198783519e-12,1.1017907061802738e-12,5.805936398317603e-09
30.0,74.65,1.1481565839291336e-07,-1.786948367055159e-12,1.4190319736274895e-12,7.3296924640865695e-09
30.0,74.8,1.3955556577333737e-07,-1.2034373497726853e-12,1.8667165417549565e-12,9.236946629798066e-09
30.0,74.95,1.6936085224097663e-07,-3.900407774537566e-13,2.5015867779484564e-12,1.1619986620137229e-08
30.0,75.1,2.0521202276366648e-07,7.667089185758845e-13,3.4053412574923047e-12,1.4592154168324677e-08
30.0,75.25,2.482678728637335e-07,2.4274471321916877e-12,4.695265876871815e-12,1.8292586778656356e-08
30.0,75.4,2.998956874055628e-07,4.779465712090274e-12,6.5391088203643346e-12,2.2891558248972006e-08
30.0,75.55,3.617061491279988e-07,8.132450268760756e-12,9.17577706486559e-12,2.8597213427850043e-08
30.0,75.7,4.355936218267353e-07,1.2862000353664052e-11,1.2943981872966825e-11,3.566341479910311e-08
30.0,75.85,5.237825557586786e-07,1.9534263095976627e-11,1.8321692231291463e-11,4.439931171606923e-08
30.0,76.0,6.288808541148918e-07,2.8941515850533196e-11,2.598022536918604e-11,5.518054924102945e-08
30.0,76.15,7.539411399297941e-07,4.211878068538611e-11,3.6858085497844554e-11,6.846290680762175e-08
30.0,76.3,9.025309732554109e-07,6.058176182932588e-11,5.2261349452610147e-11,8.47981668217206e-08
30.0,76.45,1.0788131895161614e-06,8.632878301107147e-11,7.399961071286842e-11,1.0485333959697785e-07
30.0,76.6,1.2876376623688322e-06,1.2215646272295242e-10,1.0456938370169669e-10,1.2943308138613187e-07
30.0,76.75,1.5346459388447166e-06,1.718367670378002e-10,1.4740063159989383e-10,1.5950639450923314e-07
30.0,76.9,1.8263903517144825e-06,2.405497745439118e-10,2.0718695715207587e-10,1.9623805525559434e-07
30.0,77.05,2.1704693846392085e-06,3.352928157340761e-10,2.9032629378906146e-10,2.410256318974248e-07
30.0,77.2,2.575681250368698e-06,4.6554400334742324e-10,4.0550703748763346e-10,2.955429977635792e-07
30.0,77.35,3.052197841679535e-06,6.440746880276224e-10,5.644849457483192e-10,3.6179126617352174e-07
30.0,77.5,3.6117614295621834e-06,8.880488011620023e-10,7.831093906469898e-10,4.4215852881834616e-07
30.0,77.65,4.26790671385949e-06,1.2204763699674902e-09,1.0826744177116621e-09,5.394895403770827e-07
30.0,77.8,5.036211078610356e-06,1.6721015572151999e-09,1.4916914263359055e-09,6.571669179722343e-07
30.0,77.95,5.9345761682981165e-06,2.283802189029269e-09,2.0482072430810886e-09,7.992057166395112e-07
30.0,78.1,6.98354418219574e-06,3.1099002928413266e-09,2.8028252328647655e-09,9.703631376034426e-07
30.0,78.25,8.206652582337322e-06,4.222220240102092e-09,3.822629486680316e-09,1.1762656404595856e-06
30.0,78.4,9.63083122650654e-06,5.715529027838806e-09,5.196264962250032e-09,1.4235560023667677e-06
30.0,78.55,1.1286846270706816e-05,7.714400135361204e-09,7.040492034155578e-09,1.7200630291147356e-06
30.0,78.7,1.3209795536057897e-05,1.0382127518804228e-08,9.508614961247037e-09,2.0749968826505615e-06
30.0,78.85,1.543966040210852e-05,1.3932025566543095e-08,1.2801283522969045e-08,2.499173940315167e-06
30.0,79.0,1.8021919671917528e-05,1.8641953924980662e-08,1.7180289291243678e-08,3.0052743925646255e-06
30.0,79.15,2.100823125312589e-05,2.4872650011831884e-08,2.2986127094780537e-08,3.6081374081010082e-06
30.0,79.3,2.4457187912332612e-05,3.3091013174057465e-08,3.0660273297468636e-08,4.3250984712361904e-06
30.0,79.45,2.843515378634388e-05,4.389943313309851e-08,4.0773351414496605e-08,5.176373853038572e-06
30.0,79.6,3.301718877186221e-05,5.807270699875667e-08,5.406061901979775e-08,6.185498506239245e-06
30.0,79.75,3.82880683628084e-05,7.660424286570609e-08,7.146652543442402e-08,7.379823174252676e-06
30.0,79.9,4.434340695939084e-05,1.0076368709421946e-07,9.420046584006728e-08,8.791078258957363e-06
30.0,80.05,5.129089313407411e-05,1.3216881780964133e-07,1.238063037134114e-07,1.0456011528334258e-05
30.0,80.2,5.925164580172613e-05,1.7287442353187016e-07,1.6224876028318057e-07,1.2417108365192677e-05
30.0,80.35,6.836170070386947e-05,2.254822750513684e-07,2.1202038848813343e-07,1.4723403314248461e-05
30.0,80.5,7.877363707452676e-05,2.9327637984800067e-07,2.762735719942245e-07,1.7431392897837643e-05
30.0,80.65,9.065835480539922e-05,3.80389108231582e-07,3.58982830358294e-07,2.0606060172079622e-05
30.0,80.8,0.00010420701286559409,4.920039918143748e-07,4.651436832312943e-07,2.4322022359646465e-05
30.0,80.95,0.00011963314015259494,6.346030404141842e-07,6.010154438913906e-07,2.866481386161717e-05
30.0,81.1,0.00013717493035029328,8.162666830790889e-07,7.744165899006632e-07,3.373231788558191e-05
30.0,81.25,0.00015709773274296757,1.047036768397898e-06,9.950828107098152e-07,3.963636027171083e-05
30.0,81.4,0.0001796967512745646,1.33935405620679e-06,1.2750994724545008e-06,4.650448084269074e-05
30.0,81.55,0.0002052999644448444,1.708583484541501e-06,1.629422081873194e-06,5.448189766699178e-05
30.0,81.7,0.00023427127889145963,2.1736428424346025e-06,2.076500385427918e-06,6.37336811232626e-05
30.0,81.85,0.0002670139297155722,2.757752584173187e-06,2.6390240153583416e-06,7.44471552335311e-05
30.0,82.0,0.0003039741407563939,3.4893264613256324e-06,3.344810097434768e-06,8.683454451563523e-05
30.0,82.15,0.00034564505810872866,4.403026159158255e-06,4.227855967792943e-06,0.00010113588559835255
30.0,82.3,0.00039257097018825034,5.541005342718476e-06,5.329583105770603e-06,0.00011762222378217593
