tau_days,S,BS,DH,PINN,SH
30.0,82.45,0.000445351827589188,6.95437193999895e-06,6.700301568004504e-06,0.00013659911480683838
30.0,82.6,0.0005046480758290983,8.704900630940299e-06,8.40092759134804e-06,0.00015841045334337133
30.0,82.75,0.0005711858138314463,1.0867031268499474e-05,1.050499059632534e-05,0.00018344265008721352
30.0,82.9,0.0006457622906605914,1.3530192314348361e-05,1.3100969538186724e-05,0.000212129179583839
30.0,83.05,0.0007292517525731612,1.680149229459641e-05,1.6295002379688737e-05,0.00024495552140547185
30.0,83.2,0.0008226116518912134,2.0808826379870093e-05,2.02140163490124e-05,0.0002824645176089855
30.0,83.35,0.0009268892285230814,2.5704448456592526e-05,2.5009330538361795e-05,0.00032526216896818877
30.0,83.5,0.001043228474156585,3.166906385948512e-05,3.086078622359519e-05,0.0003740238930750016
30.0,83.65,0.0011728774882081739,3.891650081167844e-05,3.798146396302666e-05,0.00042950126611616566
30.0,83.8,0.001317196233548513,4.769902273558017e-05,4.662304997344374e-05,0.0004925292706207525
30.0,83.95,0.0014776646988123897,5.831334668886212e-05,5.708191738470987e-05,0.0005640340698835949
30.0,84.1,0.0016558914727456881,7.110743623760518e-05,6.970599063315604e-05,0.0006450413293547532
30.0,84.25,0.0018536227345445234,8.648813928140262e-05,8.490246335534077e-05,0.0007366851034786491
30.0,84.4,0.0020727516625027417,0.00010492974336382572,0.00010314644156742156,0.0008402173057172529
30.0,84.55,0.0023153282614678354,0.00012698352194421213,0.00012499058454304592,0.0009570177768893832
30.0,84.7,0.002583569607693433,0.00015328834537781187,0.00015107581551159486,0.0010886049653578938
30.0,84.85,0.0028798705075520083,0.00018458242949286025,0.0001821431729728487,0.0012366472302140143
30.0,85.0,0.0032068145643648666,0.000221716292954364,0.00021904687095288894,0.0014029747756422195
30.0,85.15,0.003567185645216236,0.000265666990947285,0.00026276863280816744,0.0015895922219352468
30.0,85.3,0.003963979737112981,0.00031755368928303135,0.0003144333581302916,0.0017986918150831401
30.0,85.45,0.004400417179210338,0.00037865463562495596,0.0003753261758444621,0.002032667273479827
30.0,85.6,0.004879955255078001,0.00045042557864122983,0.00044691092867193234,0.0022941282661556677
30.0,85.75,0.0054063011260864985,0.0005345196754116639,0.0005308501247134304,0.0025859155125680547
30.0,85.9,0.005983425084051663,0.0006328089180051421,0.0006290263809973862,0.002911116490196875
30.0,86.05,0.006615574098201301,0.0007474070966651755,0.0007435653714404032,0.0032730817301419887
30.0,86.2,0.007307285628401054,0.0008806943040647968,0.000876860277835461,0.0036754416773080887
30.0,86.35,0.008063401673391328,0.0010353429686718266,0.0010315977272894552,0.004122124085083133
30.0,86.5,0.008889083019551224,0.001214345388939687,0.0012107851830678285,0.0046173719100309416
30.0,86.65,0.00978982365245508,0.0014210427207763836,0.0014177797382178934,0.005165761665880941
30.0,86.8,0.010771465290227907,0.00165915535197273,0.0016563182427563865,0.005772222190272514
30.0,86.95,0.011840211994460096,0.0019328145755021864,0.0019305486758425185,0.006442053771933358
30.0,87.1,0.013002644811238369,0.0022465954529153464,0.0022450626543641,0.007180947580188099
30.0,87.25,0.014265736391710264,0.002605550736141745,0.002604928949020925,0.007995005332044681
30.0,87.4,0.01563686553852423,0.0030152456940330963,0.0030157278584803933,0.00889075912690024
30.0,87.55,0.017123831621543923,0.003481793667525729,0.003483586271797821,0.009875191372423
30.0,87.7,0.01873486880340806,0.004011892154630553,0.004015213229281592,0.010955754719671487
30.0,87.85,0.02047866001283412,0.004612859206210167,0.004617935772619407,0.012140391919846914
30.0,88.0,0.0223643506010945,0.005292669891843252,0.005299734856641525,0.013437555509705629
30.0,88.15,0.02440156161478609,0.006059992577430852,0.006069281077847581,0.014856227227645402
30.0,88.3,0.026600402616001058,0.006924224738309003,0.006935969959056838,0.016405937057793356
30.0,88.45,0.02897148397917689,0.007895528016924079,0.007909956515503346,0.01809678179503835
30.0,88.6,0.0315259285924242,0.008984862221843056,0.009002188815645075,0.0199394430202254
30.0,88.75,0.03427538288988461,0.010204017954774824,0.010224440240164546,0.021945204371417178
30.0,88.9,0.0372320271408053,0.011565647545827552,0.011589340135260627,0.024125967994270338
30.0,89.05,0.04040858492046372,0.013083293973807671,0.013110402551682297,0.02649427005270625
30.0,89.2,0.04381833168789555,0.014771417448173835,0.014802052759081261,0.029063295179322143
30.0,89.35,0.04747510239554973,0.016645419333198366,0.01667965122644117,0.03184688974461042
30.0,89.5,0.051393298056665024,0.01872166310188636,0.018759514763637842,0.03485957382367107
30.0,89.65,0.05558789119702041,0.021017492018111178,0.021058934526662496,0.03811655174031119
30.0,89.8,0.06007443011930298,0.023551243260621104,0.023596190599862402,0.04163372106973417
30.0,89.95,0.06486904191005913,0.026342258219873585,0.026390562882604073,0.04542767998368826
30.0,90.1,0.0699884341215081,0.029410888721187075,0.02946233802513677,0.04951573282511406
30.0,90.25,0.07544989506325486,0.03277849895189769,0.032832812179021606,0.05391589380349853
30.0,90.4,0.08127129264202379,0.03646746289843099,0.036524289351160845,0.058646888707262514
30.0,90.55,0.08747107169118616,0.04050115712957927,0.040560075177179834,0.06372815453526025
30.0,90.7,0.0940682497358552,0.04490394879488522,0.04496446595930354,0.06917983695616678
30.0,90.85,0.10108241114369458,0.04970117874252365,0.04976273284597165,0.07502278551210262
30.0,91.0,0.10853369961659545,0.05491913969640983,0.05498110106464202,0.08127854649121215
30.0,91.15,0.11644280898336896,0.06058504947062869,0.06064672415563768,0.08796935340280954
30.0,91.3,0.12483097225947122,0.06672701923687265,0.06678765319270835,0.09511811499856745
30.0,91.45,0.13371994894558598,0.07337401689919561,0.0734328010152694,0.10274840079362423
30.0,91.6,0.14313201054314512,0.08055582566842283,0.08061190153720414,0.1108844240525481
30.0,91.75,0.15308992427174078,0.08830299796599028,0.08835546423778125,0.11955102221661788
30.0,91.9,0.1636169349798505,0.09664680482348377,0.0966947239803926,0.12877363476085685
30.0,92.05,0.17473674524778887,0.10561918097901142,0.10566158634509847,0.13857827848183205
30.0,92.2,0.18647349368887822,0.11525266590441467,0.11528856869959006,0.14899152022979648
30.0,92.35,0.1988517314624161,0.12558034102825927,0.1256087372709481,0.16004044711174242
30.0,92.5,0.21189639701971366,0.13663576344777723,0.13665564051596707,0.17175263420528614
30.0,92.65,0.22563278911203352,0.1484528964483757,0.14846323912092105,0.18415610983594427
30.0,92.8,0.2400865380971169,0.1610660371717973,0.16106583299196134,0.1972793184842925
30.0,92.95,0.25528357558886966,0.1745097417932608,0.1744979856240288,0.21115108140144484
30.0,93.1,0.2712501025023686,0.18881874858382536,0.18879444625923278,0.22580055502532825
30.0,93.25,0.2880125555539114,0.20402789924688167,0.20399007026454324,0.24125718730134788
30.0,93.4,0.30559757228391465,0.2201720589263471,0.2201197381727679,0.2575506720244013
30.0,93.55,0.32403195467696894,0.23728603529028952,0.23721827384016314,0.2747109013299091
30.0,93.7,0.3433426314614404,0.2554044970954476,0.25532036217830384,0.292767916472781
30.0,93.85,0.36355661917714654,0.27456189263686814,0.2744604669163986,0.31175185704396113
30.0,94.0,0.38470098210686116,0.2947923684832517,0.2946727488439063,0.33169290878322677
30.0,94.15,0.40680279117309176,0.31612968889009324,0.3159909849708098,0.35262125015635
30.0,94.3,0.4298890819080545,0.3386071562732947,0.33844848902568475,0.3745669978722946
30.0,94.45,0.45398681160975973,0.36225753311236075,0.3620780336887217,0.3975601515235997
30.0,94.6,0.4791228158024469,0.3871129656371226,0.38691177492951867,0.4216305375386396
30.0,94.75,0.5053237641239937,0.4132049096339004,0.4129811787878037,0.44680775264034095
30.0,94.9,0.5326161157671309,0.4405640586878279,0.4403169508995844,0.47312110700914584
30.0,95.05,0.5610260746045297,0.46922027515614684,0.4689489690335405,0.5005995673516123
30.0,95.2,0.5905795441310643,0.499202524144824,0.4989062188622786,0.5292717000776987
30.0,95.35,0.6213020823586636,0.5305388107367298,0.530216733152726,0.5591656147903641
30.0,95.5,0.6532188568010046,0.5632561206944602,0.5629075345198478,0.5903089082913066
30.0,95.65,0.6863545996865721,0.5973803648357164,0.5970045818494114,0.6227286093045292
30.0,95.8,0.7207335635386297,0.6329363272526373,0.6325327204604367,0.6564511241175852
30.0,95.95,0.7563794772613615,0.6699476175207618,0.6695156360465304,0.6915021833361545
30.0,96.1,0.7933155028697559,0.708436627016743,0.7079758124091173,0.7279067899435177
30.0,96.25,0.8315641930002317,0.7484244894382831,0.7479344929757435,0.7656891688503316
30.0,96.4,0.8711474493363348,0.7899310455943876,0.7894116460824231,0.8048727181138913
30.0,96.55,0.9120864820817697,0.8329748125089173,0.8324259339924033,0.8454799619984048
30.0,96.7,0.9544017706094378,0.8775729568568791,0.8769946856227366,0.8875325060393751
30.0,96.85,0.9981130254113912,0.9237412727293572,0.9231338729550286,0.9310509942660408
30.0,97.0,1.0432391514704957,0.9714941637015481,0.9708580911164306,0.9760550687260579
30.0,97.15,1.0897982131692865,1.0208446291568514,1.0201805421289818,1.0225633314457492
30.0,97.3,1.1378074008463788,1.0718042548012676,1.0711130223388237,1.070593308948443
30.0,97.45,1.1872829991047027,1.1243832072833913,1.1236659135484772,1.1201614194414065
30.0,97.6,1.2382403569696052,1.1785902328189053,1.1778481778837637,1.1712829427699778
30.0,97.75,1.2906938599877336,1.2344326597030366,1.2336673564290024,1.2239719932250603
30.0,97.9,1.344656904351043,1.2919164045804281,1.2911295716592357,1.2782414952771781
30.0,98.05,1.4001418731218755,1.3510459823294885,1.3502395336844053,1.3341031622975845
30.0,98.2,1.457160114628303,1.4118245194074328,1.4110005502973393,1.391567478313768
30.0,98.35,1.5157219230897478,1.4742537704923595,1.4734145407863664,1.4506436828336333
30.0,98.5,1.5758365215254266,1.5383341382511422,1.5374820534349936,1.5113397587594581
30.0,98.65,1.6375120469891307,1.6040646960546734,1.603202286587968,1.5736624234000796
30.0,98.8,1.7007555381657693,1.6714432134571195,1.6705731131180401,1.6376171225767386
30.0,98.95,1.7655729253557144,1.7404661842514657,1.7395911080840016,1.7032080278056794
30.0,99.1,1.8319690228649357,1.8111288569111132,1.810251579331204,1.7704380365283987
30.0,99.25,1.8999475238097916,1.8834252672253997,1.8825486007538474,1.8393087753487085
30.0,99.4,1.9695109973366751,1.9573482729367693,1.9564750479160231,1.9098206062244811
30.0,99.55,2.040660888248306,2.0328895901874278,2.032022635717229,1.9819726355509004
30.0,99.7,2.1133975190197973,2.110039831585399,2.1091819577888637,2.055762726062245
30.0,99.85,2.1877200941793875,2.188788545701615,2.1879425273197275,2.1311875114689154
30.0,100.0,2.2636267070207996,2.269124257813804,2.268292819030732,2.208242413737965
30.0,100.15,2.341114348606099,2.351034511716007,2.3502203120479734,2.2869216629165554
30.0,100.3,2.420178919010521,2.4345059124179294,2.4337115334588377,2.367218319390374
30.0,100.45,2.5008152407536817,2.51952416956337,2.5187521023717574,2.449124298461723
30.0,100.6,2.5830170743539678,2.6060741414024458,2.605326774336858,2.5326303971261432
30.0,100.75,2.6667771359376626,2.6941398791593265,2.693419486017173,2.617726322920508
30.0,100.9,2.7520871168268153,2.783704671643058,2.783013400026019,2.7044007247109727
30.0,101.05,2.8389377050252316,2.8747510899564603,2.874090949865721,2.7926412252851103
30.0,101.2,2.927318608516168,2.9672610321652857,2.9666338849128002,2.882434455609317
30.0,101.35,3.0172185802805216,3.0612157677971648,3.06062331539711,2.9737660906096277
30.0,101.5,3.108625444940392,3.156595982047433,3.156039757316004,3.066620886333168
30.0,101.65,3.2015261269283677,3.2533818195766546,3.2528631772133556,3.160982718345111
30.0,101.8,3.295906680080193,3.3515529277924045,3.3510730367361354,3.25683462121685
30.0,101.95,3.391752318544961,3.451088499515778,3.4506483368640315,3.3541588289602586
30.0,102.1,3.489047448905235,3.5519673149400828,3.551567661689409,3.452936816264659
30.0,102.25,3.587775703397109,3.6541677827978845,3.6538092216112594,3.5531493403940106
30.0,102.4,3.6879199741187563,3.7576679806588915,3.7573508957966357,3.6547764836040075
30.0,102.55,3.7894624481159753,3.8624456942894803,3.8621702737599066,3.7577976959419748
30.0,102.69999999999999,3.892384643231455,3.9684784560114457,3.968244695913198,3.862191838294575
30.0,102.85,3.996667444605768,4.075743582004173,4.075551292951291,3.9679372255530003
30.0,103.0,4.102291141717622,4.184218208501962,4.1840670239488285,4.075011669768272
30.0,103.15,4.209235465852529,4.293879326844256,4.293768713068669,4.183392523175033
30.0,103.3,4.317479627889911,4.40470381734281,4.4046330848015405,4.293056720965444
30.0,103.44999999999999,4.4270023563008385,4.516668481936382,4.516636797681661,4.403980823701611
30.0,103.6,4.5377819352499165,4.629750075608078,4.6297564764454675,4.516141059258622
30.0,103.75,4.649796242698639,4.743925336547825,4.743968742622884,4.629513364197506
30.0,103.9,4.763022788408893,4.8591710150455985,4.859250243568236,4.744073424472038
30.0,104.05,4.877438751749613,4.975463901107471,4.975577679953686,4.859796715380061
30.0,104.19999999999999,4.99302101921225,5.0927808507902945,5.092927831759186,4.976658540675579
30.0,104.35,5.109746221544886,5.211098811255526,5.211277582801506,5.094634070764662
30.0,104.5,5.227590770418247,5.330394844546394,5.330603943848617,5.213698379913757
30.0,104.65,5.3465308945418455,5.450646150096987,5.450884074369172,5.33382648240598
30.0,104.8,5.466542675151904,5.57183008598439,5.572095302965473,5.454993367586599
30.0,104.94999999999999,5.587602080797474,5.693924188938908,5.694215146537241,5.577174033745769
30.0,105.1,5.709685001356745,5.8169061931300545,5.817221328221433,5.700343520792232
30.0,105.25,5.832767281218038,5.9407540477484675,5.941091794149184,5.824476941677427
30.0,105.4,5.956824751567804,6.065445933406752,6.065804729059093,5.949549512537153
30.0,105.55,6.0818332617298125,6.190960277383827,6.191338570802208,6.075536581520892
30.0,105.69999999999999,6.207768709507126,6.317275767739758,6.317672023772148,6.202413656287527
30.0,105.85,6.334607070481451,6.444371366329507,6.444784071291171,6.330156430149018
30.0,106.0,6.462324426230724,6.572226320745324,6.572653986982201,6.4587408068508365
30.0,106.15,6.590896991429955,6.700820175219306,6.701261345155179,6.588142923981949
30.0,106.3,6.720301139805264,6.830132780518069,6.830586030236086,6.718339175012121
30.0,106.44999999999999,6.850513428916121,6.960144302862834,6.960608245266698,6.849306229959225
30.0,106.6,6.981510623744829,7.09083523190869,7.091308519503221,6.981021054692938
30.0,106.75,7.113269719077613,7.222186387817257,7.222667715142613,7.1134609288862665
30.0,106.9,7.245767960665578,7.354178927457939,7.35466703320623,7.246603462629121
30.0,107.05,7.378982865157989,7.486794349772128,7.487288018610455,7.380426611722673
30.0,107.19999999999999,7.512892238805077,7.620014500336018,7.6205125644551845,7.514908691675651
30.0,107.35,7.647474194930934,7.753821575156796,7.754322915562,7.650028390427819
30.0,107.5,7.78270717018097,7.888198123737039,7.888701671293174,7.785764779827365
30.0,107.65,7.918569939552456,8.02312705144245,8.023631787684804,7.922097325893102
30.0,107.8,8.055041630219618,8.15859162120687,8.159096578926277,8.059005897893146
30.0,107.94999999999999,8.192101734168075,8.294575454608715,8.295079718219167,8.196470776274662
30.0,108.1,8.32973011965673,8.43106253235232,8.431565238048433,8.33447265948086
30.0,108.25,8.467907041527631,8.568037194186642,8.56853752989858,8.47299266969283
30.0,108.4,8.606613150387595,8.705484138294347,8.705981343447382,8.612012357535459
30.0,108.55,8.745829500686698,8.843388420181935,8.843881785269076,8.751513705787362
30.0,108.69999999999999,8.88553755772244,8.981735451102434,8.982224317078417,8.891479132136224
30.0,108.85,9.025719203598888,9.120510996039947,9.120994753546395,9.031891491020732
30.0,109.0,9.166356742173013,9.25970117128599,9.260179259717543,9.172734074601983
30.0,109.15,9.307432903021615,9.399292441635325,9.399764348057937,9.313990612906647
30.0,109.3,9.448930844463312,9.539271617229131,9.539736875162047,9.45564527318439
30.0,109.44999999999999,9.590834155672079,9.679625850071869,9.680084038145742,9.597682658522794
30.0,109.6,9.733126857918844,9.820342630247529,9.820793370751147,9.740087805761604
30.0,109.75,9.875793404979229,9.96140978185993,9.96185273918896,9.882846182749002
30.0,109.9,10.018818682746094,10.10281545872089,10.10325033774202,10.025943684981554
30.0,110.05,10.162188008085419,10.244548139809284,10.244974684152968,10.16936663166883
30.0,110.19999999999999,10.305887126975085,10.386596624522301,10.387014614817813,10.313101761263203
30.0,110.35,10.449902211966027,10.528950027740734,10.529359279806604,10.457136226494942
30.0,110.5,10.594219859004838,10.671597774727605,10.671998137730093,10.601457588950487
30.0,110.65,10.738827083657561,10.814529595879517,10.814920950472029,10.74605381323291
30.0,110.8,10.88371131677331,10.957735521349074,10.958117777803894,10.890913260740488
30.0,110.94999999999999,11.02886039962675,11.101205875555745,11.10157897189941,11.036024683099557
30.0,111.1,11.174262578577036,11.244931271601024,11.245295171764058,11.181377215286
30.0,111.25,11.31990649928125,11.388902605604311,11.389257297594678,11.32696036846905
30.0,111.4,11.465781200498874,11.53311105097377,11.53345654508303,11.472764022609129
30.0,111.55,11.611876107523223,11.67754805262605,11.677884379676229,11.618778418840774
30.0,111.69999999999999,11.758181025275245,11.822205321168399,11.822532530806638,11.764994151670718
30.0,111.85,11.904686131093472,11.967074827054978,11.96739298610208,11.91140216101821
30.0,112.0,12.051381967253567,12.11214879472938,12.11245798558786,12.057993724125916
30.0,112.15,12.198259433249474,12.25741969676419,12.257720015889726,12.204760447366068
30.0,112.3,12.34530977786689,12.402880248007339,12.403171804448016,12.351694257966468
30.0,112.44999999999999,12.492524591079173,12.548523399745374,12.54880631375085,12.498787395679601
30.0,112.6,12.639895795794057,12.694342333891681,12.694616735594767,12.646032404415992
30.0,112.75,12.787415639478338,12.84033045720861,12.840596485380248,12.79342212386274
30.0,112.9,12.93507668568715,12.986481395570356,12.986739196449156,12.940949681106153
30.0,113.05,13.082871805522132,13.132788988274163,13.13303871447003,13.088608482276245
30.0,113.19999999999999,13.230794169042369,13.279247282405853,13.279489091877533,13.236392204230032
30.0,113.35,13.378837236650325,13.425850527265736,13.426084582371228,13.384294786288935
30.0,113.5,13.5269947504736,13.572593168860196,13.5728196354785,13.532310422044558
30.0,113.65,13.675260725762627,13.719469844463852,13.719688891186339,13.680433551246225
30.0,113.8,13.823629442322554,13.866475377256831,13.866687174645877,13.828658851782201
30.0,113.94999999999999,13.972095435996678,14.013604771040791,14.01380949095347,13.976981231765828
30.0,114.1,14.120653490217304,14.160853205037359,14.161051020011428,14.125395821736177
30.0,114.25,14.269298627639373,14.308216028772572,14.308407111471592,14.273897966983089
30.0,114.4,14.418026101869888,14.455688757049193,14.455873279764308,14.422483220003768
30.0,114.55,14.566831389306344,14.603267065010096,14.603445199214875,14.571147333098844
30.0,114.69999999999999,14.715710181095302,14.750946783294483,14.75111869924995,14.719886251114051
30.0,114.85,14.864658375221348,14.898723893288487,14.898889759694917,14.86869610433285
30.0,115.0,15.013672068736243,15.046594522471928,15.046754506164461,15.017573201525234
30.0,115.15,15.162747550136258,15.194554939862174,15.19470920554687,15.166514023156404
