S,tau_days,C_BS,C_SH,C_DH,C_PINN,SH_minus_DH,BS_minus_DH,PINN_minus_DH,advantage
70.0,7.0,6.641799665547764e-40,-3.2773783686934625e-12,-3.248512570053208e-12,6.280519911410763e-14,-2.8865798640254474e-14,3.248512570053208e-12,3.3113177691673156e-12,-3.282451970527061e-12
70.8695652173913,7.0,2.319207981462821e-37,-3.254667067254937e-12,-3.216026478941352e-12,6.544430188549217e-14,-3.86405883135849e-14,3.216026478941352e-12,3.2814707808268442e-12,-3.2428301925132593e-12
71.73913043478261,7.0,6.188821580102044e-35,-3.219646771412954e-12,-3.194184047696009e-12,6.976042508733638e-14,-2.5462723716944857e-14,3.194184047696009e-12,3.2639444727833455e-12,-3.2384817490664006e-12
72.6086956521739,7.0,1.2735135900372873e-32,-3.1800890423398983e-12,-3.15689503523849e-12,7.557725121898783e-14,-2.3194007101408074e-14,3.15689503523849e-12,3.232472286457478e-12,-3.20927827935607e-12
73.47826086956522,7.0,2.0383574661367327e-30,-3.1519714374771075e-12,-3.096798180209867e-12,8.281435175387487e-14,-5.517325726724042e-14,3.096798180209867e-12,3.179612531963742e-12,-3.1244392746965014e-12
74.34782608695652,7.0,2.5588319497486003e-28,-3.0963154745469862e-12,-3.0395251533090937e-12,9.158794821488393e-14,-5.6790321237892494e-14,3.039525153309094e-12,3.131113101523978e-12,-3.0743227802860853e-12
75.21739130434783,7.0,2.5395077104788988e-26,-3.0305468279795187e-12,-2.977787099026679e-12,1.0239293928021912e-13,-5.2759728952839786e-14,2.9777870990267044e-12,3.080180038306898e-12,-3.0274203093540583e-12
76.08695652173913,7.0,2.0078515843068184e-24,-2.9544000096601185e-12,-2.904198620720545e-12,1.1636769222511806e-13,-5.020138893957368e-14,2.9041986207225526e-12,3.0205663129456628e-12,-2.970364924006089e-12
76.95652173913044,7.0,1.274059878935276e-22,-2.8653166795755215e-12,-2.833289158843399e-12,1.3565159115825477e-13,-3.202752073212245e-14,2.833289158970805e-12,2.968940750001654e-12,-2.9369132292695316e-12
77.82608695652173,7.0,6.534424518759702e-21,-2.7830394993375397e-12,-2.7355412621100992e-12,1.6389946998296827e-13,-4.7498237227440496e-14,2.7355412686445236e-12,2.8994407320930677e-12,-2.8519424948656272e-12
78.69565217391305,7.0,2.7274421814599894e-19,-2.6880188895995123e-12,-2.648340484110736e-12,2.0712265070348984e-13,-3.9678405488776315e-14,2.648340756854954e-12,2.855463134814226e-12,-2.8157847293254496e-12
79.56521739130434,7.0,9.326120635741505e-18,-2.602459310853943e-12,-2.545934477730636e-12,2.751864022323987e-13,-5.6524833123307217e-14,2.5459438038512715e-12,2.8211208799630345e-12,-2.7645960468397273e-12
80.43478260869566,7.0,2.629130404477431e-16,-2.527567527258032e-12,-2.464212409004966e-12,3.8461660514166915e-13,-6.335511825306605e-14,2.4644753220454136e-12,2.848829014146635e-12,-2.785473895893569e-12
81.30434782608695,7.0,6.14844805930079e-15,-2.41811401819988e-12,-2.372667280039681e-12,5.64337270608664e-13,-4.5446738160198886e-14,2.3788157280989818e-12,2.937004550648345e-12,-2.8915578124881462e-12
82.17391304347827,7.0,1.1999208231551088e-13,-2.308129532912557e-12,-2.2645894821207365e-12,8.69088013000143e-13,-4.354005079182032e-14,2.3845815644362473e-12,3.1336774951208794e-12,-3.090137444329059e-12
83.04347826086956,7.0,1.965558621880808e-12,-2.196890012901745e-12,-2.164765951037047e-12,1.4146413593030268e-12,-3.212406186469822e-14,4.130324572917855e-12,3.5794073103400736e-12,-3.5472832484753753e-12
83.91304347826087,7.0,2.7177287354527524e-11,-1.6465814219348365e-12,-2.0677421127980656e-12,2.473082899336113e-12,4.211606908632291e-13,2.924502946732559e-11,4.540825012134178e-12,-4.119664321270949e-12
84.78260869565217,7.0,3.1892435800020397e-10,6.910655622628831e-12,-1.9725766913611747e-12,4.683677235196341e-12,8.883232313990006e-12,3.208969346915651e-10,6.656253926557516e-12,2.2269783874324904e-12
85.65217391304348,7.0,3.1933527272648966e-09,1.426156294508785e-10,-1.8337264074335988e-12,9.178190550337168e-12,1.444493558583121e-10,3.19518645367233e-09,1.1011916957770767e-11,1.3343743890054134e-10
86.52173913043478,7.0,2.7425118504293764e-08,1.9251440296981057e-09,7.971884022472059e-13,2.0262887545448853e-11,1.9243468412958585e-09,2.742432131589152e-08,1.9465699143201647e-11,1.9048811421526567e-09
87.3913043478261,7.0,2.0305505926709113e-07,2.122678747749427e-08,1.0691399456574122e-10,1.4325900567942702e-10,2.1119873482928528e-08,2.0294814527252538e-07,3.6345011113685795e-11,2.1083528471814842e-08
88.26086956521739,7.0,1.3026536739675209e-06,1.9445947683023648e-07,3.158088959425061e-09,3.15686139720381e-09,1.913013878708114e-07,1.2994955850080957e-06,-1.2275622212507354e-12,1.9130016030859017e-07
89.13043478260869,7.0,7.277032586361301e-06,1.4909855376901846e-06,6.416285968718955e-08,6.431330529310828e-08,1.426822678002995e-06,7.212869726674112e-06,1.5044560591872986e-10,1.4266722323970762e-06
90.0,7.0,3.5574160366500294e-05,9.633819630927542e-06,9.269602879724389e-07,9.372958468316067e-07,8.706859342955103e-06,3.464720007852785e-05,1.0335558859167705e-08,8.696523784095936e-06
90.86956521739131,7.0,0.0001529363438801375,5.282639687479465e-05,9.739269382684224e-06,9.881102473933692e-06,4.3087127492110425e-05,0.00014319707449745328,1.4183309124946807e-07,4.294529440086096e-05
91.73913043478261,7.0,0.0005810747377736753,0.0002476065863965091,7.624163082833213e-05,7.736552640315531e-05,0.00017136495556817696,0.0005048331069453431,1.1238955748231726e-06,0.00017024105999335378
92.6086956521739,7.0,0.0019609719013104015,0.0009994256734963838,0.0004561920017762951,0.0004616282822765733,0.0005432336717200888,0.0015047798995341064,5.436280500278217e-06,0.0005377973912198106
93.47826086956522,7.0,0.005908008674595357,0.003500450129094046,0.0021414049566787882,0.002157558700464196,0.0013590451724152575,0.003766603717916569,1.6153743785407917e-05,0.0013428914286298496
94.34782608695652,7.0,0.0159738930851265,0.01072220623887238,0.008091406283291646,0.008121920935692632,0.002630799955580734,0.007882486801834853,3.0514652400986247e-05,0.0026002853031797477
95.21739130434783,7.0,0.03896961347755698,0.028955593019397364,0.02522850249023344,0.025272689872851174,0.0037270905291639234,0.01374111098732354,4.418738261773372e-05,0.0036829031465461896
96.08695652173913,7.0,0.08626381224230967,0.06951448268924013,0.06644431952095535,0.06652133668706879,0.0030701631682847758,0.019819492721354318,7.701716611344112e-05,0.0029931460021713346
96.95652173913044,7.0,0.1742907044784965,0.14963345893904875,0.1510592527343726,0.1512147190841764,-0.001425793795323843,0.023231451744123915,0.0001554663498038178,0.0012703274455200253
97.82608695652173,7.0,0.32340592690106135,0.2913519974487146,0.3024099031917818,0.3026706385796011,-0.011057905743067198,0.020996023709279554,0.0002607353878192886,0.01079717035524791
98.69565217391305,7.0,0.5547183725147747,0.5178076184406887,0.542801868751906,0.5432043243370044,-0.02499425031121727,0.011916503762868791,0.00040245558509843793,0.024591794726118832
99.56521739130434,7.0,0.8855332803409405,0.8477783653765589,0.8878446733684112,0.8883742813407925,-0.04006630799185229,-0.002311393027470743,0.0005296079723813296,0.03953670001947096
100.43478260869566,7.0,1.3250020759310643,1.2906171352172142,1.342699471320347,1.343048527386004,-0.05208233610313284,-0.017697395389282722,0.0003490560656569386,0.051733280037475904
101.30434782608695,7.0,1.8717741341744276,1.8438426502113356,1.901662186855501,1.9015629662219924,-0.05781953664416539,-0.029888052681073418,-9.92206335086454e-05,0.05772031601065675
102.17391304347825,7.0,2.514624240659941,2.4943699348526116,2.5507433554670302,2.5503612506411364,-0.056373420614418634,-0.0361191148070894,-0.00038210482589384753,0.05599131578852479
103.04347826086956,7.0,3.2356611873692094,3.222556926556777,3.271715285254635,3.2713058596790523,-0.049158358697857896,-0.03605409788542557,-0.0004094255755826559,0.04874893312227524
103.91304347826087,7.0,4.0146629717792885,4.007119135263446,4.045974434471145,4.045644269731691,-0.03885529920769848,-0.03131146269185603,-0.0003301647394540197,0.03852513446824446
104.78260869565217,7.0,4.832903045851123,4.829064527606685,4.857200330680659,4.856954191646785,-0.028135803073973342,-0.024297284829535748,-0.00024613903387393776,0.027889664040099404
105.65217391304347,7.0,5.675450264395487,5.673748815818941,5.6925821742857785,5.692400872381038,-0.018833358466837424,-0.01713190989029112,-0.00018130190474074936,0.018652056562096675
106.52173913043478,7.0,6.531806800438989,6.531171310262179,6.542917190965653,6.542786108648573,-0.011745880703474043,-0.01111039052666385,-0.00013108231707992246,0.01161479838639412
107.3913043478261,7.0,7.395373314070647,7.395191093871898,7.4020654711324285,7.401974871698181,-0.006874377260530196,-0.006692157061781501,-9.059943424727379e-05,0.006783777826282922
108.26086956521739,7.0,8.262406414735201,8.26238151182164,8.266181881903274,8.266123022726935,-0.00380037008163292,-0.0037754671680723106,-5.885917633818849e-05,0.0037415109052947315
