t_days,tau_days,S,C_BS,C_SH,C_DH,C_PINN
0.0,730.0,105.0,15.375622795638758,15.414717036226198,15.420633509815545,15.421738996842603
1.4619238476953909,728.5380761523046,105.0,15.361488832097171,15.401111990013508,15.40659586357141,
1.8120300751879699,728.187969924812,105.0,,,,15.404339169650054
2.9238476953907817,727.0761523046092,105.0,15.347338803937959,15.387493182092891,15.392545659539035,
3.6240601503759398,726.375939849624,105.0,,,,15.386919930496466
4.385771543086173,725.6142284569138,105.0,15.333172658045518,15.373860575829577,15.378482868769913,
5.43609022556391,724.5639097744361,105.0,,,,15.369481224044996
5.847695390781563,724.1523046092184,105.0,15.318990341009208,15.3602141344363,15.364407462197509,
7.2481203007518795,722.7518796992481,105.0,,,,15.35202299468608
7.309619238476954,722.6903807615231,105.0,15.304791799121041,15.346553820972591,15.350319410636533,
8.771543086172345,721.2284569138277,105.0,15.290576978373302,15.332879598343785,15.336218684782166,
9.06015037593985,720.9398496240601,105.0,,,,15.334545186535335
10.233466933867735,719.7665330661323,105.0,15.276345824456302,15.319191429300107,15.322105255209225,
10.87218045112782,719.1278195488721,105.0,,,,15.317047743431301
11.695390781563127,718.3046092184369,105.0,15.262098282755943,15.305489276435825,15.307979092371475,
12.68421052631579,717.3157894736842,105.0,,,,15.29953060893332
13.157314629258519,716.8426853707415,105.0,15.247834298351316,15.29177310218832,15.293840166600782,
14.496240601503759,715.5037593984962,105.0,,,,15.281993726319424
14.619238476953909,715.3807615230461,105.0,15.233553816012302,15.278042868837142,15.279688448106338,
16.0811623246493,713.9188376753507,105.0,15.219256780197142,15.264298538503143,15.26552390697384,
16.30827067669173,713.6917293233083,105.0,,,,15.264437038583976
17.54308617234469,712.4569138276553,105.0,15.204943135049941,15.250540073147453,15.25134651316473,
18.1203007518797,711.8796992481203,105.0,,,,15.246860488435505
19.005010020040082,710.9949899799599,105.0,15.19061282439818,15.23676743457062,15.23715623651531,
19.93233082706767,710.0676691729324,105.0,,,,15.229264018294437
20.46693386773547,709.5330661322645,105.0,15.176265791750216,15.222980584411609,15.222953046735974,
21.74436090225564,708.2556390977444,105.0,,,,15.211647570290753
21.928857715430862,708.0711422845692,105.0,15.161901980292688,15.209179484146878,15.208736913410355,
23.390781563126254,706.6092184368738,105.0,15.147521332888019,15.19536409508936,15.19450780599446,
23.55639097744361,706.4436090225564,105.0,,,,15.194011086261742
24.852705410821645,705.1472945891784,105.0,15.13312379207175,15.181534378387582,15.18026569381588,
25.36842105263158,704.6315789473684,105.0,,,,15.176354507749567
26.314629258517037,703.685370741483,105.0,15.118709300049934,15.167690295024581,15.166010546072888,
27.18045112781955,702.8195488721805,105.0,,,,15.158677775998918
27.776553106212425,702.2234468937876,105.0,15.104277798696552,15.153831805816985,15.151742331833606,
28.992481203007518,701.0075187969925,105.0,,,,15.140980831954662
29.238476953907817,700.7615230460922,105.0,15.089829229550684,15.13995887141397,15.137461020035103,
30.70040080160321,699.2995991983968,105.0,15.075363533813968,15.126071452296339,15.123166579482568,
30.804511278195488,699.1954887218045,105.0,,,,15.123263616259328
32.1623246492986,697.8376753507014,105.0,15.06088065234773,15.112169508775352,15.108858978848339,
32.61654135338346,697.3834586466165,105.0,,,,15.105526069250711
33.62424849699399,696.375751503006,105.0,15.046380525670338,15.098253000991884,15.094538186671144,
34.42857142857143,695.5714285714286,105.0,,,,15.087768130959375
