S,tau_days,C_BS,C_SH,C_DH,C_PINN,payoff,BS_minus_DH,SH_minus_DH,PINN_minus_DH
70.0,90.0,0.0003028695961658262,0.00010068584230915571,7.303383805501448e-06,7.249716079875251e-06,0.0,0.0002955662123603248,9.338245850365425e-05,-5.3667725626197624e-08
70.1,90.0,0.00032149763805670704,0.00010771046082786983,8.011784037942358e-06,7.957075421816482e-06,0.0,0.0003134858540187647,9.969867678992747e-05,-5.470861612587545e-08
70.2,90.0,0.0003411778870031753,0.00011519213662660832,8.785032191860376e-06,8.729549722602825e-06,0.0,0.0003323928548113149,0.00010640710443474794,-5.548246925755093e-08
70.3,90.0,0.0003619640550484825,0.000123158264076189,9.628683100792933e-06,9.57274589367749e-06,0.0,0.00035233537194768956,0.00011352958097539608,-5.593720711544269e-08
70.4,90.0,0.00038391227159027304,0.00013163772276456677,1.0548731726345426e-05,1.0492716994630799e-05,0.0,0.00037336353986392763,0.00012108899103822134,-5.60147317146266e-08
70.5,90.0,0.00040708117526701087,0.00014066094827880368,1.1551644734708535e-05,1.149599444935675e-05,0.0,0.0003955295305323023,0.00012910930354409513,-5.5650285351784774e-08
70.6,90.0,0.00043153200853329206,0.00015026000573262684,1.2644394216532091e-05,1.2589622312311826e-05,0.0,0.00041888761431675995,0.00013761561151609476,-5.4771904220265444e-08
70.7,90.0,0.0004573287149689412,0.00016046866614458742,1.383449350156348e-05,1.3781193693599666e-05,0.0,0.00044349422146737775,0.00014663417264302393,-5.329980796381404e-08
70.8,90.0,0.00048453803936424425,0.0001713224858014499,1.5130035266630539e-05,1.5078889455876568e-05,0.0,0.00046940800409761373,0.00015619245053481934,-5.114581075397047e-08
70.9,90.0,0.0005132296306235734,0.0001828588886834974,1.653973186908648e-05,1.649151930029056e-05,0.0,0.0004966898987544869,0.00016631915681441093,-4.821256879591925e-08
71.0,90.0,0.0005434761475293814,0.00019511725197784963,1.8072958311410314e-05,1.8028565362897212e-05,0.0,0.0005254031892179711,0.00017704429366643932,-4.439294851310227e-08
71.1,90.0,0.0005753533674063305,0.00020813899480269868,1.9739797621942658e-05,1.9700228447401422e-05,0.0,0.0005556135697843879,0.00018839919718075603,-3.956917454123605e-08
71.2,90.0,0.0006089402977255959,0.00022196767022406635,2.1551089144367216e-05,2.1517477024265867e-05,0.0,0.0005873892085812287,0.00020041658107969914,-3.361212010134909e-08
71.3,90.0,0.000644319290687004,0.00023664906065881151,2.3518479541084773e-05,2.3492099130716342e-05,0.0,0.0006208008111459192,0.00021313058111772673,-2.63804103684307e-08
71.4,90.0,0.0006815761608160203,0.0002522312767041081,2.5654476885006458e-05,2.5636757310398243e-05,0.0,0.0006559216839310138,0.00022657679981910164,-1.771957460821531e-08
71.5,90.0,0.0007208003056125066,0.00026876485948440303,2.797250782698978e-05,2.79650467359109e-05,0.0,0.0006928277977855168,0.00024079235165741324,-7.461091078877325e-09
71.6,90.0,0.0007620848292832231,0.0002863028866395119,3.0486978085297988e-05,3.0491556661602433e-05,0.0,0.0007315978511979251,0.0002558159085542139,4.578576304445798e-09
71.7,90.0,0.0008055266695939569,0.0003049010820879954,3.321333638681712e-05,3.323193535838399e-05,0.0,0.0007723133332071398,0.00027168774570117827,1.8598971566869912e-08
71.8,90.0,0.000851226727869698,0.00032461792944818825,3.616814197735505e-05,3.6202958686629834e-05,0.0,0.0008150585858923429,0.0002884497874708332,3.4816709274787245e-08
71.9,90.0,0.0008992900021745639,0.00034551478935913627,3.936913585780875e-05,3.942260246719809e-05,0.0,0.0008599208663167551,0.0003061456535013275,5.3466609389338584e-08
72.0,90.0,0.0009498257236993457,0.00036765602082300267,4.283531597759594e-05,4.2910118814850476e-05,0.0,0.0009069904077217498,0.00032482070484540673,7.48028372545348e-08
72.1,90.0,0.001002947496380577,0.0003911091065112447,4.658701652634458e-05,4.668611660239995e-05,0.0,0.0009563604798542324,0.0003445220899849001,9.910007605536662e-08
72.2,90.0,0.0010587734397795238,0.000415944782148658,5.064599145314626e-05,5.077264622751442e-05,0.0,0.0010081274483263775,0.00036529879069551174,1.2665477436815995e-07
72.3,90.0,0.0011174263352380577,0.0004422371701720456,5.5035502396927375e-05,5.519328885831978e-05,0.0,0.0010623908328411303,0.00038720166777511824,1.5778646139240782e-07
72.4,90.0,0.001179033775337599,0.00047006391758035686,5.9780411309740634e-05,5.997325033702959e-05,0.0,0.0011192533640278584,0.00041028350627061625,1.9283902728895797e-07
72.5,90.0,0.0012437283166727873,0.0004995063381865708,6.490727781360828e-05,6.513945992476773e-05,0.0,0.001178821038859179,0.0004345990603729625,2.3218211115945235e-07
72.6,90.0,0.0013116476359616865,0.0005306495592346707,7.044446155705063e-05,7.072067407370534e-05,0.0,0.0012412031744046359,0.0004602050976776201,2.762125166547142e-07
72.7,90.0,0.0013829346895012481,0.0005635826724110337,7.642222979355999e-05,7.674758541570744e-05,0.0,0.001306512459707688,0.00048716044261747375,3.253556221474469e-07
72.8,90.0,0.0014577378759814265,0.0005983988897813936,8.287287025017223e-05,8.325293715980687e-05,0.0,0.0013748650057312543,0.0005155260195312214,3.800669096346319e-07
72.9,90.0,0.001536211202665898,0.0006351957038292239,8.983080968907356e-05,9.027164309298596e-05,0.0,0.0014463803929768244,0.0005453648941401504,4.408334039123987e-07
73.0,90.0,0.0016185144549453441,0.0006740750526238491,9.733273807593972e-05,9.784091338144432e-05,0.0,0.0015211817168694045,0.0005767423145479093,5.081753055045989e-07
73.1,90.0,0.0017048133692645687,0.0007151434895411919,0.00010541773885365199,0.00010600038637145648,0.0,0.0015993956304109166,0.0006097257506875399,5.826475178044869e-07
73.2,90.0,0.0017952798094284129,0.0007585123578298428,0.00011412742544090185,0.00011479226659050649,0.0,0.001681152383987511,0.000644384932388941,6.648411496046325e-07
73.3,90.0,0.0018900919462768607,0.0008042979701047382,0.00012350608388625984,0.0001242614691510765,0.0,0.0017665858623906008,0.0006807918862184784,7.553852648166468e-07
73.4,90.0,0.0019894344407320108,0.0008526217927808809,0.00013360082233076164,0.00013445577076028905,0.0,0.0018558336184012491,0.0007190209704501193,8.549484295274079e-07
73.5,90.0,0.0020934986302001473,0.0009036106354120837,0.000144461727193901,0.00014542596753942005,0.0,0.0019490369030062463,0.0007591489082181828,9.64240345519067e-07
73.6,90.0,0.0022024827183246692,0.0009573968452145614,0.00015614202636422554,0.00015722603985755774,0.0,0.0020463406919604436,0.0008012548188503359,1.0840134933322028e-06
73.7,90.0,0.002316591968067739,0.001014118506476827,0.00016869825968554572,0.00016991332438353094,0.0,0.0021478937083821933,0.0008454202467912811,1.2150646979852177e-06
73.8,90.0,0.002436038898111114,0.0010739196453398263,0.00018219045670775312,0.00018354869355961996,0.0,0.0022538484414033606,0.0008917291886320731,1.3582368518668373e-06
73.9,90.0,0.0025610434825430587,0.0011369504395620496,0.0001966823222616874,0.0001981967426998557,0.0,0.0023643611602813712,0.0009402681173003622,1.5144204381682886e-06
74.0,90.0,0.0026918333538190403,0.00120336743353133,0.00021224142981979217,0.00021392598491346896,0.0,0.002479591923999248,0.000991126003711538,1.6845550936767865e-06
74.1,90.0,0.00282864400895756,0.0012733337585851127,0.00022893942290998914,0.00023080905405333213,0.0,0.0025997045860475707,0.0010443943356751235,1.8696311433429838e-06
74.2,90.0,0.0029717190189442193,0.0013470193584488876,0.00024685222466265365,0.000248922915884899,0.0,0.0027248667942815657,0.001100167133786234,2.070691222245361e-06
74.3,90.0,0.0031213102413061274,0.0014246012200893104,0.00026606025617086673,0.00026834908767012266,0.0,0.0028552499851352605,0.0011585409639184438,2.288831499255926e-06
74.4,90.0,0.0032776780358182993,0.001506263609795692,0.00028664866314360776,0.000289173866355328,0.0,0.0029910293726746915,0.0012196149466520841,2.5252032117202582e-06
74.5,90.0,0.0034410914832964075,0.001592198314530107,0.0003087075516340351,0.00031148856554933854,0.0,0.0031323839316623726,0.0012834907628960718,2.7810139153034655e-06
74.6,90.0,0.003611828607433214,0.001682604888687724,0.00033233223269548784,0.00033538976147223575,0.0,0.0032794963747377263,0.0013502726559922362,3.057528776747914e-06
74.7,90.0,0.0037901765996224395,0.0017776909060036226,0.0003576234765118535,0.0003609795480504573,0.0,0.003432553123110586,0.001420067429491769,3.356071538603803e-06
74.8,90.0,0.003976432046715727,0.0018776722170054786,0.0003846877755975464,0.00038836580132719796,0.0,0.0035917442711181804,0.0014929844414079323,3.678025729651551e-06
74.9,90.0,0.0041709011616592895,0.001982773211425243,0.0004136376178520605,0.00041766245335162736,0.0,0.003757263543807229,0.0015691355935731825,4.024835499566871e-06
75.0,90.0,0.0043739000169368426,0.0020932270861945376,0.0004445917693662871,0.0004489897757011327,0.0,0.0039293082475705555,0.0016486353168282506,4.3980063348455925e-06
75.1,90.0,0.004585754780762597,0.002209276118503098,0.00047767556701110446,0.0004824746727853548,0.0,0.004108079213751493,0.0017316005514919936,4.799105774250354e-06
75.2,90.0,0.004806801955943209,0.002331171944075821,0.0005130212211915027,0.0005182509850692446,0.0,0.004293780734751706,0.001818150722884318,5.2297638777419175e-06
75.3,90.0,0.0050373886213386145,0.0024591758406832974,0.0005507681288485385,0.0005564598023456007,0.0,0.004486620492490076,0.0019084077118347589,5.691673497062208e-06
75.4,90.0,0.00527787267583944,0.002593559016739935,0.0005910631967619635,0.0005972497871759937,0.0,0.004686809479077477,0.0020024958199779718,6.186590414030205e-06
75.5,90.0,0.005528623084779256,0.00273460290498194,0.0006340611752799169,0.0006407775086084719,0.0,0.004894561909499339,0.0021005417297020232,6.716333328555006e-06
75.6,90.0,0.00579002012868831,0.0028825994611744008,0.0006799250027516856,0.0006872077862692474,0.0,0.005110095125936624,0.002202674458422715,7.2827835175618685e-06
75.7,90.0,0.0060624556543007,0.003037851467634483,0.0007288261605381876,0.000736714044913576,0.0,0.005333629493762512,0.0023090253070962956,7.887884375388393e-06
75.8,90.0,0.006346333327714086,0.0032006728418783018,0.0007809450388409449,0.0007894786795071114,0.0,0.005565388288873141,0.002419727803037357,8.533640666166516e-06
75.9,90.0,0.006642068889605278,0.003371388949762847,0.000836471313304039,0.000845693430897543,0.0,0.0058055975763012385,0.0025349176364588078,9.222117593503973e-06
76.0,90.0,0.006950090412386744,0.0035503369235438892,0.0008956043326011623,0.0009055597721189169,0.0,0.006054486079785581,0.002654732590942727,9.955439517754625e-06
76.1,90.0,0.007270838559206486,0.0037378659843655296,0.00095855351692753,0.000969289305360424,0.0,0.0063122850422789555,0.0027793124674379997,1.0735788432894057e-05
76.2,90.0,0.007604766844661564,0.003934337769313123,0.00102553876734941,0.0010371041696099251,0.0,0.006579228077312154,0.002908799001963713,1.1565402260515101e-05
76.3,90.0,0.007952341897121261,0.0041401266628364524,0.001096790886293094,0.0011092374589732692,0.0,0.006855551010828167,0.0030433357765433586,1.2446572680175141e-05
76.4,90.0,0.008314043722525389,0.004355620132351867,0.0011725520089102904,0.0011859336516465541,0.0,0.007141491713615098,0.0031830681234415762,1.3381642736263761e-05
76.5,90.0,0.00869036596953406,0.004581219068043509,0.0012530760453094997,0.0012674490495055983,0.0,0.0074372899242245594,0.0033281430227340095,1.437300419609858e-05
76.6,90.0,0.009081816195898368,0.004817338126532293,0.0013386291337858563,0.0013540522282567058,0.0,0.007743187062112512,0.0034787089927464368,1.5423094470849415e-05
76.7,90.0,0.009488916135912425,0.005064406078395959,0.0014294901048543499,0.0014460244980734585,0.0,0.008059426031058076,0.0036349159735416087,1.6534393219108656e-05
76.8,90.0,0.00991220196880853,0.005322866159378281,0.0015259509559173018,0.0015436603746265675,0.0,0.008386251012891229,0.0037969152034609795,1.7709418709265694e-05
76.9,90.0,0.010352224587950907,0.005593176425012022,0.0016283173367239408,0.0016472680603916608,0.0,0.008723907251226966,0.003964859088288081,1.8950723667719932e-05
77.0,90.0,0.01080954987067376,0.005875810108644627,0.0017369090450856702,0.0017571699360993567,0.0,0.00907264082558809,0.004138901063558956,2.026089101368647e-05
77.1,90.0,0.011284758948622986,0.006171255982430429,0.001852060533297473,0.001873703062174256,0.0,0.009432698415325513,0.004319195449132956,2.1642528876782965e-05
