x_mid,model,IV_RMSE_volpts
-0.32999999999999996,BS,2.583439922593936
-0.27,BS,1.4661202723543845
-0.21,BS,1.4102286993572997
-0.15,BS,3.433483036167032
-0.09,BS,3.189058754489411
-0.03,BS,2.1923560854558333
0.03,BS,2.2745819833378214
0.09,BS,6.6247012953943525
0.15000000000000002,BS,11.014470094658682
0.21000000000000002,BS,13.396749936741108
0.26999999999999996,BS,15.610127717749634
0.32999999999999996,BS,18.586332757914168
-0.32999999999999996,SH,3.5841611624334595
-0.27,SH,3.5588941636995317
-0.21,SH,3.1361225774093695
-0.15,SH,2.6411321130553715
-0.09,SH,3.865149917008745
-0.03,SH,1.8565111233810807
0.03,SH,1.530181281845829
0.09,SH,3.8769918305640645
0.15000000000000002,SH,8.184742242228916
0.21000000000000002,SH,11.624540801542677
0.26999999999999996,SH,13.734223157898935
0.32999999999999996,SH,16.697525395998106
-0.32999999999999996,DH,3.6270766245421138
-0.27,DH,2.807301440268748
-0.21,DH,3.1516882969856006
-0.15,DH,3.1823828647568306
-0.09,DH,3.9787612264995964
-0.03,DH,1.717306221297585
0.03,DH,1.4218896542570278
0.09,DH,3.889709699737574
0.15000000000000002,DH,8.036061384344519
0.21000000000000002,DH,11.541021858325957
0.26999999999999996,DH,13.993554682816017
0.32999999999999996,DH,17.085393584955035
-0.32999999999999996,PINN,3.6401091977499673
-0.27,PINN,2.808160485230442
-0.21,PINN,3.152316988316766
-0.15,PINN,3.1743729414378214
-0.09,PINN,4.039338667556423
-0.03,PINN,1.7247360368982978
0.03,PINN,1.4085730666683576
0.09,PINN,3.865808991641028
0.15000000000000002,PINN,7.993910124381062
0.21000000000000002,PINN,11.78774360429441
0.26999999999999996,PINN,14.953858103218387
0.32999999999999996,PINN,18.66512950836602
