tau_days,C_DH_FAST_HEAVY,C_PINN_FAST_HEAVY,ATM_IV_pct_FAST_HEAVY,C_DH_SLOW_HEAVY,C_PINN_SLOW_HEAVY,ATM_IV_pct_SLOW_HEAVY
7.0,1.101666055672501,1.1021586734343503,19.941191975688948,1.139379673181501,1.1401742275052222,20.62388956955898
8.81203007518797,1.2352611019608273,1.2355873170223464,19.928494761362348,1.287316199908911,1.2879498544883488,20.768372217670944
10.62406015037594,1.3555223176713094,1.3557837035604066,19.91675913523798,1.4228851514246743,1.4235667366469196,20.906627172552025
12.436090225563909,1.4657638312688737,1.465983581759167,19.905947992166624,1.549185145806603,1.550010712076788,21.038997810072757
14.248120300751879,1.5681253939660023,1.5682902172983377,19.896025502168836,1.6681900032828323,1.66919070357463,21.16580244827985
16.06015037593985,1.6640841509181659,1.6641736766575792,19.886957044034638,1.7812451290836528,1.7824186106917912,21.28733681504735
17.872180451127818,1.7547108891434515,1.7547089688869644,19.87870914831351,1.8893144387720384,1.8906445290747254,21.403876198378164
19.684210526315788,1.8408113200658272,1.8407058343932303,19.871249447815376,1.9931155735341488,1.994582280215873,21.515677329367904
21.496240601503757,1.9230097969245352,1.9227903871712053,19.86454663458521,2.093199452280281,2.0947828197842187,21.622980038583382
23.30827067669173,2.001801786513513,2.0014593170041532,19.85857042231172,2.1899997631335264,2.1916806911281035,21.72600871948101
25.1203007518797,2.0775882731875916,2.077115715447317,19.853291513246987,2.2838651638120657,2.2856251429754475,21.824973626701645
26.93233082706767,2.1506991675143805,2.1500926926098174,19.8486815688381,2.3750810167659453,2.3769018094373178,21.92007203238577
28.74436090225564,2.2214097351718087,2.2206692645697967,19.844713183354017,2.4638845187318017,2.4657481658620917,22.0114892598338
30.55639097744361,2.289952435157927,2.2890815155570454,19.841359859895373,2.5504755112207733,2.5523646587103292,22.099399610741905
32.368421052631575,2.3565256458465855,2.3555308575389233,19.838595988246084,2.6350243807833182,2.6369227604746026,22.183967199688738
34.18045112781955,2.4213002253325233,2.420190403787148,19.836396824112438,2.7176779467906362,2.719570844588923,22.2653467074676
35.992481203007515,2.4844245298845102,2.483210005918135,19.83473846936181,2.798563925680364,2.800438532156063,22.343684063124442
37.80451127819549,2.546028312336579,2.5447202729129037,19.833597852946777,2.8777943679967666,2.879639973538353,22.419117063137588
39.61654135338346,2.606225792180328,2.6048357879628226,19.832952712257594,2.9554683409913185,2.957276382715826,22.491775934972424
41.42857142857143,2.6651181032584015,2.6636576898595306,19.832781574706182,3.0316740482953852,3.0334380378085446,22.561783851255036
43.2406015037594,2.7227952670048516,2.721275753633437,19.833063739391356,3.106490523551014,3.1082058904999847,22.62925739995722
45.05263157894737,2.779337799277204,2.777770078400432,19.833779258743384,3.179988997429728,3.1816528811713236,22.69430701528669
46.86466165413534,2.8348180308536364,2.833212467127566,19.83490892007824,3.252234011321126,3.2538450270633597,22.75703737336712
48.67669172932331,2.8893012017402353,2.8876675637218963,19.8364342270274,3.323284332422877,3.3248423316415505,22.817547756282693
50.48872180451128,2.942846375020869,2.9411937975897056,19.838337380831163,3.393193711606962,3.3946995506050737,22.87593238762668
52.30075187969925,2.995507205417791,2.993844174150548,19.840601261503878,3.462011515689495,3.463466841263327,22.93228074231363
54.11278195488722,3.047332589888363,3.0456669410176995,19.843209408894783,3.5297832585290623,3.5311903158748907,22.986677833097215
55.92481203007519,3.0983672216957303,3.096706152981568,19.84614600368143,3.5965510499956386,3.597912515137125,23.039204475950385
57.73684210526316,3.148652064920776,3.1470021539834607,19.849395848333316,3.6623539777859317,3.663672814779803,23.08993753622953
59.54887218045113,3.1982247629580574,3.196591990512801,19.852944348093978,3.727228433960134,3.7285077757908542,23.138950157328818
61.3609022556391,3.247119991887726,3.245509767983501,19.856777492029792,3.7912083956871125,3.7924514469424855,23.186311973349632
63.17293233082707,3.2953697675473403,3.2937869594178686,19.86088183419249,3.85432566783247,3.855535626825721,23.232089307151238
64.98496240601503,3.343003713500803,3.3414526740242314,19.86524447494093,3.9166100935731976,3.917790091430204,23.276345355005752
66.796992481203,3.3900492958122252,3.3885338918772296,19.86985304246835,3.97808973807926,3.979242792348675,23.31914035895808
68.60902255639098,3.436532029502881,3.43505566981126,19.87469567457392,4.03879104939529,4.039920029892185,23.360531767883852
70.42105263157895,3.4824756607424123,3.481041322753309,19.87976100071635,4.0987389999293855,4.099846604738541,23.400574388138633
72.23308270676692,3.527902328156385,3.5265125840062,19.88503812438326,4.157957211373481,4.159045951179086,23.4393205246107
