regime,design,maturity,BS_EXPIRY,DH,SH,quotes
other,A,<=7d,8.16,4.71,5.18,192
other,A,7-30d,9.03,5.89,6.1,440
other,A,30-90d,3.77,1.99,2.2,270
other,A,>90d,3.27,1.87,1.7,147
other,B,7-30d,12.33,7.89,7.81,440
other,B,30-90d,3.58,1.93,2.18,81
shock,A,<=7d,34.89,17.77,21.76,27
shock,A,7-30d,6.64,5.2,5.47,34
shock,A,30-90d,10.54,5.91,5.99,27
shock,A,>90d,5.4,3.49,3.63,36
shock,B,7-30d,7.52,7.22,7.36,34
