family,model,price_RMSE,price_MAE,IV_RMSE_volatility_points
BASE,DH_EXACT_TEACHER,0.0,0.0,0.0
BASE,DH_PINN,9.851194546125995e-06,6.053219137419215e-06,0.16353047203067264
BASE,SH_BEST_FOUND,0.0007206553094798375,0.00053099842428085,2.3707187465161508
BASE,BS_FLAT,0.0038260576615721,0.002706494933351775,4.86929664827248
BASE,BS_TERM,0.0015828883925689875,0.0011948532969535376,3.626530435302107
BASE,BS_SELECTED,0.0015828883925689875,0.0011948532969535376,3.626530435302107
FAST_SHOCK,DH_EXACT_TEACHER,0.0,0.0,0.0
FAST_SHOCK,DH_PINN,1.131963554511139e-05,7.292098207428566e-06,0.150201620524772
FAST_SHOCK,SH_BEST_FOUND,0.0009461515999230376,0.0006939212038012,2.717070125703413
FAST_SHOCK,BS_FLAT,0.0024357923405072127,0.0017014537490769501,3.7075425857006072
FAST_SHOCK,BS_TERM,0.0014802338778721626,0.0011280148317146875,3.4573259357041097
FAST_SHOCK,BS_SELECTED,0.0014802338778721626,0.0011280148317146875,3.4573259357041097
SLOW_SHOCK,DH_EXACT_TEACHER,0.0,0.0,0.0
SLOW_SHOCK,DH_PINN,1.0054984774083562e-05,6.725298323111122e-06,0.07908144660961647
SLOW_SHOCK,SH_BEST_FOUND,0.0005822736264746,0.0004337824456362125,1.782664017945637
SLOW_SHOCK,BS_FLAT,0.003102979994866975,0.0022350729681145875,3.8657033515997723
SLOW_SHOCK,BS_TERM,0.0013443699039938249,0.0010249804027103375,2.918276430656321
SLOW_SHOCK,BS_SELECTED,0.0013443699039938249,0.0010249804027103375,2.918276430656321
FIXED_TOTAL_TWIST,DH_EXACT_TEACHER,0.0,0.0,0.0
FIXED_TOTAL_TWIST,DH_PINN,1.0578084820781584e-05,7.565221262943022e-06,0.06695676919964165
FIXED_TOTAL_TWIST,SH_BEST_FOUND,0.00031993518146271983,0.00023796137151902802,0.8825555915909175
FIXED_TOTAL_TWIST,BS_FLAT,0.00183279879935445,0.0013474052457621375,2.551345982285003
FIXED_TOTAL_TWIST,BS_TERM,0.000847479726287625,0.000647293999175975,1.7773471318246234
FIXED_TOTAL_TWIST,BS_SELECTED,0.000847479726287625,0.000647293999175975,1.7773471318246234
SMIRK_WEIGHTS,DH_EXACT_TEACHER,0.0,0.0,0.0
SMIRK_WEIGHTS,DH_PINN,1.0257906684109943e-05,7.1381685833517785e-06,0.0698947027184305
SMIRK_WEIGHTS,SH_BEST_FOUND,0.00030150464947017254,0.00022150091056316745,0.8898285386005645
SMIRK_WEIGHTS,BS_FLAT,0.0021187366176710124,0.0015387302902888375,2.99578975894862
SMIRK_WEIGHTS,BS_TERM,0.00088634492204615,0.000668216259171725,1.912035284312355
SMIRK_WEIGHTS,BS_SELECTED,0.00088634492204615,0.000668216259171725,1.912035284312355
