date,model,quotes,scored,RMSE_index_points
2026-08-24,double_state_PINN,59,0,
2026-08-25,double_state_PINN,41,0,
2026-08-26,double_state_PINN,40,0,
2026-08-27,double_state_PINN,45,0,
2026-08-28,double_state_PINN,34,0,
2026-08-31,double_state_PINN,68,0,
2026-09-01,double_state_PINN,68,0,
2026-09-02,double_state_PINN,61,0,
2026-09-03,double_state_PINN,38,0,
2026-09-04,double_state_PINN,60,0,
2026-09-07,double_state_PINN,71,0,
2026-09-08,double_state_PINN,55,0,
2026-09-09,double_state_PINN,61,0,
2026-09-10,double_state_PINN,54,0,
2026-09-11,double_state_PINN,77,77,34.269214916249
2026-09-15,double_state_PINN,66,66,29.657346545530245
2026-09-16,double_state_PINN,69,69,29.61481366429692
2026-08-24,BS_state_flat,59,59,11.431584767390381
2026-08-25,BS_state_flat,41,41,16.030489062544575
2026-08-26,BS_state_flat,40,40,13.992439356641496
2026-08-27,BS_state_flat,45,45,17.441647704320278
2026-08-28,BS_state_flat,34,34,15.539660903969695
2026-08-31,BS_state_flat,68,68,12.600571004635905
2026-09-01,BS_state_flat,68,68,10.756778864795793
2026-09-02,BS_state_flat,61,61,11.89715719382196
2026-09-03,BS_state_flat,38,38,14.430732170127863
2026-09-04,BS_state_flat,60,60,13.023801605728103
2026-09-07,BS_state_flat,71,71,10.161462608690385
2026-09-08,BS_state_flat,55,55,9.87223184712411
2026-09-09,BS_state_flat,61,61,12.305717595127346
2026-09-10,BS_state_flat,54,54,12.476455295186211
2026-09-11,BS_state_flat,77,77,14.004892636590256
2026-09-15,BS_state_flat,66,66,17.015246431032015
2026-09-16,BS_state_flat,69,69,17.200926276222848
2026-08-24,BS_state_term,59,59,11.10144895285937
2026-08-25,BS_state_term,41,41,14.807898849230297
2026-08-26,BS_state_term,40,40,13.177809406456298
2026-08-27,BS_state_term,45,45,15.369071284688106
2026-08-28,BS_state_term,34,34,14.536518196938738
2026-08-31,BS_state_term,68,68,11.796284744019134
2026-09-01,BS_state_term,68,68,10.379545655749869
2026-09-02,BS_state_term,61,61,11.694934667732923
2026-09-03,BS_state_term,38,38,13.281718081205762
2026-09-04,BS_state_term,60,60,10.415994045026725
2026-09-07,BS_state_term,71,71,9.745361946474883
2026-09-08,BS_state_term,55,55,9.262304826972096
2026-09-09,BS_state_term,61,61,12.04761438565641
2026-09-10,BS_state_term,54,54,11.796853878285559
2026-09-11,BS_state_term,77,77,13.92602947737446
2026-09-15,BS_state_term,66,66,16.38095779172675
2026-09-16,BS_state_term,69,69,16.560278253478256
