bucket,model,eligible_quotes,scored_quotes,price_RMSE_index_points,price_MAE_index_points,max_abs_error_index_points,forward_normalized_RMSE,equal_date_forward_RMSE,IV_RMSE_volatility_points,IV_valid_quotes
all,single_state_exact,967,967,47.750241613590276,33.5375358501956,185.2102835346166,0.002019849942711753,0.0020803568389425424,3.741093134323042,897.0
all,double_state_exact,967,967,42.81877977044172,30.50891513494163,169.26079948658327,0.0018106734429466432,0.0018628984464018118,3.712537597302569,927.0
all,double_state_PINN,967,212,31.39775240384497,24.149845633570827,78.4645132490671,0.0013584309695974092,0.0013527161395676236,4.999438317681245,212.0
all,BS_state_flat,967,967,13.579878550451175,10.625908832365976,59.42257673571868,0.000576499690957068,0.0005821246631154938,2.7788133546939586,958.0
all,BS_state_term,967,967,12.813275788689367,9.99909677523108,49.842246334052604,0.000544410167868061,0.0005472058951289132,2.776277696368084,958.0
maturity_<=30d,single_state_exact,509,509,27.565786129239978,22.171433203460914,68.3776709518393,0.0011675014149658451,0.0010980597291407113,4.708835818761274,443.0
maturity_<=30d,double_state_exact,509,509,26.449340810116308,21.581810611589937,62.71008397368952,0.0011186558319863423,0.0010576713037423308,4.762073133331505,473.0
maturity_<=30d,double_state_PINN,509,114,26.743945978910162,22.381700731739933,55.97230697964709,0.0011497810142798881,0.0011431481150041196,6.53032566459909,114.0
maturity_<=30d,BS_state_flat,509,509,9.740342759635864,7.742764069335005,27.62791723546286,0.00041205898327213275,0.00044531012136050447,3.343256123537656,503.0
maturity_<=30d,BS_state_term,509,509,8.744418251352979,7.006828475138856,25.600020513509396,0.0003705556584658911,0.00035985665035082634,3.3238016401451604,503.0
maturity_30-90d,single_state_exact,458,458,63.00460256742885,46.1692962152348,185.2102835346166,0.0026644035860676303,0.0028170370279266507,2.452865814659965,454.0
maturity_30-90d,double_state_exact,458,458,55.62004988988804,40.430085882509346,169.26079948658327,0.0023518962893945357,0.0024823881276392337,2.125158225251874,454.0
maturity_30-90d,double_state_PINN,458,98,36.06349159796578,26.206667254067987,78.4645132490671,0.0015665618431065366,0.0015728729552972498,2.112310432975579,98.0
maturity_30-90d,BS_state_flat,458,458,16.849997218330447,13.83010246638948,59.42257673571868,0.0007162490919745146,0.000712542201831088,1.9752730055780825,455.0
maturity_30-90d,BS_state_term,458,458,16.17598942407613,13.324565257211304,49.842246334052604,0.0006878709942783385,0.0006812724812319742,2.003854557145224,455.0
maturity_90-365d,single_state_exact,0,0,,,,,,,
maturity_90-365d,double_state_exact,0,0,,,,,,,
maturity_90-365d,double_state_PINN,0,0,,,,,,,
maturity_90-365d,BS_state_flat,0,0,,,,,,,
maturity_90-365d,BS_state_term,0,0,,,,,,,
maturity_>365d,single_state_exact,0,0,,,,,,,
maturity_>365d,double_state_exact,0,0,,,,,,,
maturity_>365d,double_state_PINN,0,0,,,,,,,
maturity_>365d,BS_state_flat,0,0,,,,,,,
maturity_>365d,BS_state_term,0,0,,,,,,,
ATM_|K/F-1|<=.02,single_state_exact,407,407,63.787824911853754,51.89885182158988,185.2102835346166,0.0026969161329425118,0.0027538165192962484,2.428225736638567,407.0
ATM_|K/F-1|<=.02,double_state_exact,407,407,57.29970984154751,47.16892771474314,169.26079948658327,0.0024216418187845037,0.0024697800526752817,2.2473435862439843,407.0
ATM_|K/F-1|<=.02,double_state_PINN,407,76,43.08487055328982,37.234423653149236,78.4645132490671,0.0018638118967966243,0.0018698908593263017,1.9210177846044607,76.0
ATM_|K/F-1|<=.02,BS_state_flat,407,407,11.551611375662196,9.604447330805488,34.26671898620181,0.0004884766224044145,0.0004984899437797206,0.49047533044199193,407.0
ATM_|K/F-1|<=.02,BS_state_term,407,407,9.894940676948606,8.220137090641035,49.842246334052604,0.00041944727233495963,0.00042929989179771197,0.408793687377805,407.0
wing_K/F<.9_or_>1.1,single_state_exact,51,51,6.177062965166982,5.099625510899548,18.15983818882741,0.0002630895036066822,0.00024814885786807574,10.306748852801888,35.0
wing_K/F<.9_or_>1.1,double_state_exact,51,51,5.978748443614893,4.999948698426337,16.490414402846874,0.0002543334301289346,0.0002413255786357502,9.676283136735579,37.0
wing_K/F<.9_or_>1.1,double_state_PINN,51,13,7.470268490405625,5.680556996144081,16.447326641738847,0.00032482642134462023,0.00031529401038251156,12.278973039412785,13.0
wing_K/F<.9_or_>1.1,BS_state_flat,51,51,5.513975408665835,4.781527129503193,10.611396242030535,0.00023306407676701882,0.00022729366509968864,8.7530290168341,42.0
wing_K/F<.9_or_>1.1,BS_state_term,51,51,5.5757161159977295,4.817152481572808,10.752739779746767,0.00023582330757770985,0.00022980331047158545,8.789631980675262,42.0
K/F_0.70-0.90,single_state_exact,20,20,6.346324425422134,5.980232448186902,9.08331812791057,0.0002649262971709805,0.0002512792039113385,12.000117484403837,20.0
