bucket,model,eligible_quotes,scored_quotes,price_RMSE_index_points,price_MAE_index_points,max_abs_error_index_points,forward_normalized_RMSE,equal_date_forward_RMSE,IV_RMSE_volatility_points,IV_valid_quotes
all,single_fixed_exact,967,967,119.72064188435063,92.30701452191839,308.7538715845469,0.005054935643767174,0.00525143027040895,4.647409274980058,959.0
all,double_fixed_exact,967,967,107.6101555809151,83.03203957970952,279.71636126463363,0.0045409321000296635,0.0047266453819715835,4.328565517109584,961.0
all,double_fixed_PINN,967,967,107.71543279383174,83.09281258515324,280.218914994415,0.004545410603549259,0.004731269842499278,4.327030050999671,961.0
all,BS_fixed,967,967,22.36984269418566,16.02877501268194,85.04125131889626,0.0009538732863100389,0.0009538033635369605,2.999566664042972,958.0
maturity_<=30d,single_fixed_exact,509,509,63.99561077243815,48.41643625163313,145.91030611138103,0.0026818817939708796,0.0031407460555745925,4.3676745233434096,504.0
maturity_<=30d,double_fixed_exact,509,509,59.5173354271755,44.83217354636399,137.7387833019108,0.0024934520701663664,0.002939961113620219,4.227919901362253,506.0
maturity_<=30d,double_fixed_PINN,509,509,59.50571658317134,44.829851999277956,137.71288446198483,0.0024929520224983544,0.0029393694832173813,4.221737807925467,506.0
maturity_<=30d,BS_fixed,509,509,15.973800929020525,11.203353388200487,59.1822800402332,0.0006796501415333406,0.0007828763071843448,3.654455665884769,503.0
maturity_30-90d,single_fixed_exact,458,458,160.34531508055497,141.0849715952267,308.7538715845469,0.006779137116554815,0.0070553388171998984,4.938808270083974,455.0
maturity_30-90d,double_fixed_exact,458,458,143.2221985242074,125.48560248576382,279.71636126463363,0.0060519935853954425,0.006296449997715009,4.437812437931517,455.0
maturity_30-90d,double_fixed_PINN,458,458,143.39455035630863,125.61649585635527,280.218914994415,0.006059316399361947,0.006304285753084802,4.441193584908916,455.0
maturity_30-90d,BS_fixed,458,458,27.80227747441886,21.39152524600303,85.04125131889626,0.0011864674733631365,0.001124098907384004,2.0445161813618196,455.0
maturity_90-365d,single_fixed_exact,0,0,,,,,,,
maturity_90-365d,double_fixed_exact,0,0,,,,,,,
maturity_90-365d,double_fixed_PINN,0,0,,,,,,,
maturity_90-365d,BS_fixed,0,0,,,,,,,
maturity_>365d,single_fixed_exact,0,0,,,,,,,
maturity_>365d,double_fixed_exact,0,0,,,,,,,
maturity_>365d,double_fixed_PINN,0,0,,,,,,,
maturity_>365d,BS_fixed,0,0,,,,,,,
