protocol,component,quotes,omitted_outside_PINN_domain,RMSE_index_points,MAE_index_points,max_abs_index_points
fixed,PINN_approximation = PINN - exact DH,967,0,0.18759072198915222,0.14175167943053463,0.5181335890290731
fixed,model_parameter = exact DH - market,967,0,107.6101555809151,83.03203957970952,279.71636126463363
fixed,total = PINN - market,967,0,107.71543279383174,83.09281258515324,280.218914994415
fixed,Single Heston model_parameter = exact SH - market,967,0,119.72064188435063,92.30701452191839,308.7538715845469
state,PINN_approximation = PINN - exact DH,212,755,0.19582335391486616,0.14089888406725917,0.4948826939214854
state,model_parameter = exact DH - market,212,755,31.35670959474386,24.13174255844898,77.98631256590072
state,total = PINN - market,212,755,31.39775240384497,24.149845633570827,78.4645132490671
state,Single Heston model_parameter = exact SH - market,967,0,47.750241613590276,33.5375358501956,185.2102835346166
