split,index,check,x,K/F,tau_days,v_slow,v_fast,teacher,reference,abs_diff,reference_error,seconds
train,96189,accepted_vs_adaptive_1e-10,0.12577063953027012,0.8818170775697827,13.501607519827818,0.0023885035580018437,0.0014693212535797184,0.11818330432234636,0.11818330432241309,6.672440377997191e-14,,0.10218245899886824
train,4184,accepted_vs_adaptive_1e-10,0.14391529810729575,0.8659610934965399,16.83819281725653,0.00403961020059652,0.11164808535497331,0.13509106426704665,0.1350910642670642,1.7541523789077473e-14,,0.11194729199633002
train,67740,accepted_vs_adaptive_1e-10,0.15437196151323107,0.8569532081100117,21.69712420993559,0.0002786825791768365,0.02448608957164032,0.1430891244959046,0.14308912449592315,1.8540724511240114e-14,,0.08486458299739752
train,15643,accepted_vs_adaptive_1e-10,0.3183777443415412,0.727327992482954,8.929686584132707,0.009124835339134668,0.00811292184199203,0.2726720075170146,0.27267200751705,3.5416114485542494e-14,,0.11684645800414728
train,22754,accepted_vs_adaptive_1e-10,0.14364839472357815,0.8661922522897216,11.6540686624351,0.03522696413260891,0.02155426677784239,0.13384091457285163,0.13384091457286929,1.765254609153999e-14,,0.047405375000380445
train,65524,accepted_vs_adaptive_1e-10,0.2273232134237112,0.7966632484171134,19.80648049524352,0.06555316202617575,0.10002236412515497,0.2038026073552025,0.20380260735522737,2.4868995751603507e-14,,0.062133499995979946
train,69456,accepted_vs_adaptive_1e-10,0.30196394656111325,0.7393647210497912,19.78821649508486,0.0001555860575427803,0.01644310256886987,0.2606352809243142,0.2606352809242739,4.030109579389318e-14,,0.14520650000486057
train,6410,accepted_vs_adaptive_1e-10,0.35449332658229715,0.701528799170553,8.107973580880843,0.0001760727217108034,0.13592935448805543,0.2984712012451528,0.29847120124518556,3.275157922644212e-14,,0.09975608300010208
train,90656,accepted_vs_adaptive_1e-10,0.24075406302263147,0.7860349176703924,18.51197470402268,0.04300397307854812,0.008919550003047259,0.21396533530520612,0.21396533530523232,2.6201263381153694e-14,,0.05111300000135088
train,87578,accepted_vs_adaptive_1e-10,0.16678126633932733,0.8463847239202743,13.539603949905915,0.00254033160293349,0.04946704787194451,0.15362855129512698,0.15362855129528052,1.5354384430565915e-13,,0.0516904579999391
train,25681,accepted_vs_adaptive_1e-10,0.31354692414379115,0.7308500836845546,21.031122868666593,0.0004961954131436476,0.011311584296433828,0.269149945988711,0.26914994598875386,4.285460875053104e-14,,0.11700720799854025
train,20166,accepted_vs_adaptive_1e-10,0.3264174506119636,0.7215039322984487,25.29498543123276,0.0004111267057057191,0.005342699603838773,0.2784962308322848,0.2784962308323168,3.197442310920451e-14,,0.11839975000475533
train,4294,accepted_vs_adaptive_1e-10,0.24049693636466574,0.7862370541880473,10.262116556797618,0.006952873073273818,0.001743136372308178,0.21376294581193078,0.21376294581195743,2.6645352591003757e-14,,0.05829345800157171
train,8730,accepted_vs_adaptive_1e-10,0.27294267959363305,0.7611364150271622,26.99276661278477,0.001190137581026679,0.0017017793981822394,0.23886359073317542,0.23886359073320218,2.6756374893466273e-14,,0.060995084000751376
train,45250,accepted_vs_adaptive_1e-10,0.24944140911411272,0.7792359356155582,9.176356979782916,0.0018959350911093972,0.015397314424540244,0.2207640643958919,0.22076406438525986,1.0632050795322812e-11,,0.1269315000026836
train,49450,accepted_vs_adaptive_1e-10,0.23012650350388486,0.7944330975759099,10.490259156305697,0.004568437811512983,0.006833226555302242,0.2055669024730573,0.2055669024730855,2.8199664825478976e-14,,0.12792358300066553
train,16394,accepted_vs_adaptive_1e-10,0.340559952165581,0.7113718769946787,16.207768314684227,0.0020265879246944606,0.014885715726276533,0.28862812348845746,0.2886281234884971,3.963496197911809e-14,,0.12684662499668775
train,35804,accepted_vs_adaptive_1e-10,0.25297243561951277,0.7764892849748495,22.09544544760332,0.07214367291674154,0.00466555856735853,0.2235362079280292,0.22353620792805629,2.708944180085382e-14,,0.06696329100668663
train,20459,accepted_vs_adaptive_1e-10,0.17410206387791705,0.840211138075007,17.91007862344763,0.0025496387377057857,0.009347641739652697,0.15980048560837956,0.15980048560840054,2.098321516541546e-14,,0.08536041699699126
train,63084,accepted_vs_adaptive_1e-10,0.18246484591604084,0.8332139342860915,26.785636761852153,0.0015481026514277607,0.006211469356590316,0.16679418698460646,0.1667941869846281,2.1649348980190553e-14,,0.06775833300343947
train,17942,accepted_vs_adaptive_1e-10,0.16424988283200315,0.8485299623162649,23.166788189604016,0.025406508703761273,0.0028488337422671447,0.1515141398279507,0.1515141398279709,2.020605904817785e-14,,0.04162220799480565
train,83155,accepted_vs_adaptive_1e-10,0.16962428267029006,0.843981855643248,16.831509594749473,0.00015197673553746162,0.01168066686422566,0.15602711006315417,0.15602711006317238,1.8207657603852567e-14,,0.06378620900068199
