instrument,expiry,strike,cp,ts,tau,price_usdc,mark_usdc,trade_iv,index,f_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
SOL_USDC-6JUN25-130-P,2025-06-06,130.0,P,1748622774665,0.01820222396626078,0.3,0.27899433,0.8386,157.4624,157.46426428752068,1.000011839572626,157.46261983806988,0.8255927669289913,0.1916536452803878,True,0.1763124471485371,0.17617904615456403,0.8385640682232547,6.643811747685184,0.011628184517832955,False,False,2025-05-30
SOL_USDC-6JUN25-140-P,2025-06-06,140.0,P,1748613253946,0.018504123985286655,0.6,0.549479,0.7663,161.6646,161.66297236198534,0.9999899320072875,161.66482570488978,0.8659892428026507,0.14388279220279804,True,0.13772213966650348,0.13740963507696324,0.7663447966025508,6.754005254629629,0.01945537635067405,True,False,2025-05-30
SOL_USDC-6JUN25-148-P,2025-06-06,148.0,P,1748646202721,0.017459325183916793,2.2,2.43359213,0.6947,156.9917,156.99066655585435,0.9999934172052047,156.99191918091122,0.942723681398217,0.05898206007427877,True,0.07128977873067532,0.0727777032762108,0.6947471150271121,6.37265369212963,0.041592609443804066,False,False,2025-05-30
SOL_USDC-6JUN25-150-P,2025-06-06,150.0,P,1748621509632,0.018242337899543378,1.8,1.95493516,0.6922,161.3932,161.3946604505553,1.000009049021615,161.39342532597993,0.9294058893479231,0.07320972563095393,True,0.08174698132425195,0.08270696565872582,0.6921592555081099,6.658453333333333,0.0381865786722743,True,False,2025-05-30
SOL_USDC-6JUN25-152-P,2025-06-06,152.0,P,1748646087650,0.017462974061390156,3.6,3.57980467,0.6879000000000001,156.5764,156.576902925309,1.0000032120122126,156.5766186010982,0.9707707405997966,0.029664945056703185,True,0.05222119799335656,0.05209221749690418,0.6878868964273465,6.373985532407407,0.049198688853874836,False,False,2025-05-30
SOL_USDC-6JUN25-156-P,2025-06-06,156.0,P,1748622949593,0.018196677035768646,5.1,4.98995198,0.7103,157.888,157.88814643010423,1.0000009274302304,157.88822043226307,0.9880407770314116,0.012031309786947565,True,0.04426055606384616,0.04356355650492583,0.7103038119012262,6.641787118055556,0.05301166141777974,True,False,2025-05-30
SOL_USDC-6JUN25-160-C,2025-06-06,160.0,C,1748646069729,0.017463542332572298,4.3,4.48863932,0.6831999999999999,156.926,156.92656634161818,1.0000036089724977,156.92621908918545,1.0195874273187429,-0.019398062450016924,True,0.027401412109191215,0.028603501352753448,0.6832184220226499,6.374192951388888,0.05196637651327457,False,False,2025-05-30
SOL_USDC-6JUN25-164-C,2025-06-06,164.0,C,1748629970680,0.01797403982749873,4.9,4.69531217,0.7572,160.3491,160.3484928799184,0.9999962137605912,160.34932386827998,1.0227670191781968,-0.022511718293363223,True,0.030558282890080272,0.029281770928182994,0.7571575153720127,6.560524537037036,0.05270870233889259,True,False,2025-05-30
SOL_USDC-6JUN25-168-C,2025-06-06,168.0,C,1748648014276,0.017401881151699647,1.9,2.02978334,0.7095,156.233,156.23138634765266,0.9999896715012363,156.23321812166697,1.0753154932081705,-0.0726141005763044,True,0.012161306173187643,0.012992008769987068,0.7094322958285968,6.351686620370371,0.04034314899160951,False,False,2025-05-30
SOL_USDC-6JUN25-172-C,2025-06-06,172.0,C,1748647097120,0.017430963977676305,1.5,1.50093558,0.7615000000000001,156.2882,156.2875242259548,0.999995676103217,156.28841819873335,1.1005294057125083,-0.09579134194771444,True,0.009597640166097456,0.009603626406221855,0.7614700725817912,6.362301851851852,0.035049404552923075,True,False,2025-05-30
