instrument,expiry,strike,cp,ts,tau,price_usdc,mark_usdc,trade_iv,index,f_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
SOL_USDC-5DEC25-112-P,2025-12-05,112.0,P,1764521387501,0.012690655092592594,0.3,0.34614551,1.1596,139.8125,139.8120496724404,0.9999967790608164,139.8123582660666,0.8010736775275691,0.22180235421181005,True,0.20107205553723695,0.20140210869256792,1.159609048832499,4.632089108796297,0.009496304395073922,False,False,2025-11-30
SOL_USDC-5DEC25-120-P,2025-12-05,120.0,P,1764539300464,0.012122638762049722,0.7,0.60151123,0.9688,137.0281,137.02785970196257,0.9999982463594151,137.02796108873244,0.8757336754233248,0.13269325775961102,True,0.12937477101664452,0.12865602157881117,0.9688038007429055,4.424763148148148,0.018934027893801633,True,False,2025-11-30
SOL_USDC-5DEC25-124-P,2025-12-05,124.0,P,1764544265812,0.01196518860984272,0.8,0.89910564,0.8203,136.8766,136.87596436059937,0.9999953561134582,136.8764612423145,0.9059264016219772,0.09879721065167998,True,0.09991828484010012,0.10064233658062949,0.8203201966033263,4.367293842592592,0.022632675649793772,False,False,2025-11-30
SOL_USDC-5DEC25-128-P,2025-12-05,128.0,P,1764532003623,0.012354020072298326,1.4,1.34268123,0.8118000000000001,137.7764,137.77680572371654,1.0000029447983583,137.7762603301486,0.929042490290257,0.07360080354980199,True,0.0811189119472926,0.08070288403462733,0.8117748279585332,4.509217326388889,0.03061253763683956,True,False,2025-11-30
SOL_USDC-5DEC25-130-P,2025-12-05,130.0,P,1764539325422,0.012121847349061389,1.8,1.91127717,0.7602,137.0106,137.01167875113,1.00000787348665,137.01046110647295,0.9488326581061207,0.05252283089879351,True,0.06430502485227174,0.06511720495225337,0.7601363052490288,4.424474282407407,0.035106127565994225,False,False,2025-11-30
SOL_USDC-5DEC25-132-P,2025-12-05,132.0,P,1764545158392,0.011936885083713851,2.5,2.50596595,0.7389,136.3163,136.31575761020005,0.9999960210935892,136.31616181031467,0.9683371233975862,0.03217498436406061,True,0.05000259484858027,0.05004636038540844,0.7389247469804188,4.356963055555556,0.039584442630562953,True,False,2025-11-30
SOL_USDC-5DEC25-136-P,2025-12-05,136.0,P,1764490601804,0.013666863140537798,4.2,4.32755206,0.7047,136.5673,136.56711328285803,0.9999986327829432,136.56716155586517,0.9958470136641658,0.004161633934129733,True,0.03490708528722741,0.03584107306691664,0.7047035274259464,4.988405046296296,0.04644278317427692,False,False,2025-11-30
SOL_USDC-5DEC25-136-C,2025-12-05,136.0,C,1764547169989,0.011873097761288686,3.4,3.28811094,0.7772,133.4764,133.47695356519887,1.0000041472889505,133.4762646892432,1.0189077460073708,-0.018731216292662507,True,0.025472693650184265,0.024634424312482184,0.7772517596163394,4.33368068287037,0.042780742278005796,True,False,2025-11-30
SOL_USDC-5DEC25-140-C,2025-12-05,140.0,C,1764546196189,0.011903976756722475,2.5,2.56745265,0.7498999999999999,135.2229,135.22298452119162,1.0000006250508724,135.22276291874118,1.0353286456965058,-0.034718908388611455,True,0.018488011530294748,0.01898683767867432,0.7499142112573195,4.344951516203703,0.04044196934591833,False,False,2025-11-30
SOL_USDC-5DEC25-144-C,2025-12-05,144.0,C,1764511464994,0.01300529572552004,3.0,2.7552928,0.7807,139.2324,139.23353239733362,1.0000081331452564,139.2322588541389,1.0342430783289656,-0.03366983388252038,True,0.021546730798520118,0.01978918407756691,0.7807785051088312,4.746932939814815,0.04303295666745129,True,False,2025-11-30
SOL_USDC-5DEC25-148-C,2025-12-05,148.0,C,1764494821049,0.013533071759259259,1.0,1.13399919,0.7005,136.627,136.62696042305654,0.9999997103285334,136.62686149534474,1.0832423315604214,-0.07995870250866725,True,0.00731920494297582,0.008299972476778576,0.7005042122204802,4.9395711921296295,0.02982304802334374,False,False,2025-11-30
SOL_USDC-5DEC25-150-C,2025-12-05,150.0,C,1764469442800,0.01433781075596144,0.9,0.88415358,0.7217,136.7506,136.749742675857,0.9999937307467536,136.75046137004608,1.096888438234228,-0.09247747897867847,True,0.00658133062940537,0.006465452263502678,0.721671624371674,5.233300925925926,0.028192526038086103,True,False,2025-11-30
SOL_USDC-5DEC25-152-C,2025-12-05,152.0,C,1764546790193,0.01188514101344495,0.5,0.54062966,0.8066,134.8298,134.82943369329135,0.9999972831917822,134.82966331724353,1.1273483613346718,-0.11986829229423986,True,0.0037083827675482624,0.004009723429538953,0.8065912548429787,4.338076469907406,0.018218560319028947,False,False,2025-11-30
SOL_USDC-5DEC25-156-C,2025-12-05,156.0,C,1764546803196,0.011884728691019787,0.3,0.29987559,0.8549,134.161,134.1624130141725,1.0000105322274917,134.1608639952348,1.1627832093086468,-0.15081644971928299,True,0.0022361215563627824,0.002235194236753359,0.85495296245402,4.337925972222222,0.012650865147944789,True,False,2025-11-30
