regime,design,maturity,BS_EXPIRY,DH,SH,quotes
calm,A,<=7d,5.03,2.39,2.49,25
calm,A,7-30d,12.14,2.88,4.14,57
calm,A,30-90d,9.1,2.58,1.95,38
calm,A,>90d,4.97,1.86,2.03,22
calm,B,7-30d,19.08,8.23,8.0,60
shock,A,<=7d,15.78,8.2,10.39,69
shock,A,7-30d,17.02,9.19,10.24,200
shock,A,30-90d,11.39,4.73,4.79,142
shock,A,>90d,7.67,2.15,2.64,42
shock,B,7-30d,18.89,8.71,9.93,182
shock,B,30-90d,6.34,9.24,9.98,27
