t_days,tau_days,S,C_BS,C_SH,C_DH
0.0,365.0,296.1,31.29778465810729,32.250896731557084,31.948602596974922
0.9122807017543859,364.0877192982456,296.1,31.26588864797579,32.2205050374533,31.918044516215783
1.8245614035087718,363.17543859649123,296.1,31.23395004017312,32.1900773297243,31.887452350152035
2.7368421052631575,362.2631578947368,296.1,31.201968666477608,32.15961348533065,31.856825986080192
3.6491228070175437,361.35087719298247,296.1,31.16994435755739,32.129113380542535,31.826165310669904
4.56140350877193,360.43859649122805,296.1,31.137876942959917,32.09857689093429,31.79547020995892
5.473684210526315,359.5263157894737,296.1,31.10576625110174,32.0680038913795,31.764740569348227
6.385964912280701,358.6140350877193,296.1,31.073612109257922,32.03739425604489,31.73397627359725
7.298245614035087,357.70175438596493,296.1,31.041414343551516,32.0067478583854,31.70317720681842
8.210526315789473,356.7894736842105,296.1,31.009936125592002,31.97606457113816,31.672343252472558
9.12280701754386,355.87719298245617,296.1,30.97869281582856,31.945344266317285,31.641474293363128
10.035087719298245,354.96491228070175,296.1,30.947408163000674,31.914586815207958,31.610570211631728
10.94736842105263,354.0526315789474,296.1,30.916082005309793,31.88379208836073,31.57963088875228
11.859649122807017,353.140350877193,296.1,30.88471417989949,31.852959955585817,31.54865620552602
12.771929824561402,352.2280701754386,296.1,30.85330452284524,31.822090285947212,31.517646042076187
13.68421052631579,351.3157894736842,296.1,30.821852869145342,31.791182947756774,31.486600277842324
14.596491228070175,350.4035087719298,296.1,30.79035905271047,31.76023780856836,31.45551879157513
15.50877192982456,349.49122807017545,296.1,30.758822906353814,31.729254735171665,31.424401461330692
16.421052631578945,348.57894736842104,296.1,30.727244261781006,31.69823359358627,31.393248164465135
17.333333333333332,347.6666666666667,296.1,30.695622949579686,31.66717424905546,31.362058777628768
18.24561403508772,346.7543859649123,296.1,30.66395879920933,31.636076566040003,31.330833176760535
19.157894736842103,345.8421052631579,296.1,30.6322516389905,31.604940408211828,31.299571237082183
20.07017543859649,344.9298245614035,296.1,30.60050129609434,31.573765638447945,31.26827283309256
20.982456140350877,344.0175438596491,296.1,30.568707596531738,31.54255211882377,31.23693783856161
21.89473684210526,343.10526315789474,296.1,30.536870365142562,31.51129971060685,31.20556612652454
22.807017543859647,342.1929824561403,296.1,30.504989425584377,31.480008274250153,31.174157569275664
23.719298245614034,341.280701754386,296.1,30.47306460032153,31.44867766938579,31.142712038362593
24.63157894736842,340.36842105263156,296.1,30.441095710613702,31.41730775481805,31.111229404579905
25.543859649122805,339.4561403508772,296.1,30.409082576504563,31.385898388516786,31.07970953796305
26.45614035087719,338.5438596491228,296.1,30.3770250168101,31.35444942761071,31.04815230778209
27.36842105263158,337.63157894736844,296.1,30.344922849106894,31.322960728380394,31.01655758253537
28.280701754385962,336.719298245614,296.1,30.312775889720395,31.291432146251466,30.98492522994305
29.19298245614035,335.8070175438597,296.1,30.280583953712743,31.259863535787535,30.953255116940866
30.105263157894736,334.89473684210526,296.1,30.24834685487081,31.228254750682968,30.921547109673398
31.01754385964912,333.9824561403509,296.1,30.216064405693608,31.19660564375611,30.889801073487597
31.929824561403507,333.0701754385965,296.1,30.183736417380192,31.164916066941636,30.858016872925944
32.84210526315789,332.1578947368421,296.1,30.151362699816573,31.133185871283622,30.826194371720042
33.75438596491228,331.2456140350877,296.1,30.118943061563527,31.101414906927793,30.794333432783418
34.666666666666664,330.3333333333333,296.1,30.086477309843183,31.069603023114446,30.76243391820507
35.57894736842105,329.42105263157896,296.1,30.05396525052609,31.037750068170666,30.73049568924212
36.49122807017544,328.50877192982455,296.1,30.021406688118088,31.005855889502698,30.69851860631302
37.40350877192982,327.5964912280702,296.1,29.988801425746683,30.973920333588538,30.666502528990314
38.315789473684205,326.6842105263158,296.1,29.95614926514755,30.941943245969806,30.634447315993576
39.228070175438596,325.7719298245614,296.1,29.923450006650796,30.90992447124409,30.602352825182102
40.14035087719298,324.859649122807,296.1,29.890703449166903,30.877863853056922,30.57021891354749
41.05263157894736,323.94736842105266,296.1,29.85790939017281,30.84576123409389,30.53804543720637
41.96491228070175,323.03508771929825,296.1,29.825067625697347,30.813616456072214,30.505832251392754
42.87719298245614,322.1228070175439,296.1,29.792177950307085,30.781429359733103,30.47357921045058
43.78947368421052,321.2105263157895,296.1,29.75924015709118,30.749199784832832,30.44128616782583
