S,tau_days,C_BS,C_SH,C_DH
204.5788492970454,84.45920022854165,0.00211737221421989,0.006924589141478257,0.011009206484172324
205.06594179537169,84.45920022854165,0.0023352098592134664,0.007304559479996223,0.011402295722654904
205.553034293698,84.45920022854165,0.002573418375622996,0.007704782064592704,0.011810447846216595
206.0401267920243,84.45920022854165,0.002833695135902951,0.008126309358259684,0.012234337861358354
206.5272192903506,84.45920022854165,0.00311785953914171,0.00857024740080783,0.012674678301759624
207.01431178867688,84.45920022854165,0.0034278601332067187,0.009037758493774448,0.013132221728086738
207.5014042870032,84.45920022854165,0.003765782025732379,0.009530064018068088,0.013607763408813962
207.9884967853295,84.45920022854165,0.0041338545867364235,0.01004844739111603,0.014102144193596752
208.47558928365578,84.45920022854165,0.004534459445015487,0.010594257170178197,0.01461625359355572
208.96268178198207,84.45920022854165,0.004970138779792336,0.011168910308906765,0.015151033082847865
209.4497742803084,84.45920022854165,0.005443603908358816,0.011773895574712478,0.015707479636067837
209.93686677863468,84.45920022854165,0.0059577441697047226,0.01241077713476829,0.016286649518073498
210.42395927696097,84.45920022854165,0.006515636103287477,0.01308119831844336,0.016889662342910436
210.91105177528726,84.45920022854165,0.007120552921281353,0.013786885565425953,0.017517705419813057
211.39814427361358,84.45920022854165,0.007775974271717057,0.014529652567723247,0.01817203840525747
211.88523677193987,84.45920022854165,0.008485596289014855,0.01531140461539153,0.018853998280455243
212.37232927026616,84.45920022854165,0.009253341927431486,0.016134143155557733,0.01956500467580953
212.85942176859248,84.45920022854165,0.010083371571940503,0.01699997057507124,0.020306565563397255
213.34651426691877,84.45920022854165,0.010980093920018929,0.017911095217327432,0.021080283340670167
213.83360676524507,84.45920022854165,0.0119481771267524,0.018869836644677687,0.021887861329639973
214.32069926357136,84.45920022854165,0.012992560204549992,0.01987863115773398,0.022731110715615413
214.80779176189768,84.45920022854165,0.01411846466765529,0.02094003758402674,0.02361195795200214
215.29488426022397,84.45920022854165,0.015331406410470047,0.02205674334895932,0.0245324526579006
215.78197675855026,84.45920022854165,0.016637207807536625,0.023231570841547526,0.025494776036245597
216.26906925687655,84.45920022854165,0.018042010021848884,0.02446748408944446,0.026501249841523276
216.75616175520287,84.45920022854165,0.019552285506942466,0.0257675957577239,0.027554345925984068
217.24325425352916,84.45920022854165,0.021174850687018524,0.02713517448576011,0.028656696396270512
217.73034675185545,84.45920022854165,0.02291687879811964,0.028573652578604388,0.029811104409741433
218.21743925018177,84.45920022854165,0.02478591287217723,0.030086634068976503,0.031020555643904327
218.70453174850806,84.45920022854165,0.02678987884452077,0.03167790316596689,0.03228823047074148
219.19162424683435,84.45920022854165,0.028937098764232554,0.03335143310969438,0.03361751686806887
219.67871674516064,84.45920022854165,0.031236304085552283,0.035111395448519114,0.035012024102403935
220.16580924348696,84.45920022854165,0.0336966490173211,0.0369621697587254,0.0364755972149809
220.65290174181325,84.45920022854165,0.03632772390633633,0.03890835382631047,0.038012332344788645
221.13999424013954,84.45920022854165,0.039139568629348816,0.04095477431071263,0.03962659292129405
221.62708673846583,84.45920022854165,0.042142685967289685,0.043106497912470704,0.041323026758630456
222.11417923679215,84.45920022854165,0.045348054934368616,0.04536884306539531,0.043106584083153154
222.60127173511844,84.45920022854165,0.04876714403347642,0.04774739217702625,0.04498253652423749
