S,tau_days,C_BS,C_SH,C_DH,C_PINN
211.5,84.45920022854165,0.006915250354715424,1.1556693759379296e-05,0.00020551199889495925,0.00020302973554588884
211.85338345864662,84.45920022854165,0.007376582405104485,1.437812768695079e-05,0.00023139620004623037,0.00022872002896831255
212.20676691729324,84.45920022854165,0.007865651618524368,1.7816463605433486e-05,0.00026030062916063216,0.0002574209752931022
212.56015037593986,84.45920022854165,0.008383923424604716,2.1990285671963713e-05,0.0002925467523931024,0.00028945429962011905
212.91353383458647,84.45920022854165,0.008932928368815811,2.7037667279331374e-05,0.00032848651878918957,0.00032517233612649343
213.2669172932331,84.45920022854165,0.00951426432775367,3.3118783940982486e-05,0.00036850483332223773,0.00036496051622580066
213.6203007518797,84.45920022854165,0.010129598766039756,4.041878544017255e-05,0.0004130221872544414,0.00040924001521849005
213.97368421052633,84.45920022854165,0.010780671034013048,4.915094124768282e-05,0.00046249745238708295,0.00045847056339081864
214.32706766917292,84.45920022854165,0.011469294705341708,5.956007230076477e-05,0.000517430844880455,0.000513153427372537
214.68045112781954,84.45920022854165,0.012197359953530103,7.192628206451197e-05,0.0005783670639333859,0.0005738345673715448
215.03383458646616,84.45920022854165,0.012966835966265265,8.656899858936462e-05,0.0006458986115705263,0.0006411079756760378
215.38721804511277,84.45920022854165,0.013779773396405856,0.00010385133803055192,0.0007206692980784997,0.0007156192015353507
215.7406015037594,84.45920022854165,0.014638306848355721,0.0001241847990659977,0.000803377938388547,0.0007980690672165777
216.093984962406,84.45920022854165,0.015544657398444335,0.0001480342971012151,0.0008947822437605418,0.0008892175796609502
216.44736842105263,84.45920022854165,0.01650113514785272,0.00017592354407110238,0.0009957029130579036,0.0009898880417554396
216.80075187969925,84.45920022854165,0.017510141806514258,0.00020844077956604854,0.0011070279272108994,0.0011009713667732284
217.15413533834587,84.45920022854165,0.018574173306332112,0.0002462448564556396,0.0012297170504766894,0.0012234305990221823
217.50751879699249,84.45920022854165,0.019695822441950506,0.00029007168260161904,0.0013648065403773365,0.0013583056431897055
217.8609022556391,84.45920022854165,0.020877781537217276,0.00034074101848917035,0.0015134140694920205,0.0015067182042616156
218.21428571428572,84.45920022854165,0.02212284513536428,0.0003991636281473304,0.0016767438596712926,0.0016698769392386333
218.56766917293234,84.45920022854165,0.02343391271085894,0.00046634877905561624,0.0018560920297064091,0.0018490828211814182
218.92105263157896,84.45920022854165,0.024813991400754618,0.0005434120845158888,0.0020528521568697815,0.002045734715362334
219.27443609022555,84.45920022854165,0.0262661987532826,0.0006315836794807561,0.0022685210510458996,0.002261335166520442
219.62781954887217,84.45920022854165,0.02779376549131199,0.0007322167193875624,0.002504704740194301,0.002497496395390715
219.9812030075188,84.45920022854165,0.029400038288250066,0.0008467961882295273,0.0027631246645147566,0.0027559465018019173
220.3345864661654,84.45920022854165,0.03108848255378299,0.0009769480010973735,0.0030456240762172003,0.0030385358707515036
220.68796992481202,84.45920022854165,0.03286268522685362,0.0011244483835327107,0.0033541746406328845,0.0033472437769175543
221.04135338345864,84.45920022854165,0.03472635757308628,0.001291233507895164,0.003690883232977487,0.0036841851821165414
221.39473684210526,84.45920022854165,0.03668333798386619,0.0014794093654641174,0.00405799892502913,0.004051617719227083
221.74812030075188,84.45920022854165,0.03873759477410334,0.0016912618507988685,0.004457920154264857,0.004451948855089051
222.1015037593985,84.45920022854165,0.04089322897569275,0.001929267032810867,0.004893202067143556,0.0048877432238688505
222.45488721804512,84.45920022854165,0.043154477123557064,0.002196101584590053,0.005366564027039497,0.005361730121356316
222.80827067669173,84.45920022854165,0.04552571403109558,0.0024946533452219486,0.00588089727658681,0.005876811149600626
