i,n_expiries,vol_now,bs_s,bs_reprice,sh_s,sh_reprice,dh_s,dh_reprice,dh_param
3829,5,0.19411592982184042,0.010142541999812238,0.0001825007903999598,0.39161758399859536,9.679552493162528e-05,1.5849163330058218,0.00014835434327042314,0.05669809816834874
1761,1,0.9432821329534931,0.009707375000289176,0.00990624200863471,1.683001958001114,0.013944303326307857,5.257813249998435,0.013948714628331348,6.59476187684809
2955,3,0.4358375795172895,0.010016874999564607,0.005642807142384339,0.8721877919961116,0.004466164353994492,11.511352000001352,0.00452512407420333,0.7377728765977701
509,5,0.1756374167411395,0.01013750000129221,0.0017802014795072053,0.27309266699739965,0.0005384842317848968,1.6422721249982715,0.0005752403756216981,0.7670250464147007
3432,1,0.21205201593423606,0.009983500000089407,0.00038218136619081546,0.2770636250061216,0.00046750649270153497,1.1404423330022837,0.00046742080159565,0.19043599485382345
2637,7,0.2722177965405541,0.010220333002507687,0.0027720759689742734,0.489677457997459,0.0007951185115956711,4.15067891599756,0.0007099604067789763,0.42997344295864076
2341,5,0.53412487348397,0.010237208000035025,0.010909988419463602,0.7900328749965411,0.01539742726320395,10.31151254100405,0.015509691518206949,9.711097371025287
1216,2,0.5709928917548527,0.009877208998659626,0.00029789923950758755,1.343060624996724,0.00016016065993758788,5.377215958003944,0.00016202200537342938,0.6159381430771306
3615,5,0.6996752879015039,0.009966542005713563,0.0034377115674209357,0.7504810420068679,0.0014556015882111154,4.186002875001577,0.0017756660205455954,0.22628332952037644
3362,4,0.2426530085599018,0.01026116700086277,0.005163923755304101,0.48794524999539135,0.004994571343458926,3.6416493329961668,0.005020746703832575,56.54807025346289
3871,5,0.5217780923952073,0.010350583004765213,0.0008134361937213279,0.7510451659982209,0.001616055211300509,5.591585707996273,0.0017753071649366857,2.2575293167237986
956,2,0.65876419277347,0.009817457997996826,0.0009168320576430362,1.7963071669946657,0.00047612078585828406,2.580225165998854,0.00047389509032249395,2.3466508016442753
67,1,0.307417929824549,0.009702208000817336,7.096779164257348e-05,0.21283533400128363,1.6389658749550028e-05,0.45228966700233286,1.6495757762194437e-05,0.35810399240126806
930,1,0.5482837812802199,0.009844959000474773,0.017120938537554704,0.37667995799711207,0.022128514044587728,0.8712245829956373,0.021981305692100096,0.4622959640226991
1447,3,0.5463452638737303,0.009997249995649327,0.003060831204333165,0.9355405419992167,0.0012995183801673739,8.388451832994178,0.0012980563747478123,0.18271168325449227
2337,4,0.1429156759422989,0.010133249998034444,0.0001700802143157913,0.24611100000038277,0.0001299006292002083,0.7973490829972434,0.00013004163347743228,5.934354180238032
3667,5,0.4150921103922095,0.009981834002246615,0.00487895277581088,4.419955083001696,0.005890752737561146,3.973703415998898,0.0068070491892482,0.5236992014901777
2978,4,0.6960419870666102,0.010100917003001086,0.008732159079488187,4.444541834003758,0.015475674336481537,11.514697333004733,0.015460214109982834,0.5703833272921788
3858,7,0.2025614154616595,0.010349125004722737,0.0024446377548651096,0.33199612500175135,0.0002245681315868252,2.046148874993378,0.00023327242124792375,0.1961086782251715
864,4,0.3742335069556565,0.010301041998900473,0.0036220933139373508,0.24686629200004973,0.00041007967658408145,3.179140250002092,0.00015152451995073874,0.2871465777547371
3985,4,0.13096049419129435,0.01002774999506073,0.0008913986458499854,0.2888752500002738,0.000860912730641049,4.246840125000745,0.0008848767302898109,0.1433368738685472
304,1,0.2073920136711186,0.00976579199777916,0.00018882321882077405,0.23289037499489496,0.0002931779756016671,0.5316905829968164,0.0002932358673438254,0.35613073458049416
1741,8,0.3563191176896137,0.010354207995987963,0.0012505213419258118,0.8306611669977428,0.00042262350034969674,4.801708040999074,0.0004191995259550076,0.8440815074929563
3111,3,0.5052370267323906,0.010154208001040388,0.003473349528288467,0.2878379590038094,0.0005825879112124846,4.155104958997981,0.0009394411981198343,0.2933324282253397
3084,7,0.21212846289557064,0.010440165999170858,0.004616593773100829,1.425278957998671,0.0050019725594901724,5.2618697920042905,0.00500146817086507,0.26234951831067643
571,1,0.3267742899172624,0.009975084001780488,0.0005975828254237849,0.6192997909965925,0.0005689381339584361,0.78432920799969,0.000568983535961056,0.15017692457368742
3404,5,0.7646475988715953,0.010107667003467213,0.0028268031834427962,0.5598314590024529,0.0005642631781609095,2.886054291993787,0.000539117151340344,10.20387149736637
1081,1,0.6203103920111507,0.010072124998259824,0.01436616787734826,0.41809470900625456,0.02034212328287541,0.9798865409975406,0.020301820405607213,0.369390358410254
532,1,0.3820187549038859,0.010343791000195779,0.0007769728651493298,1.7505017090006731,0.0013796494985837547,4.932908667004085,0.001362715560652024,0.28584581087801586
1395,3,0.15704594405227862,0.009804375004023314,0.0002871559725967693,0.7173101250009495,0.0008236529265014155,3.4136944159981795,0.0008217364975250256,0.4564476298787053
3884,3,0.18152190681088357,0.0098710409947671,0.00021200083333706404,0.39646558400272625,0.0003973698999656746,1.1715747920025024,0.00039801861636808486,1.0652151855790672
542,1,0.1697140548818584,0.009810167000978254,0.0019632667305157247,0.8413597079997999,0.001948972519349782,2.3873964160011383,0.0019486899346280284,0.318626997607731
3631,1,0.1813894270467113,0.009793625002203044,0.00015524632055601115,0.16533145800349303,0.0001508951261894124,0.820127874998434,0.00015293418194211174,0.2648860242072991
2783,5,0.19902861484335962,0.009932957997079939,0.003207372135930583,0.47194716700323625,0.0004705167287252335,4.203483334000339,0.0004911897883307998,0.20482595274692986
973,1,0.14128291423712114,0.010260916002152953,0.0005489779264786258,2.86378291699657,0.0005314118577923918,6.9880171670010895,0.0005023078249246057,0.170041698656143
1850,2,0.4613769502617569,0.009734625004057307,0.0013249202103700912,0.44667712500086054,0.0007910274314521794,2.244402832999185,0.0008241203176139386,0.3781188619736988
3705,2,0.7154104649442623,0.00971620900236303,0.0016711634848527164,1.3558940410002833,0.0017921661569097664,3.268612874999235,0.0018079501801792686,1.2171457835582158
508,1,0.6271978618954301,0.009817458005272783,0.0006366842534133809,0.2727647909996449,0.0029209991943131793,1.8046369170042453,0.0029200440520637037,0.43346627890920114
806,3,0.5637964226537835,0.009856500000751112,0.0034485562781801527,0.5673044590002974,0.0005574411023688042,5.768683917005546,0.0006555005160015661,4.867305001807685
2437,3,0.1916993583381911,0.009881040998152457,0.0017710115615901538,0.33566779200191377,0.0018053609117236358,4.0880031250053435,0.001758394016563108,0.15930774500669223
2143,5,0.21493157859083625,0.01000654199742712,0.000914947667642427,0.5084740000020247,0.00015152848473538855,7.707162041995616,0.0003505910590141706,0.31556902554738764
1226,1,0.39209513382109046,0.010076334001496434,0.0038886387604613166,0.8552157910016831,0.012707220500246337,5.503842916994472,0.012676329641315208,23.82150201380143
329,2,0.1629910451725769,0.009961416995793115,0.0005719825699672452,0.33334616699721664,0.0010529407124841236,0.8301102080004057,0.0010527998868222468,0.3014172459748698
3866,2,0.24307516840757765,0.009761458000866696,0.0011810173282403064,0.38988691700069467,0.0022680459257243507,1.5200573749971227,0.0022678496540095394,0.3212533832483985
131,1,0.4622381743319452,0.009707165998406708,0.008176136712955353,1.820008084003348,0.004491424393143148,2.889962708002713,0.004491637029431795,0.6753393602428218
1706,2,0.3920825025034092,0.009874916002445389,0.0008016740563287185,0.3422081660028198,0.0023364900986994333,2.3966193750020466,0.002336030953545277,10.596098698939933
2006,5,0.27480168830944135,0.010092040996823926,0.004318640272573746,0.6294009160046699,0.004347210874958104,6.46349120800005,0.004016980293955999,0.234004784283828
2675,2,0.7718153577502639,0.010078375002194662,0.002323717609152796,0.4868189170010737,0.001532133698409819,4.5183612079999875,0.0015324211844908008,0.34668517413233313
2016,4,0.8269897565089576,0.009952082997187972,0.005184974818149485,1.209615624997241,0.0026844785146869733,6.629772583000886,0.0028844244527276115,0.43391931885707835
586,5,0.2144587171932706,0.010432916998979636,0.001064938481344463,0.2449545420022332,0.000693976739504942,1.225738209002884,0.0006598853194789148,0.4650359900432979
