label,n_expiries,n_fit,n_hold,noise_est,unified_pre_iv,unified_post_iv,t_encoder,t_total,post_kappa_slow,post_theta_slow,post_sigma_slow,post_rho_slow,post_v0_slow,post_kappa_fast,post_theta_fast,post_sigma_fast,post_rho_fast,post_v0_fast,ood_status,ood_tail_pct,sd_theta,sd_kappa,sd_v0,bs_iv,bs_s,sh_iv,sh_s,dh_iv,dh_s
2026-04-08,10,558,193,0.053781142990121836,0.042293639956737655,0.037727576811304384,0.31968433399742935,1.4009361249991343,1.422625452579425,0.005463656911686152,0.10164320045545734,-0.7299166562931039,0.007925801373521562,9.793362695980424,0.02262984925850964,0.6433016851860799,-0.09758839105557478,0.03118345826275602,severe_extrapolation,0.0,0.7935268675140015,1.3481107859916914,0.6789749889061345,0.04835554190245913,0.16169145900494186,0.034907222597942135,1.7527884579976671,0.03846041244835015,25.443847041999106
2026-04-09,11,627,175,0.051279246325337376,0.029434086957724065,0.02816062209635347,0.04581233400676865,0.9086648750017048,1.1893175425336877,0.00510396037860226,0.08518094811233258,-0.6773673496195193,0.005698010065877785,7.723985943930792,0.024387828303843305,0.5914614784348754,-0.13910045682623842,0.03843430647359155,severe_extrapolation,0.0,0.800252182881212,1.348362601241302,0.6762121995624535,0.023219642250751984,0.13546154200594174,0.025935404577893777,2.2506988330060267,0.023784937001063766,9.690068040996266
2026-04-10,10,545,173,0.04839498761006282,0.028218664677611756,0.025216677331512453,0.03801187500357628,0.9380221250030445,0.8465288971753512,0.009842053495776408,0.11117508264432303,-0.7781271944768233,0.005285236847183531,6.680227792052201,0.02153943804714843,0.5196984582826432,-0.10233362852713954,0.02742441401462987,severe_extrapolation,0.0,0.7956004255099699,1.3488882687147745,0.6773678420233297,0.029778629107753425,0.13563770899781957,0.026565675975834983,2.017196790999151,0.025985432896080515,24.895776500001375
2026-04-13,10,547,176,0.0580504369714557,0.030351419324022213,0.028115392998384045,0.03805291699973168,0.8556075410015183,1.5421935712088284,0.008658627203432042,0.1412882362736653,-0.7874675219174774,0.010309640299911823,8.356657247028474,0.020359738560922176,0.5637114536812384,-0.019946075175437193,0.030304142683580417,severe_extrapolation,0.0,0.8024241035637714,1.3504775476901791,0.6726674853402768,0.029871275703134286,0.14172533300006762,0.03165076608134366,1.5983129590022145,0.030055985710578336,18.337291666000965
2026-04-15,10,565,180,0.06053298982313432,0.03342261928111329,0.03010754430711339,0.038843832997372374,0.8619987499987474,1.574081343214881,0.00800273238196936,0.13902327338150744,-0.7857120742854325,0.010432418666803151,11.902271828573392,0.019077167152001518,0.6504829747779022,0.03417196292782742,0.023630272655213863,severe_extrapolation,0.0,0.7892292980023363,1.3423716889021104,0.6774361835025995,0.035550439010647396,0.1477817090053577,0.02932145853665159,1.895109125005547,0.02957360912600563,17.4097507080005
2026-04-16,10,536,170,0.055237168095268005,0.02382229810113813,0.020498385319608587,0.035934999999881256,0.8468672499948298,1.3703028601110705,0.00802661505861785,0.1300567199760284,-0.7736615051509893,0.008521396696937248,9.911074910260735,0.019772557252280516,0.6057765330031136,-0.019527568540846613,0.02655687773767364,severe_extrapolation,0.0,0.7917609047265726,1.3440024531202426,0.6790128115743478,0.0210823848859955,0.1313939579995349,0.021877478864404217,2.383492542001477,0.022199679029349984,27.033633916005783
2026-04-17,10,536,171,0.04823016460019802,0.02345921931379396,0.020355483045896093,0.03624495799886063,0.8487538750050589,1.5923342840936319,0.0072782272463481545,0.1319421721958683,-0.695477997065715,0.008455216389912465,11.23325503192879,0.01993473535519427,0.6460564469519514,-0.07750808894624871,0.024374004351532228,severe_extrapolation,0.0,0.788323828213606,1.343350573000023,0.6820418786813796,0.022200164373685806,0.1377598749968456,0.021294549690226323,1.7764872079933411,0.021724715425437854,15.603193041002669
2026-04-20,10,533,171,0.061882643893419256,0.033219319421577194,0.031053959229690817,0.03598854200390633,0.8456926670041867,1.214429538477668,0.0026892599347487387,0.051238289403492454,-0.4928992211679719,0.0050726345195808405,10.131660965799059,0.024986272647451298,0.6825055133567681,-0.18427970334255053,0.03804528428611164,severe_extrapolation,0.0,0.8101151991409576,1.3516842793657937,0.6802966521225768,0.026388979720757964,0.1364833749976242,0.030591008001283004,1.4422859999976936,0.02756653042746708,25.9425162500047
2026-04-21,10,533,170,0.05018924567539358,0.034719754561095176,0.029875629835301457,0.036951499998394866,0.8437330000015208,1.5721810856331324,0.0032267020300004424,0.07351344499532395,-0.5011929300364572,0.006084119638096948,11.38436619197958,0.023523740671841865,0.700522372738782,-0.1683633847305963,0.03120432860039284,severe_extrapolation,0.0,0.7951622774356777,1.3488775700380564,0.6821389228467913,0.03378665776778778,0.13710904199979268,0.025682359855786572,2.111894208996091,0.02447697880627698,6.34028479099652
2026-04-22,10,539,171,0.05353614081489334,0.0371915318318312,0.03086993294466629,0.03630345899728127,0.8523124170023948,2.029199150049854,0.0026518576937345426,0.06879589011748859,-0.41928538585211317,0.0073490374378382475,12.029372624163756,0.023743142812823862,0.7193466118385996,-0.1490985760480274,0.03666138215439979,severe_extrapolation,0.0,0.8134438172121312,1.3508768044283035,0.6812443437264704,0.03330564525855018,0.138417207999737,0.023970828814229694,2.0094637500005774,0.02273340879556285,9.581440000001749
