market,label,n_expiries,n_hold,base_0,t_base_0,base_3,t_base_3,ft_0,t_ft_0,ft_3,t_ft_3,dh_cold,t_dh,sh,bs
ADANIPOWER,2026-07-16,1,4,0.03052951817566257,0.36593062500469387,0.008856949893571053,1.158456125005614,0.0317169148904694,0.012422833009622991,0.00642471080051039,0.5516389999829698,0.005447932170201619,4.3223749169847,0.006546826363826523,0.023597416390035698
ADANIPOWER,2026-07-17,1,5,0.0354947759317367,0.010513416986213997,0.03043508945811387,0.5549219580134377,0.030055209580378685,0.012869666999904439,0.018187931473258322,0.550464958010707,0.003962247756594505,1.5000744159915484,0.004316373385901618,0.017623521014616294
ADANIPOWER,2026-07-20,1,4,0.022089423295916746,0.008745541999815032,0.03142393688544401,0.5527319159882609,0.024177702835626456,0.010358833009377122,0.030854799108697744,0.5497178340156097,0.02800034547720515,1.0516338750021532,0.028148937936155943,0.028638250616250208
ADANIPOWER,2026-07-21,2,9,0.05261439255206017,0.019616915989900008,0.03997592745247711,0.5607607910060324,0.04648979537352751,0.016712459007976577,0.04433749442971233,0.5618014170031529,0.02725069737554847,1.6646140000084415,0.034093559796250054,0.07708425187066842
ADANIPOWER,2026-07-22,1,3,0.013478311570814127,0.009508666000328958,0.0018243486142025837,0.5452168750052806,0.009518338021753258,0.00922595799784176,0.0019849744008996403,0.6448012500186451,0.002881730468273877,2.601683500019135,0.0028503961390382426,0.006133635661865476
ADANIPOWER,2026-07-23,1,5,0.011030040664034355,0.011793167010182515,0.005783146476373721,0.5483650829992257,0.00931228733301837,0.013028916990151629,0.0044826855808782085,0.5512401660089381,0.0018063975856807126,3.0510520829993766,0.0018506520324660905,0.008935680207038443
ADANIPOWER,2026-07-24,1,4,0.016611723056479538,0.01027220897958614,0.0175363619527323,0.553903124993667,0.018437105647065116,0.011195582977961749,0.01600518327776759,0.5542498750146478,0.003984809163789937,1.7462305840163026,0.005027709155675866,0.021651514451335112
ADANIPOWER,2026-07-27,1,4,0.02918099643260082,0.010623292007949203,0.012831879220905701,0.5509264580032323,0.033238086792768295,0.011608208005782217,0.014318331786289181,0.5561781669966877,0.005794264643005313,1.6829884590115398,0.006315783998014181,0.035250192205367195
ADANIPOWER,2026-07-28,1,5,0.03842239986463309,0.012013250001473352,0.019776431138940946,0.5614550840109587,0.04607654434762233,0.011523665976710618,0.024296077991542427,0.5661262499925215,0.010661174177565721,1.1652846669894643,0.010651124375052435,0.04523365978275447
ADANIPOWER,2026-07-29,1,4,0.027591394448004115,0.011158790992340073,0.015699634901513108,0.5401444169983733,0.03233709556428059,0.010090708994539455,0.01938182732404083,0.556198417005362,0.003331491798927107,1.1371313330018893,0.0016520737990545482,0.0325912966024297
ADANIPOWER,2026-08-03,1,4,0.02951617132671664,0.009268875000998378,0.024358746445239835,0.5518113329890184,0.02152752576135194,0.011721999995643273,0.02333574384188139,0.5451019999745768,0.003951098089528546,1.2257543329906184,0.0038654045008654964,0.025794813471632826
NIFTY,2026-04-08,10,193,0.042293639956737655,0.2180879169900436,0.037727576811304384,1.179094624996651,0.04479059822703973,0.22876112500671297,0.038120144825587024,1.19822358401143,0.03846041244835015,35.21895129198674,0.034907222597942135,0.04835554190245913
NIFTY,2026-04-09,11,175,0.029434086957724065,0.19765462499344721,0.02816062209635347,1.2213888749829493,0.02188007629702561,0.20426970897824503,0.022563580473644256,1.1866366250033025,0.023784937001063766,13.3641129170137,0.025935404577893777,0.023219642250751984
NIFTY,2026-04-10,10,173,0.028218664677611756,0.1926961669814773,0.025216677331512453,1.1441014590091072,0.029995831852273402,0.1995041250193026,0.024796179820002113,1.1762100830092095,0.025985432896080515,35.44122062498354,0.026565675975834983,0.029778629107753425
NIFTY,2026-04-13,10,176,0.030351419324022213,0.1960141249874141,0.028115392998384045,1.1561267499928363,0.02741682652972746,0.19635437498800457,0.02563466133042808,1.1694836670067161,0.030055985710578336,25.56812058298965,0.03165076608134366,0.029871275703134286
NIFTY,2026-04-15,10,180,0.03342261928111329,0.20208591601112857,0.03010754430711339,1.1712312499876134,0.03516417904958002,0.2076928750029765,0.030036979263384785,1.1909860829764511,0.02957360912600563,24.9478213750117,0.02932145853665159,0.035550439010647396
NIFTY,2026-04-16,10,170,0.02382229810113813,0.18271029202151112,0.020498385319608587,1.1444460409984458,0.02027918857189114,0.19239575002575293,0.017938744555692988,1.1550297909998335,0.022199679029349984,37.808118541986914,0.021877478864404217,0.0210823848859955
NIFTY,2026-04-17,10,171,0.02345921931379396,0.1853659170155879,0.020355483045896093,1.0757904589991085,0.02120582284499208,0.19047879098798148,0.017782762890043373,1.0772447080234997,0.021724715425437854,20.727687667007558,0.021294549690226323,0.022200164373685806
NIFTY,2026-04-20,10,171,0.033219319421577194,0.17933100002119318,0.031053959229690817,1.0686841660062782,0.024731716525922473,0.1837595829856582,0.024765420774207163,1.0655280000064522,0.02756653042746708,34.09099625001545,0.030591008001283004,0.026388979720757964
NIFTY,2026-04-21,10,170,0.034719754561095176,0.17991291597718373,0.029875629835301457,1.0840257499949075,0.0311536078740256,0.18364495801506564,0.02502313552658101,1.0774655000132043,0.02447697880627698,8.470636624988401,0.025682359855786572,0.03378665776778778
NIFTY,2026-04-22,10,171,0.0371915318318312,0.17795275000389665,0.03086993294466629,1.0917389579990413,0.029580002123612135,0.1832985410001129,0.023908942654358393,1.0812877089774702,0.02273340879556285,12.81368012499297,0.023970828814229694,0.03330564525855018
