label,n_expiries,n_fit,n_hold,noise_est,unified_pre_iv,unified_post_iv,t_encoder,t_total,post_kappa_slow,post_theta_slow,post_sigma_slow,post_rho_slow,post_v0_slow,post_kappa_fast,post_theta_fast,post_sigma_fast,post_rho_fast,post_v0_fast,ood_status,ood_tail_pct,sd_theta,sd_kappa,sd_v0,bs_iv,bs_s,sh_iv,sh_s,dh_iv,dh_s
2026-07-16,1,9,4,0.02389146701894653,0.03052951817566257,0.008856949893571053,0.005653041000186931,0.5146080839986098,0.5166514100372692,0.14689482934324694,0.19252943988826643,-0.2650730287510027,0.0820782833851633,13.232783742504656,0.20699738281151978,1.7930912780266244,0.49583201227029855,0.23329666611871855,in_distribution,7.107470255694943,1.000725045363611,1.3456935380204147,0.7911818148718665,0.023597416390035698,0.00269687500258442,0.006546826363826523,1.1469415840037982,0.005447932170201619,3.999474917000043
2026-07-17,1,11,5,0.020865720810880575,0.0354947759317367,0.03043508945811387,0.006049124996934552,0.5066807080002036,0.5148432121412612,0.14514664571028246,0.1931505450115679,-0.3083930088598643,0.04263477031247021,45.61358857282068,0.25773396666242465,4.414070476378222,0.1538459285857427,0.22069609923749334,mild_extrapolation,0.9398383087830524,0.997364276946572,1.3506608575579078,0.813380884791391,0.017623521014616294,0.003428750002058223,0.004316373385901618,2.2230356660002144,0.003962247756594505,1.4446362500020768
2026-07-20,1,7,4,0.020018788403541623,0.022089423295916746,0.03142393688544401,0.004869541997322813,0.5090821249978035,0.5065208033340989,0.10703152110116403,0.1664561012614094,-0.30572712197881535,0.07882110822370718,11.31017649455741,0.12954372737202946,1.1145776962453118,0.22456787855055382,0.14068190679712372,in_distribution,10.0,0.9443543584824422,1.3495349864067951,0.7858426045653545,0.028638250616250208,0.002513625004212372,0.028148937936155943,1.932200583993108,0.02800034547720515,1.0174722090014257
2026-07-21,2,18,9,0.05702042883379057,0.05261439255206017,0.03997592745247711,0.006322166998870671,0.5146635830024024,0.44083576174534833,0.09093482823417925,0.10988287106232847,-0.2597481781749176,0.04728638817991931,168.76755019878416,0.17211937736876698,6.525324928064469,0.4869875105328363,0.2543428744341473,severe_extrapolation,0.0,0.9792456668062153,1.3307419373931761,0.745373985608943,0.07708425187066842,0.006015375001879875,0.034093559796250054,0.446232708003663,0.02725069737554847,1.6089140830008546
2026-07-22,1,6,3,0.020813038967878127,0.013478311570814127,0.0018243486142025837,0.004757499998959247,0.5194101249944651,0.4888390408839994,0.08635174151259328,0.14440674185180552,-0.28722910267054635,0.06879970693985767,10.787306262715859,0.10797327523153723,1.0164960528603877,0.31543773255719915,0.12858386018311152,in_distribution,7.5,0.9278695735170206,1.3661224399549448,0.7520715902465155,0.006133635661865476,0.0017139999981736764,0.0028503961390382426,1.7271861669942155,0.002881730468273877,2.4178767500052345
2026-07-23,1,10,5,0.01924113858743822,0.011030040664034355,0.005783146476373721,0.006092374998843297,0.506998749995546,0.525029272757514,0.07828436002076763,0.15057784376920186,-0.3589913677766513,0.04340635154401007,11.343235760010453,0.13257812533499266,1.4684021917546874,0.1168115967253421,0.12476957209172815,in_distribution,11.859075626680806,0.9384950335857991,1.3696291789167077,0.7570237628965383,0.008935680207038443,0.00323062499955995,0.0018506520324660905,2.7511933330024476,0.0018063975856807126,2.8828893329991843
2026-07-24,1,7,4,0.017959623499842106,0.016611723056479538,0.0175363619527323,0.0060396670014597476,0.5066980419942411,0.490368545969404,0.07392098939715404,0.13304843651394543,-0.2892209989670596,0.05646629509796118,10.430101092688375,0.09399248220769281,0.9420896562809845,0.35449173328922245,0.10828347352812008,in_distribution,10.0,0.9470596127807245,1.350597163453528,0.772339170419387,0.021651514451335112,0.0027623749992926605,0.005027709155675866,2.253482416999759,0.003984809163789937,1.6113045420061098
2026-07-27,1,7,4,0.05598443345834337,0.02918099643260082,0.012831879220905701,0.005205000001296867,0.5062699170011911,0.4915031918488412,0.06475379456813336,0.12542140317849093,-0.24865230421968051,0.032377766630872704,9.225225712963159,0.0913412743293423,1.0157346171899415,0.47512494057496896,0.1083815574894015,in_distribution,8.685783179289999,0.9754402356906502,1.3470935710598817,0.7711182086756392,0.035250192205367195,0.003005124999617692,0.006315783998014181,1.537032125001133,0.005794264643005313,1.6175352499994915
2026-07-28,1,9,5,0.044944661168412225,0.03842239986463309,0.019776431138940946,0.004967624998243991,0.5229323750027106,0.4801835644118794,0.057113521996747456,0.1124438508086637,-0.24576980449991712,0.02908343181965801,11.308756470004726,0.09405429997203943,1.2191093266047037,0.45298812268284233,0.10398668206792507,in_distribution,9.998891662239373,0.9565929597392642,1.344528660732641,0.7588237642151371,0.04523365978275447,0.0037986669995007105,0.010651124375052435,0.8711020830014604,0.010661174177565721,1.1236026670012507
2026-07-29,1,7,4,0.01702000646047699,0.027591394448004115,0.015699634901513108,0.0056719169951975346,0.5230339170011575,0.4926077810805104,0.05970059033723669,0.11683796345792755,-0.284557617863656,0.035532182534519584,11.64683323336578,0.10168970691569673,1.2361596666587036,0.3631828602742937,0.10249475177882748,in_distribution,10.0,0.9621410309758294,1.3524765477527763,0.7540585362166926,0.0325912966024297,0.002750958999968134,0.0016520737990545482,1.1778782909968868,0.003331491798927107,1.0705675830031396
2026-08-03,1,8,4,0.036204285907429384,0.02951617132671664,0.024358746445239835,0.004785791999893263,0.5032819579937495,0.481129991803999,0.057824890703677384,0.1106946099863037,-0.2337093712768635,0.028085858599654793,14.8528314024933,0.09264604319859526,1.4376563175052757,0.47757703549863406,0.12231353762708211,in_distribution,8.54033017601951,0.9919681187686746,1.3454869098838305,0.7625011628336628,0.025794813471632826,0.002958875003969297,0.0038654045008654964,0.8286543340000208,0.003951098089528546,1.1293300410034135
