date,market_ATM_IV,SH14_ATM_IV,DH14_ATM_IV,BS_term_ATM_IV
2026-08-24,9.839439910341058,15.073579604119724,14.71843884998718,10.425547640673043
2026-08-25,9.317724521710556,15.479218995683539,15.019169397089644,10.516329849839387
2026-08-26,9.165922883701375,15.456568004439553,15.004782645585415,10.505218244908185
2026-08-27,9.621727815594367,15.413154100494845,14.954300844755737,10.528067341947072
2026-08-28,9.569649303038307,15.692497368941597,15.170833337767771,10.577748456657153
2026-08-31,9.967634220322259,15.122828329481107,14.762816824249343,10.439747012228846
2026-09-01,10.138503930968378,15.202503532347164,14.823102564216336,10.466027309314931
2026-09-02,10.469407801260036,15.243940049375608,14.845171459037836,10.490372398076998
2026-09-03,10.355826808055712,15.682100362536055,15.17065110972873,10.600615323079634
2026-09-04,9.649150977452894,15.237417422977853,14.842358888289708,10.489053712278592
2026-09-07,10.24387210188758,15.159112987003466,14.793156794945226,10.45901375771525
2026-09-08,10.241444616822461,15.311855196442831,14.889855936612078,10.521248360937365
2026-09-09,10.852200610130105,15.2449594098831,14.842901039471386,10.505435604245518
2026-09-10,10.725027464566647,15.36698574472538,14.919974801777958,10.524037865242502
2026-09-11,11.275421741405667,15.269053445268883,14.871645354980979,10.495587740760037
2026-09-15,12.601189499438444,15.290913934162157,14.872346493326466,10.504674832255475
2026-09-16,12.255564128082222,15.222848832493328,14.815910818768131,10.484266638665602
