symbol,origin_date,target_date,target_split,calendar_gap_days,candidate,kappa,theta,sigma,rho,origin_v0,forecast_v0,origin_clean_quotes,optimizer_evaluations,state_information_cutoff
ADANIENSOL,2026-01-29,2026-01-30,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.13670326363411775,0.14248368793335195,18,5,2026-01-29
ADANIENSOL,2026-01-29,2026-01-30,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.11656338437136331,0.1242940975850344,18,6,2026-01-29
ADANIENSOL,2026-01-29,2026-01-30,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1307871653278009,0.1368760477518416,18,6,2026-01-29
ADANIENSOL,2026-02-02,2026-02-03,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.11539994585655376,0.12175590937522635,17,5,2026-02-02
ADANIENSOL,2026-02-02,2026-02-03,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.09927236634928664,0.10747022174077114,17,6,2026-02-02
ADANIENSOL,2026-02-02,2026-02-03,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.11166039029005377,0.11813148255085743,17,6,2026-02-02
ADANIENSOL,2026-02-03,2026-02-04,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.10933299459605232,0.11585286537223746,22,8,2026-02-03
ADANIENSOL,2026-02-03,2026-02-04,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.09217547271915891,0.10056506108679641,22,6,2026-02-03
ADANIENSOL,2026-02-03,2026-02-04,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.10771698408956232,0.11426687733156676,22,5,2026-02-03
ADANIENSOL,2026-02-04,2026-02-05,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.10452076306859065,0.11117064307648283,19,5,2026-02-04
ADANIENSOL,2026-02-04,2026-02-05,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.08904131480670466,0.09751557704091063,19,6,2026-02-04
ADANIENSOL,2026-02-04,2026-02-05,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.10289628036424633,0.1095425056005519,19,6,2026-02-04
ADANIENSOL,2026-02-05,2026-02-06,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.09686596394799868,0.10372264916608503,19,8,2026-02-05
ADANIENSOL,2026-02-05,2026-02-06,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.08163510236706774,0.0903094542781212,19,6,2026-02-05
ADANIENSOL,2026-02-05,2026-02-06,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.09644046741103593,0.10321569898584604,19,6,2026-02-05
ADANIENSOL,2026-02-06,2026-02-09,validation,3,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.08798739644110551,0.10870706275002714,25,5,2026-02-06
ADANIENSOL,2026-02-06,2026-02-09,validation,3,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.07431551638079299,0.1002192173451043,25,6,2026-02-06
ADANIENSOL,2026-02-06,2026-02-09,validation,3,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.08743572516568546,0.10788706668160503,25,5,2026-02-06
ADANIENSOL,2026-02-16,2026-02-17,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.1402620349512361,0.14594631401678418,14,6,2026-02-16
ADANIENSOL,2026-02-16,2026-02-17,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.1354004859452149,0.1426222872693913,14,4,2026-02-16
ADANIENSOL,2026-02-16,2026-02-17,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.13853332150386238,0.14446741269510238,14,5,2026-02-16
ADANIENSOL,2026-02-26,2026-02-27,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.030087496070543496,0.03874829591897899,14,6,2026-02-26
ADANIENSOL,2026-02-26,2026-02-27,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.005333802888652747,0.016069546162715165,14,9,2026-02-26
ADANIENSOL,2026-02-26,2026-02-27,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.030893584857554612,0.03897863804273305,14,6,2026-02-26
ADANIENSOL,2026-03-02,2026-03-04,validation,2,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.08303953340001394,0.09730465017532769,13,6,2026-03-02
ADANIENSOL,2026-03-02,2026-03-04,validation,2,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.06245259425043854,0.08058943374811656,13,6,2026-03-02
ADANIENSOL,2026-03-02,2026-03-04,validation,2,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.0794793857195775,0.09356555239933834,13,6,2026-03-02
ADANIENSOL,2026-03-04,2026-03-05,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.12285610490758814,0.12901062975811295,15,5,2026-03-04
ADANIENSOL,2026-03-04,2026-03-05,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.10437753643093818,0.11243746817518535,15,7,2026-03-04
ADANIENSOL,2026-03-04,2026-03-05,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.11660328414688083,0.12297560269123586,15,5,2026-03-04
ADANIENSOL,2026-03-06,2026-03-09,validation,3,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.12003778280928355,0.1382293371852438,12,5,2026-03-06
ADANIENSOL,2026-03-06,2026-03-09,validation,3,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.10268290964140708,0.12634900636917934,12,6,2026-03-06
ADANIENSOL,2026-03-06,2026-03-09,validation,3,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1153924146644546,0.13420105068077692,12,6,2026-03-06
ADANIENSOL,2026-03-09,2026-03-10,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.15703672793161347,0.1622678149730341,13,5,2026-03-09
ADANIENSOL,2026-03-09,2026-03-10,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.1426143482656554,0.14964125653318733,13,5,2026-03-09
ADANIENSOL,2026-03-09,2026-03-10,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1505665583027479,0.15626018964314753,13,5,2026-03-09
ADANIENSOL,2026-03-10,2026-03-11,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.1338242576687931,0.13968246238060636,13,5,2026-03-10
ADANIENSOL,2026-03-10,2026-03-11,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.11917382749775395,0.1268340157668808,13,6,2026-03-10
ADANIENSOL,2026-03-10,2026-03-11,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1300799151741008,0.13618293055914837,13,6,2026-03-10
ADANIENSOL,2026-03-11,2026-03-12,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.20432929660992485,0.20828270811054236,14,4,2026-03-11
ADANIENSOL,2026-03-11,2026-03-12,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.19230852857915987,0.19799287577905172,14,5,2026-03-11
ADANIENSOL,2026-03-11,2026-03-12,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.19500174262755995,0.19980742686167505,14,5,2026-03-11
ADANIENSOL,2026-03-13,2026-03-16,validation,3,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.19610526943947956,0.2082966739747777,13,4,2026-03-13
ADANIENSOL,2026-03-13,2026-03-16,validation,3,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.18571413702148026,0.20283077661571158,13,6,2026-03-13
ADANIENSOL,2026-03-13,2026-03-16,validation,3,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1879028034795113,0.20245080575771982,13,5,2026-03-13
ADANIENSOL,2026-03-18,2026-03-19,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.13359555410176407,0.1394599375634709,16,5,2026-03-18
ADANIENSOL,2026-03-18,2026-03-19,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.1247437674550515,0.1322534756380076,16,5,2026-03-18
ADANIENSOL,2026-03-18,2026-03-19,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.132147145997215,0.13820885196371735,16,5,2026-03-18
ADANIENSOL,2026-04-07,2026-04-08,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.25219691826720364,0.25485711835856284,10,4,2026-04-07
ADANIENSOL,2026-04-07,2026-04-08,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.23753046632024474,0.24199307663603056,10,6,2026-04-07
ADANIENSOL,2026-04-07,2026-04-08,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.2401783165013982,0.24408123846159321,10,7,2026-04-07
ADANIENSOL,2026-04-13,2026-04-15,validation,2,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.34527359137340524,0.34556086232574895,20,4,2026-04-13
ADANIENSOL,2026-04-13,2026-04-15,validation,2,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.33169698700998135,0.3354822818674423,20,6,2026-04-13
ADANIENSOL,2026-04-13,2026-04-15,validation,2,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.3349943867834517,0.33897068657767637,20,5,2026-04-13
ADANIENSOL,2026-04-23,2026-04-24,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.3585064441176026,0.3582945422121903,12,4,2026-04-23
