method,seed,surface_id,parameter_range_scaled_rmse,noisy_price_rmse,clean_latent_price_rmse
model1,11,R2_FINAL_interior_train_008990,0.13081622956393055,0.0005386023895533618,0.0005404591428951271
model1,11,R2_FINAL_interior_train_008991,0.1758248084617435,0.00013294523569227964,0.00010542099214042765
model1,11,R2_FINAL_interior_train_008992,0.11479596702256908,0.0006576560921354995,0.0006562207945864458
model1,11,R2_FINAL_interior_train_008993,0.1208238728099791,0.0003103616231697033,0.00030850494532732366
model1,11,R2_FINAL_interior_train_008995,0.13084351867486702,0.00022025039344627698,0.00020989077599461794
model1,11,R2_FINAL_interior_train_008996,0.10896600534790392,0.0006732836917391761,0.0006910060542551625
model1,11,R2_FINAL_interior_train_008997,0.11461041677082436,0.0006380496484388158,0.000636237948676666
model1,11,R2_FINAL_interior_train_008998,0.14169071954990714,0.0005467376673801098,0.0005207383671380062
model1,11,R2_FINAL_interior_train_008999,0.12881178401655527,0.000527232435461274,0.0005326708065106967
model1,11,R2_FINAL_interior_train_009000,0.14043560120870857,0.000545628945434628,0.0005508430626852483
model1,11,R2_FINAL_interior_train_009001,0.15265275656158725,0.0003580357359177347,0.0003404407933112458
model1,11,R2_FINAL_interior_train_009002,0.1304976653617558,8.25700666322445e-05,6.515497071206514e-05
model1,11,R2_FINAL_interior_train_009003,0.13194076103857202,0.00011792637564711606,0.00010755129308562569
model1,11,R2_FINAL_interior_train_009004,0.11466930524965568,0.00035740325748763615,0.0003627011617837569
model1,11,R2_FINAL_interior_train_009005,0.10795661732841554,0.0002761504047206616,0.0002776039498381692
model1,11,R2_FINAL_interior_train_009006,0.1429846784285329,0.0008667043474879514,0.0008683602172151233
model1,11,R2_FINAL_interior_train_009008,0.13458786894425107,0.0005539464520292009,0.0005741862786798135
model1,11,R2_FINAL_interior_train_009009,0.14480002767415312,0.00040582992432309107,0.00038942935123095095
model1,11,R2_FINAL_interior_train_009010,0.11580438921722898,0.0006654804401715422,0.0006486085055520296
model1,11,R2_FINAL_interior_train_009011,0.09738360329454958,0.0008081765776583889,0.0008042098995701511
