setting,figure,quantity,tau_days,model,RMSE_vs_DH,max_abs_vs_DH,P95_abs_vs_DH,points_without_invertible_IV,RMSE_vs_market,max_abs_vs_market,P95_abs_vs_market,RMSE_vs_own_target,max_abs_vs_own_target,P95_abs_vs_own_target
controlled,controlled_atm_iv_term_structure,ATM IV (vol pts),,DH,0.0,0.0,0.0,,,,,,,
controlled,controlled_atm_iv_term_structure,ATM IV (vol pts),,PINN,0.0031114132748244,0.0112386783268938,0.0085607922891867,,,,,,,
controlled,atm_iv_term_structure,ATM IV (vol pts),,BS,0.0581961400373739,0.1837280721737642,0.0901667650608713,,,,,,,
controlled,atm_iv_term_structure,ATM IV (vol pts),,SH,0.1671577475806183,0.8454050277167298,0.4075442270843865,,,,,,,
controlled,atm_iv_term_structure,ATM IV (vol pts),,DH,0.0,0.0,0.0,,,,,,,
controlled,atm_iv_term_structure,ATM IV (vol pts),,PINN,0.0031114132748244,0.0112386783268938,0.0085607922891867,,,,,,,
controlled,atm_term_structure_zoom,ATM IV (vol pts),,BS,0.0712510457405797,0.1837280721737642,0.0860032438966964,,,,,,,
controlled,atm_term_structure_zoom,ATM IV (vol pts),,SH,0.3920329643187759,0.8454050277167298,0.7549504577104453,,,,,,,
controlled,atm_term_structure_zoom,ATM IV (vol pts),,DH,0.0,0.0,0.0,,,,,,,
controlled,atm_term_structure_zoom,ATM IV (vol pts),,PINN,0.0069797537200585,0.0112399891527132,0.0111574111392608,,,,,,,
controlled,controlled_atm_time_value_vs_tau,ATM time value,,BS,0.0181168561540909,0.0272433995335275,0.0257821335942851,,,,,,,
controlled,controlled_atm_time_value_vs_tau,ATM time value,,SH,0.0286249776195731,0.0614801752877869,0.0535271715559656,,,,,,,
controlled,controlled_atm_time_value_vs_tau,ATM time value,,DH,0.0,0.0,0.0,,,,,,,
controlled,controlled_atm_time_value_vs_tau,ATM time value,,PINN,0.0007936980547448,0.0016656488706634,0.0013097853862952,,,,,,,
market,market_iv_smile,implied vol (vol pts),28.4592002513773,BS,,,,,6.209259845571321,25.79440221131707,14.924790829185598,,,
market,market_iv_smile,implied vol (vol pts),28.4592002513773,SH,,,,,1.480463573135709,6.330736495279417,2.031911677061757,,,
market,market_iv_smile,implied vol (vol pts),28.4592002513773,DH,,,,,0.3766128128720876,1.1031989902586403,0.7062918658718258,,,
market,market_iv_smile,implied vol (vol pts),28.4592002513773,PINN,,,,,5.4031443796671645,20.70730184429328,12.230595108822012,,,
market,market_iv_smile,implied vol (vol pts),84.45920022854165,BS,,,,,4.613541120144595,17.392595006315787,10.370680068341414,,,
market,market_iv_smile,implied vol (vol pts),84.45920022854165,SH,,,,,0.7351928860694834,3.3508226052693857,1.4310420418647534,,,
market,market_iv_smile,implied vol (vol pts),84.45920022854165,DH,,,,,0.3369445640924982,0.5899754161318675,0.5479178005054312,,,
market,market_iv_smile,implied vol (vol pts),84.45920022854165,PINN,,,,,2.9743218067782573,10.698989689461609,7.2573088134854,,,
market,market_iv_smile,implied vol (vol pts),357.45920019181716,BS,,,,,2.1097904556845783,5.908117731905609,4.549315960084165,,,
market,market_iv_smile,implied vol (vol pts),357.45920019181716,SH,,,,,0.8402023891004644,1.816972156725999,1.5263412995060968,,,
market,market_iv_smile,implied vol (vol pts),357.45920019181716,DH,,,,,0.8217364469494839,1.528204120088791,1.43810794481605,,,
market,market_iv_smile,implied vol (vol pts),357.45920019181716,PINN,,,,,2.240900204251747,3.686856835437269,3.0634699764853934,,,
market,market_atm_iv_term_structure,ATM IV (vol pts),,BS,,,,,0.7629567256141806,1.5882650584073126,1.5433807937377788,,,
market,market_atm_iv_term_structure,ATM IV (vol pts),,SH,,,,,0.91714372167769,1.858950522636846,1.5500063237149613,,,
market,market_atm_iv_term_structure,ATM IV (vol pts),,DH,,,,,0.6565337797426768,1.570193227285838,0.9435883169185464,,,
market,market_atm_iv_term_structure,ATM IV (vol pts),,PINN,,,,,1.6516443750677914,3.4306609489234887,3.298788227162802,,,
market,market_residual_panels,IV RMSE all held-out (vol pts),,BS,,,,,5.388222084159441,27.89069329869383,12.189332835945356,,,
market,market_residual_panels,IV RMSE all held-out (vol pts),,SH,,,,,1.8927575507104315,14.92005040763608,2.592208553260741,,,
market,market_residual_panels,IV RMSE all held-out (vol pts),,DH,,,,,0.5833706163025699,3.2617989772461526,1.0894256165770178,,,
market,market_residual_panels,IV RMSE all held-out (vol pts),,PINN,,,,,5.356603645441236,30.72556545571292,10.733820860734124,,,
controlled,dh_pinn_vs_dh_validation,price vs exact DH,,PINN,0.000752153554151,0.0021235535452817,0.0016268654928452,,,,,,,
BS-PINN own convention,bs_pinn_vs_bs_validation,price vs analytic BS,,BS_PINN,,,,,,,,0.0243944989663088,0.2192789442764962,0.0287641085965048
