symbol,usable,domain_pass,reject_reason,error_known,S1_one_timescale_misfit,S2_term_curvature,S3_skew_magnitude,S4_skew_variation,S5_short_long_separation,atm_iv_short,atm_iv_long,expiries,quotes,expiries_under_90d,expiries_over_180d,single_timescale_kappa,DH_SCORE,z_S1_one_timescale_misfit,z_S2_term_curvature,z_S3_skew_magnitude,z_S4_skew_variation,z_S5_short_long_separation
XLK,True,True,,False,0.05452464562977385,0.11143177243281603,0.20364082789135984,0.10836132132975024,0.0016000899233659747,0.25196356097783756,0.25378413260493615,13.0,453.0,8.0,3.0,5.179651829101852,-0.0013145574221157807,0.1906623386832421,0.8795521651018791,0.1011604963946791,-0.893943743063599,-1.3457243891545048
XLP,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
XLRE,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
XLU,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
XLV,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
XLY,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
XOM,True,False,"short ATM IV 29.4% outside [13.4, 28.6]%",False,0.04154076828712521,0.04639253512816972,0.056584335497474866,0.08043625848073391,0.01153617800971992,0.29408340848728043,0.28079117548838267,15.0,282.0,8.0,5.0,0.268004038977689,,,,,,
_DJX,True,False,"short ATM IV 12.9% outside [13.4, 28.6]%",True,0.004492332027215018,0.02470706798857091,,,0.13688641136781776,0.12947488688642247,0.16176303400161027,7.0,175.0,3.0,3.0,1.1913788825894265,,,,,,
_NDX,True,True,,True,0.014891168357002134,0.025158959959330256,0.38377906275206675,0.23775951986509083,0.20915553872310355,0.18351125255991776,0.22803002043858173,38.0,4554.0,26.0,8.0,3.315820586187323,-0.369435999949201,-1.3624757109762733,-1.5789870016558991,1.563939658896096,0.6636561018217014,1.5721232066481865
_RUT,True,True,,True,0.041935267744827094,0.03267086975987172,0.4074497012763314,0.2545911630289887,0.07846602971315328,0.19492097443193712,0.22122663135526877,22.0,3102.0,13.0,5.0,0.0006142099903802904,-0.027208058512583705,-0.3026842753441326,-1.3649181202518221,1.7561526936422818,0.8662629779451879,-0.26513075062686686
_SPX,True,False,"short ATM IV 12.7% outside [13.4, 28.6]%",True,0.012458080484081637,0.022320478075858862,0.6897613294063191,0.2892699959353506,0.2630932233315671,0.12684238273430182,0.17036419942685813,48.0,10835.0,29.0,13.0,2.366945954696267,,,,,,
