generator_factors,case,quote,x,tau,holdout,true_price,observed_price,observed_iv
1,0,0,0.2231435513142097,0.0821917808219178,False,0.25001453060355716,0.25001453060355716,0.2433569011344203
1,0,1,0.19845093872383818,0.0821917808219178,False,0.2195584215450166,0.2195584215450166,0.24138437726335776
1,0,2,0.17435338714477766,0.0821917808219178,True,0.1906087912764748,0.1906087912764748,0.23946278324303863
1,0,3,0.15082288973458366,0.0821917808219178,False,0.16313523062293012,0.16313523062293012,0.23759227608239306
1,0,4,0.12783337150988489,0.0821917808219178,False,0.13717821271019037,0.13717821271019037,0.23577317989904237
1,0,5,0.10536051565782628,0.0821917808219178,True,0.1128717752456656,0.1128717752456656,0.23400596980643615
1,0,6,0.08338160893905101,0.0821917808219178,False,0.09045244884984505,0.09045244884984505,0.23229125388484043
1,0,7,0.06187540371808741,0.0821917808219178,False,0.07023870764729934,0.07023870764729934,0.23062975284517903
1,0,8,0.040821994520255166,0.0821917808219178,True,0.05257253474997947,0.05257253474997947,0.2290222770861183
1,0,9,0.020202707317519466,0.0821917808219178,False,0.03773178872520355,0.03773178872520355,0.22746970097939
1,0,10,-0.0,0.0821917808219178,False,0.025840727949110742,0.025840727949110742,0.2259729343913086
1,0,11,-0.01980262729617973,0.0821917808219178,True,0.01681363762355431,0.01681363762355431,0.22453289166183288
1,0,12,-0.03922071315328133,0.0821917808219178,False,0.010355528156707317,0.010355528156707317,0.22315045850608325
1,0,13,-0.058268908123975824,0.0821917808219178,False,0.006019228450116043,0.006019228450116043,0.22182645756255978
1,0,14,-0.0769610411361284,0.0821917808219178,True,0.0032944757954371517,0.0032944757954371517,0.2205616135644973
1,0,15,-0.09531017980432493,0.0821917808219178,False,0.001695237802250102,0.001695237802250102,0.21935651932675776
1,0,16,-0.11332868530700327,0.0821917808219178,False,0.0008193652134474844,0.0008193652134474844,0.21821160388950778
1,0,17,-0.1310282624064042,0.0821917808219178,True,0.00037186627718236234,0.00037186627718236234,0.21712710421195278
1,0,18,-0.14842000511827322,0.0821917808219178,False,0.0001585063746933294,0.0001585063746933294,0.2161030417447915
1,0,19,-0.16551443847757333,0.0821917808219178,False,6.34960496844199e-05,6.34960496844199e-05,0.21513920502003211
1,0,20,-0.1823215567939546,0.0821917808219178,True,2.3930448284923854e-05,2.3930448284923854e-05,0.21423513909415018
1,0,21,0.2231435513142097,0.1643835616438356,False,0.25052614199176904,0.25052614199176904,0.24842848223446323
1,0,22,0.19845093872383818,0.1643835616438356,False,0.22048634970712477,0.22048634970712477,0.24655697459486622
1,0,23,0.17435338714477766,0.1643835616438356,True,0.19219494747261212,0.19219494747261212,0.24473560606868097
1,0,24,0.15082288973458366,0.1643835616438356,False,0.16568725578906662,0.16568725578906662,0.2429642361642364
1,0,25,0.12783337150988489,0.1643835616438356,False,0.1410370143553208,0.1410370143553208,0.24124285707803306
1,0,26,0.10536051565782628,0.1643835616438356,True,0.11834628118377821,0.11834628118377821,0.23957157805932258
1,0,27,0.08338160893905101,0.1643835616438356,False,0.09772910007811675,0.09772910007811675,0.23795060889854386
1,0,28,0.06187540371808741,0.1643835616438356,False,0.07929047560162183,0.07929047560162183,0.2363802423443524
1,0,29,0.040821994520255166,0.1643835616438356,True,0.06310379212622486,0.06310379212622486,0.2348608353292405
1,0,30,0.020202707317519466,0.1643835616438356,False,0.04919076918768561,0.04919076918768561,0.23339278897396465
1,0,31,-0.0,0.1643835616438356,False,0.0375079433892076,0.0375079433892076,0.23197652744569092
1,0,32,-0.01980262729617973,0.1643835616438356,True,0.027942439558102383,0.027942439558102383,0.23061247586125547
1,0,33,-0.03922071315328133,0.1643835616438356,False,0.020317775825247297,0.020317775825247297,0.22930103754988895
1,0,34,-0.058268908123975824,0.1643835616438356,False,0.014408256709562806,0.014408256709562806,0.2280425711113638
1,0,35,-0.0769610411361284,0.1643835616438356,True,0.009958804317218128,0.009958804317218128,0.22683736781545863
1,0,36,-0.09531017980432493,0.1643835616438356,False,0.006706311920575303,0.006706311920575303,0.2256856299754759
1,0,37,-0.11332868530700327,0.1643835616438356,False,0.004398876186835363,0.004398876186835363,0.2245874509804365
1,0,38,-0.1310282624064042,0.1643835616438356,True,0.0028103343693298144,0.0028103343693298144,0.2235427976776694
1,0,39,-0.14842000511827322,0.1643835616438356,False,0.0017489623158881626,0.0017489623158881626,0.2225514957534262
1,0,40,-0.16551443847757333,0.1643835616438356,False,0.0010605287761111803,0.0010605287761111803,0.22161321866269565
1,0,41,-0.1823215567939546,0.1643835616438356,True,0.0006268399696812525,0.0006268399696812525,0.22072748051539573
1,0,42,0.2231435513142097,0.2465753424657534,False,0.25213969141901593,0.25213969141901593,0.25331449544142376
1,0,43,0.19845093872383818,0.2465753424657534,False,0.222798562995564,0.222798562995564,0.2515341469944292
1,0,44,0.17435338714477766,0.2465753424657534,True,0.19537149207620286,0.19537149207620286,0.24980289034886638
1,0,45,0.15082288973458366,0.2465753424657534,False,0.1698736784058048,0.1698736784058048,0.24812033967965527
1,0,46,0.12783337150988489,0.2465753424657534,False,0.14633326165035165,0.14633326165035165,0.24648621912923918
1,0,47,0.10536051565782628,0.2465753424657534,True,0.12478218072732006,0.12478218072732006,0.24490034829232757
1,0,48,0.08338160893905101,0.2465753424657534,False,0.10524624145667483,0.10524624145667483,0.2433626275143511
1,0,49,0.06187540371808741,0.2465753424657534,False,0.08773543449229426,0.08773543449229426,0.24187302289604393
1,0,50,0.040821994520255166,0.2465753424657534,True,0.07223563707505576,0.07223563707505576,0.2404315509511682
1,0,51,0.020202707317519466,0.2465753424657534,False,0.05870271754715206,0.05870271754715206,0.23903826292333044
1,0,52,-0.0,0.2465753424657534,False,0.04705975551235847,0.04705975551235847,0.23769322883003033
1,0,53,-0.01980262729617973,0.2465753424657534,True,0.03719765268596825,0.03719765268596825,0.23639652136582878
1,0,54,-0.03922071315328133,0.2465753424657534,False,0.02897892923899348,0.02897892923899348,0.23514819985867075
1,0,55,-0.058268908123975824,0.2465753424657534,False,0.022244073687385957,0.022244073687385957,0.23394829453052648
1,0,56,-0.0769610411361284,0.2465753424657534,True,0.01681951954626726,0.01681951954626726,0.23279679136094955
1,0,57,-0.09531017980432493,0.2465753424657534,False,0.012526202509859308,0.012526202509859308,0.23169361788564158
1,0,58,-0.11332868530700327,0.2465753424657534,False,0.009187709652731052,0.009187709652731052,0.23063863027729284
1,0,59,-0.1310282624064042,0.2465753424657534,True,0.006637232192297143,0.006637232192297143,0.22963160204982824
1,0,60,-0.14842000511827322,0.2465753424657534,False,0.004722817621205633,0.004722817621205633,0.22867221469806043
1,0,61,-0.16551443847757333,0.2465753424657534,False,0.003310721234427383,0.003310721234427383,0.22776005053298568
1,0,62,-0.1823215567939546,0.2465753424657534,True,0.0022869260517601048,0.0022869260517601048,0.2268945879014947
1,0,63,0.2231435513142097,0.4931506849315068,False,0.2619557427069168,0.2619557427069168,0.2669314376246605
1,0,64,0.19845093872383818,0.4931506849315068,False,0.23460016337990897,0.23460016337990897,0.26537665226870805
1,0,65,0.17435338714477766,0.4931506849315068,True,0.2092525589252494,0.2092525589252494,0.2638670951615209
1,0,66,0.15082288973458366,0.4931506849315068,False,0.1858498215981229,0.1858498215981229,0.2624018922010468
1,0,67,0.12783337150988489,0.4931506849315068,False,0.1643296971707745,0.1643296971707745,0.26098024982996
1,0,68,0.10536051565782628,0.4931506849315068,True,0.14462839962863772,0.14462839962863772,0.2596014441165862
1,0,69,0.08338160893905101,0.4931506849315068,False,0.12667875472825174,0.12667875472825174,0.2582648105248408
1,0,70,0.06187540371808741,0.4931506849315068,False,0.11040890690002392,0.11040890690002392,0.2569697343007762
1,0,71,0.040821994520255166,0.4931506849315068,True,0.09574159570150131,0.09574159570150131,0.2557156414256209
1,0,72,0.020202707317519466,0.4931506849315068,False,0.08259397857874218,0.08259397857874218,0.25450199010467606
1,0,73,-0.0,0.4931506849315068,False,0.07087794911137235,0.07087794911137235,0.2533282627781063
1,0,74,-0.01980262729617973,0.4931506849315068,True,0.06050087676939553,0.06050087676939553,0.25219395865360655
1,0,75,-0.03922071315328133,0.4931506849315068,False,0.051366677368855584,0.051366677368855584,0.2510985867721106
1,0,76,-0.058268908123975824,0.4931506849315068,False,0.04337711392847843,0.04337711392847843,0.2500416596259462
1,0,77,-0.0769610411361284,0.4931506849315068,True,0.0364332257087181,0.0364332257087181,0.24902268735419775
1,0,78,-0.09531017980432493,0.4931506849315068,False,0.030436788304702145,0.030436788304702145,0.24804117254239377
1,0,79,-0.11332868530700327,0.4931506849315068,False,0.025291718606195057,0.025291718606195057,0.2470966056530766
1,0,80,-0.1310282624064042,0.4931506849315068,True,0.020905353669071952,0.020905353669071952,0.24618846111048787
1,0,81,-0.14842000511827322,0.4931506849315068,False,0.017189550318451513,0.017189550318451513,0.24531619405680072
1,0,82,-0.16551443847757333,0.4931506849315068,False,0.014061570900220172,0.014061570900220172,0.24447923778936012
1,0,83,-0.1823215567939546,0.4931506849315068,True,0.011444738483872896,0.011444738483872896,0.2436770018788003
1,0,84,0.2231435513142097,1.0,False,0.2910878052300234,0.2910878052300234,0.2906759153285508
1,0,85,0.19845093872383818,1.0,False,0.26602590559638206,0.26602590559638206,0.2894334976253145
1,0,86,0.17435338714477766,1.0,True,0.24280433797344014,0.24280433797344014,0.28822841744048383
1,0,87,0.15082288973458366,1.0,False,0.2213135042934976,0.2213135042934976,0.28705946238105784
1,0,88,0.12783337150988489,1.0,False,0.20144996882046917,0.20144996882046917,0.2859254952483944
1,0,89,0.10536051565782628,1.0,True,0.18311567408498974,0.18311567408498974,0.28482544643616925
1,0,90,0.08338160893905101,1.0,False,0.16621732843012782,0.16621732843012782,0.28375830714682043
1,0,91,0.06187540371808741,1.0,False,0.15066593611428725,0.15066593611428725,0.28272312332939253
1,0,92,0.040821994520255166,1.0,True,0.13637644428083406,0.13637644428083406,0.2817189902559056
1,0,93,0.020202707317519466,1.0,False,0.12326748414342031,0.12326748414342031,0.2807450476652169
1,0,94,-0.0,1.0,False,0.11126118652614636,0.11126118652614636,0.2798004754132158
