bucket,model,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
all,two_seed_mean,1.80417940686797e-05,1.0786021705162834e-05,3.678552817567432e-05,0.00025002226876388867,1.80417940686797e-05,0.1642803941683886,3785,4096
all,seed_17,2.2138871410444604e-05,1.3377688462279974e-05,4.48553074018942e-05,0.00024064357535170944,2.2138871410444604e-05,0.16326448752799466,3784,4096
all,seed_43,1.9910871214759908e-05,1.2394492712945959e-05,4.122970781430136e-05,0.000259400962176054,1.9910871214759908e-05,0.18824392950478713,3785,4096
maturity 7-14d,two_seed_mean,1.2473952419972406e-05,4.5087269545213165e-06,2.7372238682357415e-05,0.00011200548849302217,1.2473952419972406e-05,0.3809114248023246,426,611
maturity 7-14d,seed_17,1.5235536289469232e-05,5.701834862094763e-06,3.939465984697881e-05,9.278810985684227e-05,1.5235536289469232e-05,0.3587267490106616,425,611
maturity 7-14d,seed_43,1.4216555900469673e-05,5.190336260809471e-06,2.9441728006227735e-05,0.0001451252009780704,1.4216555900469673e-05,0.4351506596512955,427,611
maturity 14-30d,two_seed_mean,1.8342108226638485e-05,8.189423977377375e-06,3.841568019036539e-05,0.00025002226876388867,1.8342108226638485e-05,0.22234009312038203,568,672
maturity 14-30d,seed_17,2.0754396139635416e-05,9.801401238699987e-06,4.309430594151434e-05,0.00024064357535170944,2.0754396139635416e-05,0.228131130495259,568,672
maturity 14-30d,seed_43,2.0476545720255062e-05,9.437524955245724e-06,4.107117655956943e-05,0.000259400962176054,2.0476545720255062e-05,0.246651672867996,568,672
maturity 30-90d,two_seed_mean,1.5987756402691016e-05,1.0122880999805717e-05,3.4169487767179895e-05,0.00011877531590454016,1.5987756402691016e-05,0.11072272486613198,946,968
maturity 30-90d,seed_17,2.0205267777212283e-05,1.2310304695555603e-05,4.2567064501964826e-05,0.0001361522007629519,2.0205267777212283e-05,0.1288532014261097,946,968
maturity 30-90d,seed_43,1.7959131677075844e-05,1.2142359759615204e-05,3.9690284105115946e-05,0.00010185668810225312,1.7959131677075844e-05,0.13702300662724462,945,968
maturity 90-365d,two_seed_mean,1.7737262176366717e-05,1.31941448541892e-05,3.618769961917376e-05,8.632210299042153e-05,1.7737262176366717e-05,0.022645013429707365,1234,1234
maturity 90-365d,seed_17,2.1528199960175697e-05,1.6299516798010915e-05,4.221102038980428e-05,0.0001131486846472074,2.1528199960175697e-05,0.026322520542697424,1234,1234
maturity 90-365d,seed_43,1.966182342281085e-05,1.4610645566438413e-05,4.034677943626738e-05,8.737332458058633e-05,1.966182342281085e-05,0.02754553986786411,1234,1234
maturity 365-731d,two_seed_mean,2.4822166671205216e-05,1.61062131987814e-05,4.277447810820123e-05,0.00016458317616545315,2.4822166671205216e-05,0.00706289620534592,611,611
maturity 365-731d,seed_17,3.157568212400785e-05,2.0776874851569866e-05,5.544223363422411e-05,0.00022216573466765643,3.157568212400785e-05,0.00905367422931256,611,611
maturity 365-731d,seed_43,2.6507568098617216e-05,1.8774450164737186e-05,5.402617312073865e-05,0.00016304509618786378,2.6507568098617216e-05,0.0075632754202686996,611,611
K/F 0-0.9,two_seed_mean,1.6455606174428267e-05,9.38945736918748e-06,3.323074252604692e-05,0.0001419355964279445,1.6455606174428267e-05,0.1435889960541645,1381,1449
K/F 0-0.9,seed_17,2.0105438177305554e-05,1.1008271293827244e-05,3.977838517925657e-05,0.00022216573466765643,2.0105438177305554e-05,0.14609052910380646,1381,1449
K/F 0-0.9,seed_43,1.7360500413601124e-05,1.0459687645182606e-05,3.70632584590358e-05,0.00010185668810225312,1.7360500413601124e-05,0.1647522716843716,1381,1449
K/F 0.9-0.98,two_seed_mean,2.115722653305757e-05,1.2793218690414818e-05,3.8699403146307295e-05,0.00025002226876388867,2.115722653305757e-05,0.04513066985497919,484,484
K/F 0.9-0.98,seed_17,2.5945041583623473e-05,1.7739197034379105e-05,4.783442671030465e-05,0.00024064357535170944,2.5945041583623473e-05,0.06581238031086302,484,484
K/F 0.9-0.98,seed_43,2.459428057001379e-05,1.532807018162177e-05,4.2215963334543675e-05,0.000259400962176054,2.459428057001379e-05,0.047162970524399314,484,484
K/F 0.98-1.02,two_seed_mean,1.736861624628468e-05,1.2515117485695466e-05,3.6301202184199975e-05,6.336853761417655e-05,1.736861624628468e-05,0.019820326979445912,228,228
K/F 0.98-1.02,seed_17,2.200023773824084e-05,1.5838029078222218e-05,4.594284411477428e-05,8.94900530946964e-05,2.200023773824084e-05,0.02603543273496608,228,228
K/F 0.98-1.02,seed_43,2.0698374486134452e-05,1.6045229594835382e-05,4.326923066328745e-05,6.471142554400656e-05,2.0698374486134452e-05,0.021291607197307084,228,228
K/F 1.02-1.1,two_seed_mean,2.1611230628694246e-05,1.5976848043380837e-05,4.5327681690554775e-05,7.623390279495185e-05,2.1611230628694246e-05,0.08443618797409218,427,429
K/F 1.02-1.1,seed_17,2.6273897150406974e-05,1.8810060779999243e-05,5.23021182222083e-05,0.0001361522007629519,2.6273897150406974e-05,0.0769022347950174,427,429
K/F 1.02-1.1,seed_43,2.4582328903302864e-05,1.8518382345335102e-05,4.8891806552821286e-05,8.946845727558078e-05,2.4582328903302864e-05,0.10226455685368287,427,429
K/F 1.1-9,two_seed_mean,1.7383813256003155e-05,9.744215626085384e-06,3.506247093350637e-05,0.00016458317616545315,1.7383813256003155e-05,0.23449032648712184,1265,1506
K/F 1.1-9,seed_17,2.1397718558439633e-05,1.2335769434030057e-05,4.407771568772068e-05,0.00016612125614304252,2.1397718558439633e-05,0.22956613922946478,1264,1506
K/F 1.1-9,seed_43,1.889085026762863e-05,1.1016115811873103e-05,3.894043820969412e-05,0.00016304509618786378,1.889085026762863e-05,0.26820141289592436,1265,1506
ATM |K/F-1|<=.02,two_seed_mean,1.736861624628468e-05,1.2515117485695466e-05,3.6301202184199975e-05,6.336853761417655e-05,1.736861624628468e-05,0.019820326979445912,228,228
ATM |K/F-1|<=.02,seed_17,2.200023773824084e-05,1.5838029078222218e-05,4.594284411477428e-05,8.94900530946964e-05,2.200023773824084e-05,0.02603543273496608,228,228
ATM |K/F-1|<=.02,seed_43,2.0698374486134452e-05,1.6045229594835382e-05,4.326923066328745e-05,6.471142554400656e-05,2.0698374486134452e-05,0.021291607197307084,228,228
wing K/F<.9 or >1.1,two_seed_mean,1.693502016300969e-05,9.570258023971995e-06,3.434804994152104e-05,0.00016458317616545315,1.693502016300969e-05,0.19247965086199456,2646,2955
wing K/F<.9 or >1.1,seed_17,2.0774089183176477e-05,1.1684823645483905e-05,4.138483941729036e-05,0.00022216573466765643,2.0774089183176477e-05,0.19059898349087545,2645,2955
wing K/F<.9 or >1.1,seed_43,1.8156559668240775e-05,1.0743268294602533e-05,3.802628124243392e-05,0.00016304509618786378,1.8156559668240775e-05,0.2203540148330466,2646,2955
fast-heavy v_fast>v_slow,two_seed_mean,1.7068050988765137e-05,1.0066346332256219e-05,3.484857870338085e-05,0.00025002226876388867,1.7068050988765137e-05,0.18750914897582452,2413,2640
fast-heavy v_fast>v_slow,seed_17,2.0492977639842206e-05,1.2426919651335512e-05,4.308084536484471e-05,0.00024064357535170944,2.0492977639842206e-05,0.18762799247060621,2412,2640
fast-heavy v_fast>v_slow,seed_43,1.9501323864032613e-05,1.1845508728566281e-05,4.039643428795249e-05,0.000259400962176054,1.9501323864032613e-05,0.21074991769606563,2414,2640
slow-heavy v_slow>=v_fast,two_seed_mean,1.9684905566535722e-05,1.2090927601092406e-05,3.797269173619962e-05,0.00016458317616545315,1.9684905566535722e-05,0.1123219394257293,1372,1456
slow-heavy v_slow>=v_fast,seed_17,2.4846657794957026e-05,1.5101609932673774e-05,4.705763438292085e-05,0.00022216573466765643,2.4846657794957026e-05,0.1078241758785412,1372,1456
slow-heavy v_slow>=v_fast,seed_43,2.0632734456172304e-05,1.3389903234073952e-05,4.1758861498271405e-05,0.00016304509618786378,2.0632734456172304e-05,0.14008784312211328,1371,1456
