case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,quote,holdout,strike,tau,true_price_spot,observed_price_spot,true_iv,observed_iv
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,0,False,0.8,0.0821917808219178,0.20155204706104046,0.20155204706104046,0.4309927470332084,0.4309927470332084
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,1,False,0.8200000000000001,0.0821917808219178,0.18255683648283394,0.18255683648283394,0.4308871303424687,0.4308871303424687
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,2,True,0.8400000000000001,0.0821917808219178,0.164039590527647,0.164039590527647,0.4308033925138712,0.4308033925138712
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,3,False,0.86,0.0821917808219178,0.14614064763303652,0.14614064763303652,0.430740173874122,0.430740173874122
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,4,False,0.88,0.0821917808219178,0.12900836509732433,0.12900836509732433,0.4306962266329321,0.4306962266329321
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,5,True,0.9,0.0821917808219178,0.11278966850868141,0.11278966850868141,0.4306704033765524,0.4306704033765524
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,6,False,0.92,0.0821917808219178,0.09761980786595836,0.09761980786595836,0.43066164691781134,0.43066164691781134
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,7,False,0.9400000000000001,0.0821917808219178,0.08361265225342916,0.08361265225342916,0.43066898132529163,0.43066898132529163
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,8,True,0.96,0.0821917808219178,0.07085276204030691,0.07085276204030691,0.43069150397934985,0.43069150397934985
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,9,False,0.98,0.0821917808219178,0.05939015897494255,0.05939015897494255,0.4307283785242873,0.4307283785242873
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,10,False,1.0,0.0821917808219178,0.04923825819964134,0.04923825819964134,0.43077882860414,0.43077882860414
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,11,True,1.02,0.0821917808219178,0.04037494019178719,0.04037494019178719,0.43084213228503715,0.43084213228503715
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,12,False,1.04,0.0821917808219178,0.03274632244956341,0.03274632244956341,0.43091761708030885,0.43091761708030885
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,13,False,1.06,0.0821917808219178,0.026272505842761334,0.026272505842761334,0.431004655505715,0.431004655505715
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,14,True,1.08,0.0821917808219178,0.020854444048078097,0.020854444048078097,0.43110266110182427,0.43110266110182427
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,15,False,1.1,0.0821917808219178,0.016381104955702074,0.016381104955702074,0.4312110848688195,0.4312110848688195
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,16,False,1.12,0.0821917808219178,0.012736223994620955,0.012736223994620955,0.431329412066042,0.431329412066042
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,17,True,1.1400000000000001,0.0821917808219178,0.00980414378654585,0.00980414378654585,0.4314571593346712,0.4314571593346712
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,18,False,1.16,0.0821917808219178,0.00747444679700746,0.00747444679700746,0.43159387210720435,0.43159387210720435
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,19,False,1.18,0.0821917808219178,0.00564528195037831,0.00564528195037831,0.43173912227186123,0.43173912227186123
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,20,True,1.2,0.0821917808219178,0.004225440193880781,0.004225440193880781,0.43189250606399376,0.43189250606399376
