instrument,expiry,strike,cp,ts,tau,price_usdc,mark_usdc,trade_iv,index,f_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
XRP_USDC-17APR26-1d15-P,2026-04-17,1.15,P,1775896629406,0.016367662163876206,0.0035,0.00269341,0.8099,1.348,1.3480101395792374,1.0000075219430544,1.3480063062668075,0.8531117359419707,0.15886474834348518,True,0.14948469108046147,0.14888633334559764,0.8098889487452642,5.974196689814815,0.014532879955249154,False,False,2026-04-11
XRP_USDC-17APR26-1d325-P,2026-04-17,1.325,P,1775923088098,0.01552866254439371,0.025,0.02549728,0.5232,1.3466,1.3466024703860273,1.0000018345358883,1.346606299717272,0.9839549987833798,0.016175115919386324,True,0.03461018987291031,0.034979473753510515,0.5232231739771367,5.667961828703704,0.047793604419464175,True,False,2026-04-11
XRP_USDC-17APR26-1d375-C,2026-04-17,1.375,C,1775877750709,0.016966301718670723,0.0265,0.02626711,0.4861,1.3576,1.3575952434354779,0.9999964963431629,1.3576063511779062,1.0128119972383767,-0.012730617952126882,True,0.019519649401321438,0.019348104829658277,0.4860308834266579,6.192700127314814,0.051223543172918815,False,False,2026-04-11
XRP_USDC-24APR26-1d2-P,2026-04-24,1.2,P,1775866668682,0.03649579268138001,0.0115,0.0110579,0.6123,1.3553,1.3552139537570842,0.9999365112942405,1.3553007461683657,0.8854123362601077,0.12170182580159346,True,0.12307286529571837,0.12274666463416783,0.6125089217548514,13.320964328703703,0.04168330235521701,False,True,2026-04-11
XRP_USDC-24APR26-1d3-P,2026-04-24,1.3,P,1775896518677,0.0355492555492136,0.033,0.0336276,0.5383,1.3479,1.3479007420942524,1.0000005505558665,1.3479007420942526,0.9644627081220918,0.03618411185031086,True,0.06001980677639218,0.060485419696097775,0.5382999999999998,12.975478275462963,0.06923229341305703,True,True,2026-04-11
XRP_USDC-24APR26-1d35-P,2026-04-24,1.35,P,1775936472723,0.03428232106164383,0.042,0.04251749,0.5218,1.3724,1.372407572180455,1.0000055174733713,1.3724007555828712,0.9836776863523677,0.016456990107534417,True,0.04692561944526141,0.047302688605195264,0.5217715259509678,12.5130471875,0.07212132577819799,False,True,2026-04-11
XRP_USDC-24APR26-1d6-C,2026-04-24,1.6,C,1775943503130,0.034059388318112636,0.006,0.00542703,0.615,1.3633,1.3633170748615115,1.0000125246545233,1.3633007505728127,1.1736221808194078,-0.16009484748007374,True,0.00440108317807278,0.003980801739982719,0.6150357441411193,12.431676736111113,0.0294513662083086,True,True,2026-04-11
XRP_USDC-24APR26-2-C,2026-04-24,2.0,C,1775914085076,0.03499222869101979,0.001,0.00100105,0.9209999999999999,1.3433,1.3432725052742476,0.9999795319543271,1.3433007395616954,1.488869871874394,-0.39801735691740003,True,0.000744434935937197,0.000745216592619931,0.9209563339079143,12.772163472222223,0.006289929125886855,False,True,2026-04-11
XRP_USDC-24APR26-2d1-C,2026-04-24,2.1,C,1775927256292,0.03457457217148656,0.001,0.00143759,1.0059,1.3536,1.3537108535562714,1.0000818953577655,1.3536007452324208,1.5514175855742591,-0.4391690843038407,True,0.0007387702788448853,0.0010620487651646186,1.0060682483729957,12.619718842592594,0.005847841581654593,True,True,2026-04-11
XRP_USDC-24APR26-2d2-C,2026-04-24,2.2,C,1775941617155,0.034119192193049215,0.001,0.00122914,1.0903,1.362,1.3619862297747616,0.999989889702468,1.3620007498570903,1.6152707700277242,-0.4795026020812345,True,0.0007342139863762383,0.0009024517792144896,1.0902780017883786,12.453505150462963,0.005474144994195855,False,True,2026-04-11
XRP_USDC-24APR26-2d4-C,2026-04-24,2.4,C,1775908602322,0.03516608567985794,0.001,0.00019483,1.26,1.3466,1.3465882696104747,0.9999912888834656,1.3466007413785297,1.782265467597392,-0.5778852896691415,True,0.0007426106114989133,0.00014468282543833328,1.259981477125708,12.83562127314815,0.00498309375604045,True,True,2026-04-11
