instrument,expiry,strike,cp,ts,tau,price_usdc,mark_usdc,trade_iv,index,f_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
XRP_USDC-29AUG25-2d6-P,2025-08-29,2.6,P,1756157827403,0.009404255358954845,0.0195,0.0189466,0.9309999999999999,2.8522,2.852191440149386,0.9999969988603136,2.8522014240895985,0.9115765731131351,0.09257968058810863,True,0.09526025118521342,0.09506622561768996,0.9310228180000562,3.4325532060185187,0.021812632548648958,False,False,2025-08-25
XRP_USDC-29AUG25-2d7-P,2025-08-29,2.7,P,1756117302974,0.010689276572805682,0.022,0.02214353,0.8377,2.9334,2.9334031844424024,1.0000010855806922,2.9334014646323636,0.9204331669406816,0.08291088611524972,True,0.08706665886402032,0.08711558840937261,0.8376962830490067,3.901585949074074,0.02500183207316153,True,False,2025-08-25
XRP_USDC-29AUG25-2d8-P,2025-08-29,2.8,P,1756158382323,0.009386658961187216,0.063,0.06266247,0.8112999999999999,2.8572,2.8571824125018654,0.9999938444987628,2.8572014265860743,0.979979911092785,0.020223206412537685,True,0.042069636906802654,0.0419515038284487,0.8113689809993372,3.426130520833334,0.036988529418621255,False,False,2025-08-25
XRP_USDC-29AUG25-2d9-P,2025-08-29,2.9,P,1756139320959,0.009991090848554034,0.0605,0.06247774,0.7479,2.9603,2.960314392234494,1.0000048617486383,2.9603014780634034,0.9796299537360458,0.02058037685420638,True,0.040807153919482086,0.04147524127972413,0.7478566612416728,3.646748159722222,0.03797387349955715,True,False,2025-08-25
XRP_USDC-29AUG25-2d9-C,2025-08-29,2.9,C,1756159025717,0.009366257071283612,0.068,0.06656433,0.7848999999999999,2.8584,2.8583902649263417,0.9999965942227615,2.8584014271852287,1.014553089856149,-0.014448209970349781,True,0.02378952072766143,0.023287257474380815,0.7848550300220382,3.4186838310185186,0.03816459238297186,False,False,2025-08-25
XRP_USDC-29AUG25-2d95-C,2025-08-29,2.95,C,1756159025783,0.00936625497843734,0.049,0.04831077,0.7784,2.8584,2.8584109722257547,1.0000038385900345,2.8584014271852287,1.0320453845088413,-0.031542643329649976,True,0.01714244875963838,0.01690132447476888,0.7784326986508717,3.4186830671296295,0.03590607181406788,True,False,2025-08-25
XRP_USDC-29AUG25-3-C,2025-08-29,3.0,C,1756150236223,0.009644970097666159,0.058,0.05934468,0.7448,2.9352,2.9351848048545803,0.9999948231311598,2.935201465531095,1.0220763498621313,-0.02183619531415902,True,0.019760142764001204,0.02021826463937874,0.7447405272681226,3.5204140856481483,0.03785790563718508,False,False,2025-08-25
XRP_USDC-29AUG25-3d05-C,2025-08-29,3.05,C,1756135528007,0.010111364567478439,0.06,0.05968645,0.7976000000000001,2.966,2.9660247676070353,1.0000083505081034,2.966001480909386,1.028320457569313,-0.02792684760856423,True,0.02022925490300288,0.020123540188422273,0.7976777849714314,3.6906480671296302,0.03825665913670891,True,False,2025-08-25
XRP_USDC-29AUG25-3d1-C,2025-08-29,3.1,C,1756129854638,0.010291265918315577,0.043,0.04267359,0.8291,2.9479,2.9479139401027328,1.0000047288248355,2.947901471872144,1.0515955263699033,-0.050308559746913145,True,0.014586647623840593,0.01447592139940111,0.8291352629677796,3.7563120601851856,0.03467393215913916,False,False,2025-08-25
XRP_USDC-29AUG25-3d15-C,2025-08-29,3.15,C,1756089083481,0.011584110825722983,0.0635,0.06484808,0.7988,3.0495,3.049499331531054,0.9999997807939184,3.0495015226005298,1.0329557065817654,-0.032424310788152146,True,0.020823075354902257,0.02126514104662567,0.7987934685035093,4.228200451388889,0.040606432272191885,True,False,2025-08-25
