noise_level,median_price_rmse_normalized,median_clean_price_rmse,median_parameter_rmse,max_parameter_rmse,boundary_hit_fraction,optimizer_success_fraction,median_runtime
0.0,1.0370375551689646e-06,1.0370375551689646e-06,0.0972629482384545,0.3804538500111235,0.3541666666666667,0.4166666666666667,2.349251749488758
0.005,0.0007216309551337,0.00020206754625265,0.30897692729413434,0.4156793378015724,1.0,0.5208333333333334,2.222626353992382
0.01,0.0014256285664857,0.00024729384451014995,0.3055319078209927,0.411326349890805,0.9791666666666666,0.5416666666666666,1.9819563955097692
0.02,0.0026167907526576002,0.0005212072724535,0.2872288310356758,0.4021583582315128,0.8125,0.6041666666666666,1.287626666991855
