case_id,arm,start_index,start_strategy,optimizer_success,nfev,price_rmse_normalized,parameter_rmse_full_range,constraint_valid,bound_hit,runtime_seconds
case_1,baseline,0,midpoint,False,120,2.7658485735856883e-08,0.011178511115749567,True,False,2.729855375015177
case_1,baseline,1,broad_1,False,120,3.099251820747888e-08,0.012678943741497122,True,False,2.874018167000031
case_1,baseline,2,broad_2,True,109,6.469214978352484e-07,0.15991776841816444,True,True,2.638272458978463
case_1,baseline,3,broad_3,False,120,9.765633581558972e-07,0.0486240752994332,True,False,2.7364484170102514
case_1,baseline,4,broad_4,False,120,1.29145673428111e-06,0.1557974801166349,True,True,2.91454216701095
case_1,baseline,5,broad_5,False,120,1.0666250637675539e-05,0.22110093388467336,True,True,2.887166000000434
case_1,baseline,6,broad_6,False,120,7.356092391393648e-06,0.3078714789879469,True,True,2.388452667015372
case_1,baseline,7,broad_7,False,120,1.0861954068606568e-06,0.17298329524479186,True,True,2.8667478340212256
case_1,baseline,8,broad_8,False,120,8.328604530658587e-07,0.13790925059337067,True,False,2.9931977500091307
case_1,baseline,9,broad_9,False,120,1.264069208671868e-06,0.10273669570556414,True,False,2.717628959013382
case_1,baseline,10,broad_10,False,120,2.2400603519194405e-06,0.08040303190825883,True,False,2.82798366699717
case_1,baseline,11,broad_11,False,120,1.3606321539854631e-06,0.10257374184565521,True,False,2.927030124992598
case_1,sobol,0,sobol_0,False,120,2.2894551707970297e-06,0.14683723796034573,True,True,2.5131985830084886
case_1,sobol,1,sobol_1,False,120,3.920294037204597e-06,0.2615304160170894,True,True,2.729121375014074
case_1,sobol,2,sobol_2,False,120,6.676573397389149e-07,0.1589580925916803,True,True,2.892484208015958
case_1,sobol,3,sobol_3,False,120,1.1798490457202387e-06,0.16752181824212414,True,True,2.9138857089856174
case_1,sobol,4,sobol_4,False,120,2.4360025026063308e-06,0.18233003134375475,True,True,2.549510917015141
case_1,sobol,5,sobol_5,False,120,1.9142712452959068e-07,0.035239166826236776,True,False,2.804342124989489
case_1,sobol,6,sobol_6,False,120,1.3776383339941359e-06,0.15658156138614024,True,True,3.013386958016781
case_1,sobol,7,sobol_7,False,120,6.756160977671166e-07,0.15788394208941742,True,True,2.7112967499997467
case_1,sobol,8,sobol_8,False,120,1.5909879930275996e-08,0.006393479247281674,True,False,2.6926105419988744
case_1,sobol,9,sobol_9,False,120,7.403606338429709e-07,0.15477498500093959,True,False,2.8942838340008166
case_1,sobol,10,sobol_10,True,85,4.514770563260111e-06,0.1360033326539002,True,True,1.8435275410010945
case_1,sobol,11,sobol_11,False,120,1.101992682115697e-06,0.20852166894650484,True,True,2.9834178749879356
case_1,relweight,0,midpoint,True,33,0.002727996872203749,0.3989944957828863,True,True,0.46457920799730346
case_1,relweight,1,broad_1,True,35,0.0008688937608187139,0.32110160188728337,True,True,0.48925445799250156
case_1,relweight,2,broad_2,True,39,0.002569533938601748,0.4065027584788533,True,True,0.6162948340061121
case_1,relweight,3,broad_3,True,36,4.7036311951966817e-05,0.17649074326981004,True,True,0.5565073339967057
case_1,relweight,4,broad_4,True,35,0.006441455791413549,0.34518057363868593,True,True,0.5953859580040444
case_1,relweight,5,broad_5,True,38,0.0031156582902734996,0.39440992110568984,True,True,0.6366087919741403
case_1,relweight,6,broad_6,True,37,0.0006644755618085093,0.2972301330548258,True,True,0.592544374987483
case_1,relweight,7,broad_7,True,31,0.0001681327356294869,0.13122980356340677,True,False,0.43385908400523476
case_1,relweight,8,broad_8,True,34,0.000435962138950284,0.14474225942656388,True,False,0.5756937919941265
case_1,relweight,9,broad_9,True,34,0.01280664830878268,0.4032977543965934,True,True,0.39168775000143796
case_1,relweight,10,broad_10,True,35,0.0025483065008209626,0.46655738495454674,True,True,0.4040926670131739
case_1,relweight,11,broad_11,True,36,0.000739748335754004,0.41967580463411736,True,True,0.47309045898145996
case_1,polish,0,polish_0,True,1,1.4008038684172664e-09,0.0005666091860839272,True,False,0.027198499999940395
case_1,polish,1,polish_1,True,164,1.0555402892096396e-09,0.00042661018851642774,True,False,3.7455425829975866
case_1,polish,2,polish_2,True,76,6.469213480007722e-07,0.15991784028409117,True,True,1.6255190829979256
case_1,polish,3,polish_3,True,56,6.469231412365892e-07,0.15991773267843673,True,True,1.3132145410054363
case_1,polish,4,polish_4,True,535,6.469228041006874e-07,0.15991778745450622,True,True,10.879531375016086
case_1,polish,5,polish_5,True,514,6.469217423798206e-07,0.15991784799612313,True,True,10.472064916975796
case_1,polish,6,polish_6,True,217,9.308236796414272e-10,0.00037608305199543474,True,False,5.466026792011689
case_1,polish,7,polish_7,True,240,1.0435275176379094e-06,0.23467686663309587,True,True,6.155567167006666
case_1,polish,8,polish_8,True,513,6.469218968441723e-07,0.15991792481455624,True,True,10.999622833012836
case_1,polish,9,polish_9,True,349,8.045113219851141e-07,0.12135512256436172,True,True,6.774707375006983
case_1,polish,10,polish_10,True,1,5.610061391584664e-06,0.31464230767559714,True,True,0.02600037498632446
case_1,polish,11,polish_11,True,499,6.469213689148131e-07,0.15991801230334318,True,True,10.691473416984081
case_1,prior_ranges,0,midpoint,True,32,8.423137920392001e-08,0.03611437561624569,True,False,0.6016945409937762
case_1,prior_ranges,1,broad_1,False,120,1.2957036935159848e-07,0.05938589305330613,True,False,2.4989604169968516
case_1,prior_ranges,2,broad_2,True,102,1.1965718160925148e-06,0.10348353490640402,True,False,2.2290154160000384
case_1,prior_ranges,3,broad_3,False,120,1.1620004135445574e-07,0.052201999964460136,True,False,2.0093440420168918
case_1,prior_ranges,4,broad_4,True,69,1.1965645428681317e-06,0.10348358062818745,True,False,1.332556499983184
case_1,prior_ranges,5,broad_5,True,118,6.914566321586642e-07,0.0740851385315123,True,False,2.3545758329855744
case_1,prior_ranges,6,broad_6,False,120,7.266872887917872e-07,0.07380698007701357,True,False,2.470228332997067
case_1,prior_ranges,7,broad_7,False,120,1.2820529656769398e-06,0.10479806789665187,True,False,2.542522125004325
case_1,prior_ranges,8,broad_8,True,84,1.196563702148003e-06,0.10348353975406448,True,False,1.8318115420115646
case_1,prior_ranges,9,broad_9,True,114,1.196563217976737e-06,0.10348351331002666,True,False,2.3670270839938894
case_1,prior_ranges,10,broad_10,True,87,1.3649678345636755e-06,0.09584844199159681,True,False,1.7915498329966795
case_1,prior_ranges,11,broad_11,False,120,6.128824962495979e-06,0.1008472935884647,True,False,2.6463320839975495
