geometry,condition_number,smallest_singular_value,practical_rank,quotes
full108_calls,25544.605130350592,1.4198532575151513e-05,10.0,54.0
full108_calls_puts,25544.60546155188,2.0079757294773798e-05,10.0,108.0
full108_puts,25544.605792753224,1.4198532520278052e-05,10.0,54.0
wings4x6,27374.64647097305,8.745682512559085e-06,10.0,48.0
central5x6,64166.165060129075,6.045198503317335e-06,10.0,60.0
long3_full_moneyness,127493.64506492788,1.2474921122215212e-05,10.0,54.0
short3_full_moneyness,1703591.3515740875,3.2243741897938065e-07,9.5,54.0
central5_13_41,433577226.63798815,6.810505442989561e-09,7.5,20.0
central5_6_34,541443686.3513429,3.82637598064014e-09,7.5,20.0
central5_const_carry_27_55,653296732.0133253,1.0348486142163107e-08,7.5,20.0
central5_27_55,654094936.4859275,1.0347556113148883e-08,7.5,20.0
single_7d,136472266914.22089,3.649939578297647e-13,5.0,18.0
single_30d,245265833200.1665,5.627502081999411e-13,5.5,18.0
single_180d,490844927406.4679,7.120718940619603e-13,5.0,18.0
single_90d,495234487041.21814,5.031333703016323e-13,5.5,18.0
