case_id,arm,start,price_rmse,parameter_rmse,success
case_1,fresh800,midpoint,6.139708673089898e-10,0.0002477615701186153,True
case_1,fresh800,broad_1,7.023539924863597e-08,0.029471210934577774,False
case_1,fresh800,broad_2,0.00027343119984187637,0.28965069737686927,True
case_1,fresh800,broad_3,6.465230413470411e-07,0.15983383310038762,True
case_1,fresh800,broad_4,6.136951704079345e-06,0.30781732549777563,True
case_1,fresh800,broad_5,1.03641115357769e-06,0.23946947708665478,False
case_1,fresh800,broad_6,1.1089415766286513e-06,0.2068897191488218,False
case_1,fresh800,broad_7,1.0371205262570039e-06,0.23892697210604352,False
case_1,fresh800,broad_8,6.469222859731845e-07,0.15991786409871012,True
case_1,fresh800,broad_9,6.462848534207042e-07,0.159782183988114,True
case_1,fresh800,broad_10,6.46921305337247e-07,0.15991789561457856,True
case_1,fresh800,broad_11,1.0464368057003733e-06,0.2314927290988714,False
case_1,fresh800,broad_12,6.46922611969359e-07,0.15991779151957394,True
case_2,fresh800,midpoint,1.1168443799591247e-11,6.523972376333631e-10,True
case_2,fresh800,broad_1,5.999729530406089e-16,3.4147274915089386e-12,True
case_2,fresh800,broad_2,1.648661405976809e-05,0.35636449713051394,True
case_2,fresh800,broad_3,2.250870594096505e-06,0.060933671440200676,True
case_2,fresh800,broad_4,2.250871565263858e-06,0.060925875444268994,True
case_2,fresh800,broad_5,5.228986012680507e-06,0.19939724177020765,True
case_2,fresh800,broad_6,2.250875712905133e-06,0.060923462786063,True
case_2,fresh800,broad_7,7.362722406710456e-16,7.654843598472978e-12,True
case_2,fresh800,broad_8,2.25087707573899e-06,0.06094754192139286,True
case_2,fresh800,broad_9,2.250881456744933e-06,0.06092404047060353,True
case_2,fresh800,broad_10,2.2508732118421738e-06,0.06091107084769129,True
case_2,fresh800,broad_11,8.28731078108367e-10,9.330976462909967e-05,True
case_2,fresh800,broad_12,1.5040145510139006e-15,1.4057817463748397e-11,True
case_3,fresh800,midpoint,4.856182765884604e-13,8.09034676202095e-10,True
case_3,fresh800,broad_1,7.34763293569134e-06,0.32330917631742334,True
case_3,fresh800,broad_2,9.539586816547865e-16,1.498379621421737e-11,True
case_3,fresh800,broad_3,7.347633642474494e-06,0.32330912223011116,True
case_3,fresh800,broad_4,7.734310208412565e-05,0.37419080847175745,True
case_3,fresh800,broad_5,7.347633876107471e-06,0.3233090357291582,True
case_3,fresh800,broad_6,7.347633596466415e-06,0.3233092032627052,True
case_3,fresh800,broad_7,6.746631200532797e-16,6.993969198839905e-12,True
case_3,fresh800,broad_8,1.7011497389754225e-06,0.2606153376823136,True
case_3,fresh800,broad_9,2.1333751889045085e-11,1.9544715049257946e-09,True
case_3,fresh800,broad_10,7.347633610520439e-06,0.3233098975773479,True
case_3,fresh800,broad_11,1.130903832550332e-09,0.00032730022377109116,True
case_3,fresh800,broad_12,7.347633667040887e-06,0.32330957712182584,True
case_4,fresh800,midpoint,7.548564617696327e-12,8.77432220786992e-10,True
case_4,fresh800,broad_1,7.721094931088079e-14,1.066582249663356e-11,True
case_4,fresh800,broad_2,6.831578463170075e-12,7.9774013162653e-10,True
case_4,fresh800,broad_3,1.299664473006658e-14,2.062306892737216e-12,True
case_4,fresh800,broad_4,3.096207129468686e-14,5.01513441437428e-12,True
case_4,fresh800,broad_5,3.105217967902947e-14,4.252515437003564e-12,True
case_4,fresh800,broad_6,1.368193932062836e-13,1.7095414837311352e-11,True
case_4,fresh800,broad_7,3.208949514413593e-14,4.591297064253108e-12,True
case_4,fresh800,broad_8,1.164328213616948e-10,1.4093425077791207e-08,True
case_4,fresh800,broad_9,1.579665293932185e-14,3.2625012713109318e-12,True
case_4,fresh800,broad_10,3.092053579277865e-14,4.553449927434201e-12,True
case_4,fresh800,broad_11,6.267380278861722e-07,0.02170760655411517,True
case_4,fresh800,broad_12,3.210542764960172e-14,5.569407156469307e-12,True
