arm,median_parameter_rmse,best_parameter_rmse,median_price_rmse,boundary_hit_fraction,optimizer_success_fraction,failures
baseline,0.10265521877560968,2.418332166962267e-12,1.3260444441332865e-06,0.4583333333333333,0.4791666666666667,0
polish,0.0004190977674677658,2.0127868140977867e-12,1.356486173879618e-09,0.3958333333333333,1.0,0
prior_ranges,0.23793914396059018,0.03611437561624569,0.0008983848636690155,0.5416666666666666,0.6666666666666666,0
relweight,0.2973910857070964,2.2380580301028404e-08,0.0001542328294283323,0.6666666666666666,0.9166666666666666,0
sobol,0.1336694397578615,2.6300163306186926e-12,1.0623663551143228e-06,0.4375,0.4166666666666667,0
