date_id,expiry_rank,expiry_date,dte,option_type,target_log_moneyness,usable,failure_reason,strike,observed_price,log_moneyness_actual
2026-07-08,3,2026-09-29,83,call,0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-08,3,2026-09-29,83,put,-0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-08,3,2026-09-29,83,put,-0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-08,3,2026-09-29,83,put,0.0,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-08,3,2026-09-29,83,put,0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-08,3,2026-09-29,83,put,0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,1,2026-07-28,13,call,-0.1,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-15,1,2026-07-28,13,call,-0.05,True,,330.0,16.5,-0.04256592753018137
2026-07-15,1,2026-07-28,13,call,0.0,True,,345.0,5.7,0.0018858350406525156
2026-07-15,1,2026-07-28,13,call,0.05,True,,362.5,1.0,0.05136589230402208
2026-07-15,1,2026-07-28,13,call,0.1,True,,380.0,0.3,0.09851267072972414
2026-07-15,1,2026-07-28,13,put,-0.1,True,,315.0,0.95,-0.08908594316507427
2026-07-15,1,2026-07-28,13,put,-0.05,True,,327.5,0.55,-0.05017052691540071
2026-07-15,1,2026-07-28,13,put,0.0,True,,345.0,5.15,0.0018858350406525156
2026-07-15,1,2026-07-28,13,put,0.05,True,,360.0,15.35,0.04444544945944838
2026-07-15,1,2026-07-28,13,put,0.1,True,,380.0,35.1,0.09851267072972414
2026-07-15,2,2026-08-25,41,call,-0.1,True,,320.0,30.0,-0.07333758619693505
2026-07-15,2,2026-08-25,41,call,-0.05,True,,330.0,20.0,-0.04256592753018137
2026-07-15,2,2026-08-25,41,call,0.0,True,,345.0,11.15,0.0018858350406525156
2026-07-15,2,2026-08-25,41,call,0.05,True,,360.0,5.4,0.04444544945944838
2026-07-15,2,2026-08-25,41,call,0.1,True,,380.0,1.95,0.09851267072972414
2026-07-15,2,2026-08-25,41,put,-0.1,True,,315.0,1.95,-0.08908594316507427
2026-07-15,2,2026-08-25,41,put,-0.05,True,,330.0,4.3,-0.04256592753018137
2026-07-15,2,2026-08-25,41,put,0.0,True,,345.0,9.3,0.0018858350406525156
2026-07-15,2,2026-08-25,41,put,0.05,True,,350.0,12.6,0.016274572492751955
2026-07-15,2,2026-08-25,41,put,0.1,True,,370.0,27.0,0.07184442364756272
2026-07-15,3,2026-09-29,76,call,-0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,call,-0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,call,0.0,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,call,0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,call,0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,put,-0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,put,-0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,put,0.0,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,put,0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-15,3,2026-09-29,76,put,0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,1,2026-07-28,6,call,-0.1,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-22,1,2026-07-28,6,call,-0.05,True,,335.0,15.3,-0.04523017464957835
2026-07-22,1,2026-07-28,6,call,0.0,True,,350.0,3.95,-0.001427551991185446
2026-07-22,1,2026-07-28,6,call,0.05,True,,367.5,0.3,0.047362612178246666
2026-07-22,1,2026-07-28,6,call,0.1,True,,385.0,0.05,0.09388262781313952
2026-07-22,1,2026-07-28,6,put,-0.1,True,,320.0,0.15,-0.09103971068087252
2026-07-22,1,2026-07-28,6,put,-0.05,True,,335.0,0.5,-0.04523017464957835
2026-07-22,1,2026-07-28,6,put,0.0,True,,350.0,4.1,-0.001427551991185446
2026-07-22,1,2026-07-28,6,put,0.05,True,,370.0,20.7,0.05414229916362525
2026-07-22,1,2026-07-28,6,put,0.1,True,,380.0,30.05,0.0808105462457867
2026-07-22,2,2026-08-25,34,call,-0.1,True,,330.0,23.4,-0.06026805201411881
2026-07-22,2,2026-08-25,34,call,-0.05,True,,340.0,15.75,-0.030415088864437757
2026-07-22,2,2026-08-25,34,call,0.0,True,,350.0,10.1,-0.001427551991185446
2026-07-22,2,2026-08-25,34,call,0.05,True,,370.0,3.2,0.05414229916362525
2026-07-22,2,2026-08-25,34,call,0.1,True,,385.0,1.35,0.09388262781313952
2026-07-22,2,2026-08-25,34,put,-0.1,True,,320.0,1.4,-0.09103971068087252
2026-07-22,2,2026-08-25,34,put,-0.05,True,,335.0,3.6,-0.04523017464957835
2026-07-22,2,2026-08-25,34,put,0.0,True,,350.0,9.0,-0.001427551991185446
2026-07-22,2,2026-08-25,34,put,0.05,True,,365.0,18.15,0.040536647107846775
2026-07-22,2,2026-08-25,34,put,0.1,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-22,3,2026-09-29,69,call,-0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,call,-0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,call,0.0,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,call,0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,call,0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,put,-0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,put,-0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,put,0.0,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,put,0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-22,3,2026-09-29,69,put,0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,1,2026-08-25,27,call,-0.1,True,,315.0,31.05,-0.08661447283677094
2026-07-29,1,2026-08-25,27,call,-0.05,True,,325.0,21.95,-0.0553619293326666
2026-07-29,1,2026-08-25,27,call,0.0,True,,345.0,7.9,0.004357305368955626
2026-07-29,1,2026-08-25,27,call,0.05,True,,360.0,2.65,0.04691691978775166
2026-07-29,1,2026-08-25,27,call,0.1,True,,375.0,0.9,0.08773891430800689
2026-07-29,1,2026-08-25,27,put,-0.1,True,,315.0,0.9,-0.08661447283677094
2026-07-29,1,2026-08-25,27,put,-0.05,True,,325.0,1.9,-0.0553619293326666
2026-07-29,1,2026-08-25,27,put,0.0,True,,345.0,7.45,0.004357305368955626
2026-07-29,1,2026-08-25,27,put,0.05,True,,360.0,17.0,0.04691691978775166
2026-07-29,1,2026-08-25,27,put,0.1,True,,375.0,29.65,0.08773891430800689
2026-07-29,2,2026-09-29,62,call,-0.1,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-29,2,2026-09-29,62,call,-0.05,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-29,2,2026-09-29,62,call,0.0,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-29,2,2026-09-29,62,call,0.05,True,,360.0,6.0,0.04691691978775166
2026-07-29,2,2026-09-29,62,call,0.1,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-29,2,2026-09-29,62,put,-0.1,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-29,2,2026-09-29,62,put,-0.05,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-29,2,2026-09-29,62,put,0.0,True,,340.0,9.6,-0.010241494052196907
2026-07-29,2,2026-09-29,62,put,0.05,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-29,2,2026-09-29,62,put,0.1,False,QUOTE_SELECTION_FAILURE_NO_TARGET_WITHIN_GATE,,,
2026-07-29,3,2026-10-27,90,call,-0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,call,-0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,call,0.0,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,call,0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,call,0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,put,-0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,put,-0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,put,0.0,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,put,0.05,False,SUPPORT_ACTIVITY_FAILURE,,,
2026-07-29,3,2026-10-27,90,put,0.1,False,SUPPORT_ACTIVITY_FAILURE,,,
