truth_id,representation,profile_date,largest_singular_value,smallest_singular_value,condition_number,numerical_rank,practical_rank,singular_value_01,singular_value_02,singular_value_03,singular_value_04,singular_value_05,singular_value_06,singular_value_07,singular_value_08,singular_value_09,singular_value_10,weakest_direction_1_singular_value,weakest_direction_1_loading_kappa_slow,weakest_direction_1_loading_theta_slow,weakest_direction_1_loading_sigma_slow,weakest_direction_1_loading_rho_slow,weakest_direction_1_loading_v0_slow,weakest_direction_1_loading_kappa_fast,weakest_direction_1_loading_theta_fast,weakest_direction_1_loading_sigma_fast,weakest_direction_1_loading_rho_fast,weakest_direction_1_loading_v0_fast,weakest_direction_2_singular_value,weakest_direction_2_loading_kappa_slow,weakest_direction_2_loading_theta_slow,weakest_direction_2_loading_sigma_slow,weakest_direction_2_loading_rho_slow,weakest_direction_2_loading_v0_slow,weakest_direction_2_loading_kappa_fast,weakest_direction_2_loading_theta_fast,weakest_direction_2_loading_sigma_fast,weakest_direction_2_loading_rho_fast,weakest_direction_2_loading_v0_fast,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast
case_1,R2,2026-07-01,0.243380776899977,1.868506775426576e-10,1302541580.8000681,10,7,0.243380776899977,0.009935025458675558,0.006898958513248399,0.0005450033281516887,0.0001537968553013487,2.3953994832125416e-05,4.469402426555839e-07,3.274974307153518e-08,1.9599187495265355e-09,1.868506775426576e-10,1.8685067754265765e-10,-0.6825486481391083,-0.49665187267408284,-0.028304878791517805,-0.024805851735982494,-0.2449737228952249,-0.08063632507334471,0.36695614795887094,-0.015625795144784974,-0.018041754755106387,0.290356568903148,1.9599187495265346e-09,0.044385040099527324,0.6164947042694684,-0.004391720426517961,-0.04464391787871033,-0.4091970135327557,-0.42641367948403264,0.15701371505200146,-0.05750437866318807,-0.01941860481518322,0.48820478979944665,0.0012799463305959691,0.007982132623684433,0.0026708294624683115,0.00470026210445294,0.19757510494045274,0.009519796020453919,0.028988064793586742,0.002328509270034011,0.004524366744341869,0.13890103427774378
case_1,R3,2026-07-01,0.35318746129795103,1.615908564316567e-07,2185689.642949125,10,9,0.35318746129795103,0.02445959450968578,0.01041477463279503,0.000779572843862929,0.000523106477109137,0.0003647243423204285,5.3102183524575095e-05,2.9144201372987334e-06,9.235437374910344e-07,1.615908564316567e-07,1.6159085643165677e-07,0.5199123533371613,0.3371280768842711,-0.025111855464954848,0.04687405516407319,0.3887057249437441,0.1314375833489979,-0.47587207679439747,0.06829286877296321,0.007970869768953944,-0.46223193226768344,9.23543737491034e-07,0.16559665366069398,-0.6663813719216718,0.15849605123949775,-0.012040248290819889,0.17010831690554384,0.6212679345360572,0.19799340829792345,-0.060953385901485344,0.06932053301310923,-0.2015314426388913,0.0027795718114211896,0.01816901331851443,0.005089990130206458,0.007408258663854004,0.2914367708905335,0.018154927051705443,0.061503692684989536,0.004211343830714666,0.0065797212536017865,0.18953043242004486
case_2,R2,2026-07-08,0.18505924579035268,2.3193574406627248e-08,7978901.507198241,10,9,0.18505924579035268,0.011419791278934008,0.011037940403127411,0.0006486481520906881,0.00033468887920444946,3.808905945639444e-05,3.9274856433779425e-06,7.330295777855849e-07,3.497052114320757e-07,2.3193574406627248e-08,2.3193574406627264e-08,-0.6688421815757689,-0.6694850600398863,0.010523427312602971,0.04059994527842364,0.040771917096584676,0.2059733595477924,0.2317079451917723,0.04431546387348388,0.003987032295876738,-0.05408409888647797,3.497052114320757e-07,0.17841009504582803,-0.0677789499204509,0.33141531440881883,0.6418489223938806,0.29401761501957097,0.3402111967838898,-0.2807007741686537,0.18267316050111201,0.05644042592308784,-0.352465254893141,0.0010758285552086204,0.010441526145690319,0.007144334051941389,0.004031616868206986,0.1522181500842833,0.0003758531210540967,0.03020788295550263,0.002439326521894534,0.008013772963733718,0.1008416311766985
case_2,R3,2026-07-08,0.2696972569089716,1.3710598767086583e-06,196707.13255529146,10,10,0.2696972569089716,0.02724874837746509,0.016482447128956065,0.0010155701820419986,0.0008597398524144708,0.0005138383817527404,6.793051228054674e-05,1.474597331824482e-05,4.189024300430908e-06,1.3710598767086583e-06,1.3710598767086583e-06,0.34589987535874434,0.4002700956411948,-0.12630582406137225,0.053615810179434974,0.31963145613375915,-0.3242035649049901,-0.49915941237808914,0.3163279394876288,-0.004113965315671351,-0.3805215923507331,4.189024300430909e-06,0.123498542212131,-0.11498143653917058,-0.4011894177471835,-0.6887268460884303,-0.12148359534676467,-0.5243384721422863,0.1546026458042903,-0.031028050909607023,-0.03126978717915075,0.14386850578767352,0.002580991618691765,0.02511701786016778,0.012017027402452331,0.00649050753293433,0.22498367084871398,0.0004995110443636809,0.06563706266245085,0.004610419156180599,0.011395788608605456,0.13360953482173285
case_3,R2,2026-07-15,0.1366633746453232,1.4372549016935248e-11,9508638619.65557,10,7,0.1366633746453232,0.009318900551529218,0.005809138183381944,0.0002472250654819122,0.00019544449928470271,1.6020158113469978e-05,2.2295101608118904e-06,1.3446811055021597e-07,6.382356680625504e-09,1.4372549016935248e-11,1.437254901693525e-11,0.8877143476411258,0.4468321430240393,0.045080744848031415,-0.0008273135001687277,0.062435980923655876,0.006960413852028249,-0.02432933141782198,0.010668463006359243,-0.0074709977334564935,-0.07458597453123778,6.3823566806255044e-09,0.4164616417843793,-0.7727224560635848,-0.006032317246189298,0.06089164778603096,-0.09125893060654389,0.07863566051196738,0.44509525512463116,-0.041951326845171506,-0.018933992299436708,0.10476435297053593,0.004382051726078241,0.006538383410071511,0.0013415680279149076,0.003008575912948478,0.11274914543575663,0.006472490397857005,0.02239043253816807,0.0024485658637545767,0.004838756017094891,0.0737547147155607
case_3,R3,2026-07-15,0.20894192179108556,3.3563798466050065e-08,6225216.791312559,10,9,0.20894192179108556,0.022771141240131756,0.008789408222495484,0.0009615185637464164,0.0005195550805127625,0.00029488113825132514,3.5308472742291366e-05,1.2990786013017095e-05,1.223627369054152e-06,3.3563798466050065e-08,3.356379846605006e-08,0.8250293615612945,0.48873560553110107,0.07829925056552307,-0.011149597011685056,0.14736829373184035,0.04889792139338757,-0.1335668243619059,0.035899386052545786,-0.014219113386474977,-0.17541239382285992,1.2236273690541522e-06,-0.44360519196089687,0.43805646217983296,-0.13714960873181742,-0.03335254672795191,0.25769585199793593,-0.26449236823398237,-0.5853182274138453,0.12952292450737402,-0.037251882572305474,-0.3070405168659682,0.011331386278155003,0.017620739069046164,0.002939423037851708,0.0051332455933210674,0.17528422921718198,0.012564186887257184,0.05320984553321378,0.00438497123141229,0.007371447058909735,0.0999631593655542
case_4,R2,2026-07-22,0.1261127328531435,7.34471324130131e-09,17170545.4944078,10,8,0.1261127328531435,0.015364741571169762,0.008089832818990936,0.0008360202602371521,0.0003683272473780882,3.433030767501744e-05,1.1593569215562645e-05,7.344551199504686e-07,5.727204909958865e-08,7.34471324130131e-09,7.344713241301309e-09,0.8719014372466899,-0.1486552100398935,0.10438134649052958,0.12517556354697995,0.16796059123136814,0.02971634321876879,-0.348479552990078,0.007836663651959022,0.026817297949954806,-0.19953126113692238,5.7272049099588665e-08,-0.07800416317171122,0.8807248974326807,0.1154402966112924,0.17283350802801214,0.060360321622687674,0.03066199787685303,-0.40491385992760043,0.02500393278613807,-0.03315894725028517,-0.06912054001467688,0.006466640119592428,0.008913114546355932,0.0009328410466781811,0.004633129959012056,0.10128609608199712,0.016632393310613124,0.02034537577243988,0.006926084009182424,0.012836680967727897,0.07000704067154048
case_4,R3,2026-07-22,0.20778799023798664,8.584818561064303e-07,242041.21352126295,10,10,0.20778799023798664,0.024494503140880194,0.024114603754807177,0.0022447901767715843,0.0015451144601384267,0.0008640167724337779,8.711347531231932e-05,4.846908426225136e-05,9.343884488044358e-06,8.584818561064303e-07,8.584818561064299e-07,0.9246817531233367,-0.18626600875287053,0.14819805223249455,0.07918112438575184,0.053461721840067616,-0.012429518915614723,-0.27381951698632284,-0.004762310139267274,0.0003400312676509222,-0.06343299248185622,9.343884488044357e-06,0.026820131621028562,-0.5891142784729921,0.41348003659236493,-0.12097636475613421,-0.2287571989781709,0.11521757876293771,0.567942417612815,-0.05023159400521886,-0.0416298663589636,0.2724045353430306,0.018733220110018954,0.02731927163810445,0.002653301450375495,0.010053129100501426,0.16647192237974398,0.03676865662528028,0.0559072942843835,0.011303564180714027,0.019860873375888044,0.10221281566849034
interior_seed20260822_0000,R2,2026-07-29,0.28499496705898225,6.749279474839076e-09,42225983.991539694,10,9,0.28499496705898225,0.01494158342933514,0.013552985066677728,0.0013986600668381846,0.0003595178845187297,7.400128682509616e-05,2.1829027198997934e-05,8.100723978227901e-07,7.093160532652536e-07,6.749279474839076e-09,6.749279474839075e-09,-0.10300839174702851,-0.5458934622252066,-0.2150368070358113,-0.7242288157330142,-0.05240937819806335,-0.07232867599759857,0.31676165918633886,-0.017772705731473888,0.0923431531281976,0.05900963639471357,7.093160532652533e-07,0.6887063769725694,-0.4030653712754883,-0.17446525500886612,0.13792031076745104,0.18002311198682863,-0.06194365467292353,-0.3230026702386017,-0.0959810099958589,0.34231094391048505,-0.21632497933139977,0.015369677753944086,0.01580325895532882,0.0048169071741721095,0.004410069291783064,0.22534632432193052,0.023783632563244474,0.03415443996261243,0.003129350504968079,0.006844869728015526,0.16891636339649116
interior_seed20260822_0000,R3,2026-07-29,0.40514407729713664,9.657025754897308e-07,419532.97793751705,10,10,0.40514407729713664,0.027149937253606055,0.02099460065355099,0.0020065073919738933,0.0009359076754208338,0.0005702444533279003,0.00011046602819825578,1.805015547028109e-05,7.965449808384239e-06,9.657025754897308e-07,9.657025754897312e-07,-0.6561921982535798,0.03234169342724155,-0.33751152239932114,-0.5016544808346715,0.08122169695488649,0.1262821380378666,0.29568542668187203,-0.053118512970846805,0.28401734123324557,-0.09660811242571224,7.965449808384239e-06,-0.08283298427941253,-0.22975826689103157,0.3169729496702789,-0.3325892486651999,-0.3151338761057431,-0.03568890506810575,0.412699721664615,0.14197493575476172,-0.5455793010437043,0.3748927875725152,0.029907880592404068,0.031329918071700234,0.00829660468204976,0.007243776401751585,0.32158798762279844,0.04265188198830386,0.06548689448372609,0.0054335861133693415,0.009776034145132105,0.23168051186981853
interior_seed20260822_0001,R2,2026-07-01,0.28649351319711186,8.796692010867499e-10,325683237.3387356,10,8,0.28649351319711186,0.012879865503974986,0.006550975267449199,0.0009514071083681576,5.990595505982632e-05,2.3120781311299565e-05,3.780507999213187e-06,3.0848671240018126e-07,2.3067248469695648e-08,8.796692010867499e-10,8.7966920108675e-10,0.4313572199822018,0.5248208856557206,-0.04594158993381861,-0.0032063794345460195,0.15393756619366208,0.2517844297205918,-0.6439536720409171,-0.03228442055732468,-0.0009583866093080525,-0.1831976222774142,2.306724846969563e-08,0.792671333403552,-0.5098289804423346,-0.018590248603135358,-0.0009965064454709426,0.10965593592475842,-0.27438753459286425,0.07477455215938447,-0.038219972692683464,-0.0009808159252764957,-0.13051464341794022,0.00994010648293491,0.018087902376296143,0.001389394928581031,0.004846828960785264,0.22846254124648321,0.017032329998833983,0.03539074483199413,0.0017597876138260814,0.004303354028890567,0.16756340586458676
interior_seed20260822_0001,R3,2026-07-01,0.4060053941141838,7.023457142215918e-08,5780705.79620691,10,9,0.4060053941141838,0.03190690915301681,0.00983155259265626,0.0012623390574942191,0.0008193510674108455,0.0001653180650880385,5.1590697222496655e-05,4.2476295915419275e-06,1.0206905284281796e-06,7.023457142215918e-08,7.023457142215917e-08,-0.5830029547303598,-0.4114657085871699,0.046944649138729894,0.004147883865314639,-0.17243270631915075,-0.19082336481621898,0.6153729475777597,0.04054482063263075,0.00014774668062808008,0.2052027210373323,1.0206905284281792e-06,0.740171438984339,-0.5426225359952205,0.16078851454271506,0.005463176822810387,-0.03940001798972881,-0.2579173593680969,0.2260137594867555,-0.10208327827332615,0.0008171039288770202,0.047398556010900206,0.021048338563438997,0.039649417586947594,0.002841765568639039,0.007424334782428432,0.3259819308796174,0.03229463083629734,0.07362447185111871,0.0031499745322321167,0.006363391910455047,0.22605516922328497
interior_seed20260822_0002,R2,2026-07-08,0.2094139270991904,2.5134175587170454e-09,83318399.03517032,10,7,0.2094139270991904,0.012727073221030866,0.009632276437206258,0.0006077013620107426,0.00036412990988881835,3.179330260510136e-05,3.923522605198925e-06,1.8797006963418632e-07,1.2037991914087141e-08,2.5134175587170454e-09,2.5134175587170463e-09,0.8387465864290176,-0.2933725671528902,0.040700929504514885,0.19056509252324172,0.20749899301461164,0.08113047819216763,-0.2415281837945389,0.014968618557636412,0.057685932226954874,-0.2468592796829742,1.2037991914087141e-08,-0.35177404465378176,0.3057068952007462,0.025316020510937294,0.49672942718709145,0.3638364334933083,0.3252432098841302,-0.3267885564748779,0.07626552139631636,0.019483903619437512,-0.4292672619669622,0.00452560743132384,0.008816433228888244,0.005383667700869504,0.004026713907026545,0.17224370587517,0.014970559032792648,0.033944566955130095,0.003724880046114706,0.006240749022811633,0.11344152170107684
interior_seed20260822_0002,R3,2026-07-08,0.3148860001526446,1.8158464051015374e-06,173410.04132727682,10,10,0.3148860001526446,0.030631446159686115,0.015116589130596624,0.0012950442722885276,0.000997994581988272,0.0007110717057207635,7.99774555432196e-05,1.009152811435523e-05,2.917258883972751e-06,1.8158464051015374e-06,1.8158464051015376e-06,-0.3832865013427185,-0.39683524545551735,0.0035366520909870204,-0.4361305250634542,-0.2896614840578459,0.09713880842217501,0.536946537461299,-0.06800425190455522,0.01259305413039514,0.3449006120945559,2.9172588839727517e-06,-0.6265931048484324,-0.24131244423480522,-0.04949389071660187,0.269769298852724,0.32923444159191695,0.44483905420034037,-0.04846435802396333,0.09279602397401011,0.06842600698382174,-0.3898783774769552,0.011095164837836772,0.02200040939210671,0.009975723912904189,0.0070367509116246365,0.26291335200530863,0.028651337511709223,0.07610331213628999,0.006181612937956118,0.009030811247551791,0.1539844527194214
interior_seed20260822_0003,R2,2026-07-15,0.2062088400058079,2.4135892743700212e-09,85436591.13650608,10,8,0.2062088400058079,0.01090151415091727,0.005951048494049001,0.0012440708771852672,0.00011384940519237236,2.0159746785878136e-05,1.4410030841988313e-05,5.465352198324636e-07,2.0169181453042086e-07,2.4135892743700212e-09,2.4135892743700225e-09,-0.9799707991484569,-0.09792090951829475,-0.08858844419149164,-0.1130850210432931,-0.018979920112764267,0.01361066251685319,0.09131519488795307,-0.0014506752904547716,-0.0062992373803200784,0.022513478127175968,2.016918145304209e-07,-0.17422579742740832,0.17011598127301505,0.3678112076541482,0.8343418878843019,0.1574288555413267,0.00622801996838741,-0.21732653608558017,0.04273031433723309,0.01841744164636919,-0.18728565368192912,0.00015968599504788996,0.009019375375493,0.0010319585700761386,0.0010311456327912697,0.16183956841875427,0.007618185913034564,0.014938648352775327,0.004324703196061667,0.009810301122093135,0.1265156559455416
