truth_id,representation,noise_level,near_equivalent_count,cluster_count,median_pairwise_distance,maximum_pairwise_distance,maximum_distance_from_best,materially_displaced_count,boundary_hit_rate,optimizer_success_rate,best_parameter_rmse_scaled,best_repricing_rmse,best_repricing_rmse_relative,pca1_fraction,basin_classification
case_1,R2,0.0,6,6,0.5348786792621892,0.95883673965393,0.6962910844837357,5,0.0,0.3333333333333333,0.14105126009877636,2.8651528833615547e-09,1.215445003610775e-07,0.5767127400181512,multiple_basin
case_1,R2,0.005,9,3,0.0486023010543702,1.4825284371550738,1.4825284371550738,2,1.0,0.25,0.46735724136068024,0.0003099408309492954,0.008715063909572971,0.9822651709115019,multiple_basin
case_1,R2,0.01,12,4,1.7293706221390197,1.8109284836073851,1.8101716741052183,8,1.0,0.16666666666666666,0.4509878438110099,0.0004683239836890867,0.011370373260375691,0.8167008476474246,multiple_basin
case_1,R2,0.02,12,10,1.2329446082536517,1.8895100376278797,1.8891549397519847,9,1.0,0.25,0.45319210526721015,0.0008242681270091147,0.016164632699918118,0.5770428080050435,multiple_basin
case_1,R3,0.0,6,6,0.40461465201312585,0.732629135098379,0.5527789585368014,5,0.0,0.25,0.05428177933932206,2.4240360052442724e-08,1.2973590774896068e-06,0.7238140821465493,multiple_basin
case_1,R3,0.005,9,3,0.00013821464768134427,1.1634170570195652,1.163367416807058,2,1.0,0.6666666666666666,0.3840863710474976,0.00029222376949574955,0.006071912198814838,0.7348300545093256,multiple_basin
case_1,R3,0.01,12,6,1.284226377417295,1.5096364486127851,1.5063933961391396,7,1.0,0.08333333333333333,0.3329862378030705,0.0005571350287551011,0.00814640744990022,0.5937522060509204,multiple_basin
case_1,R3,0.02,7,5,1.2233770714302752,1.6883609484608106,1.5047045132104038,5,1.0,0.16666666666666666,0.40432045643624465,0.0010127229083360888,0.020599376178201838,0.47117574204118284,multiple_basin
case_2,R2,0.0,5,5,0.5391563270598424,0.8191225600451104,0.5831191756942964,4,0.2,0.4166666666666667,0.026156239212887376,6.2374757746876605e-09,2.804697596038519e-07,0.6920816432128459,multiple_basin
case_2,R2,0.005,11,8,1.6572128864228612,2.004498802537008,1.9100232909011043,8,1.0,0.6666666666666666,0.38421278545515486,0.0003738172474470469,0.010490212220286576,0.5911960215918698,multiple_basin
case_2,R2,0.01,11,3,0.2841087623882973,0.3456722686745986,0.3456722686745986,7,1.0,0.8333333333333334,0.3705284734927194,0.0006457237037243914,0.013991473912621552,0.9465598745061486,multiple_basin
case_2,R2,0.02,12,5,1.9066221032607218,2.098629672099953,2.098629672099953,7,1.0,0.5,0.45902901338329993,0.001051532897894692,0.02877327290188411,0.8098054351616731,multiple_basin
case_2,R3,0.0,2,2,0.15545194032785306,0.15545194032785306,0.15545194032785306,1,0.0,0.16666666666666666,0.016566416644572514,1.2565358072800474e-08,3.9048717004839883e-07,1.0,multiple_basin
case_2,R3,0.005,12,5,1.4057626577841071,1.5975711366903798,1.4218174462537316,11,1.0,0.5833333333333334,0.34497333514129214,0.0003687446933074078,0.007772137342729161,0.9722852566193325,multiple_basin
case_2,R3,0.01,12,8,1.1438221076219943,2.2431993973206517,1.5379058016167262,10,0.9166666666666666,0.5833333333333334,0.35932496135045866,0.0006188432363491474,0.011505860518623009,0.7498655723127359,multiple_basin
case_2,R3,0.02,12,6,1.7880613638927123,2.2114462074429344,2.2107083566468035,9,1.0,0.5,0.3748786739515346,0.001265474361350339,0.023226957462453724,0.8880920060241159,multiple_basin
case_3,R2,0.0,6,6,0.6756827163522532,1.1368809870364511,0.851788699103555,5,0.16666666666666666,0.9166666666666666,0.09446529279684286,7.460186866006606e-09,4.0156329380567327e-07,0.7157637679115321,multiple_basin
case_3,R2,0.005,9,5,0.480629034200734,0.9440347833585863,0.9440347833585863,8,1.0,0.5833333333333334,0.3065045135130771,0.00019232706952463188,0.00477356651197865,0.9623733719225283,multiple_basin
case_3,R2,0.01,12,6,0.2847077171478688,1.8024894702395702,1.5312186820761982,11,1.0,0.75,0.35768976920506157,0.000591148030780882,0.008008687080640554,0.6469627679404635,multiple_basin
case_3,R2,0.02,12,5,1.3538460240814123,1.890080216816833,1.890080216816833,7,1.0,0.8333333333333334,0.5132873140288114,0.0013607922230169716,0.021429093328957184,0.6288142380982779,multiple_basin
case_3,R3,0.0,6,6,0.46309827760036926,0.9893192110282487,0.5432471671883967,5,0.0,0.5833333333333334,0.0264785766138284,6.760836056693776e-10,2.2164209113083285e-08,0.7765665133281101,multiple_basin
case_3,R3,0.005,11,6,1.2153226825579293,1.9135513534755586,1.9135513534755586,9,1.0,0.4166666666666667,0.37715434788139635,0.00027394180485081256,0.0035853967190633,0.5246947018004491,multiple_basin
case_3,R3,0.01,12,8,1.43511271624475,1.912982340946028,1.912982340946028,11,1.0,0.16666666666666666,0.40180961737529663,0.000623038255979922,0.008079647557322166,0.514326107066299,multiple_basin
case_3,R3,0.02,12,6,1.4655371489135338,1.9693428204639083,1.9582306510062957,9,1.0,0.5,0.41617009844891956,0.001631446716867756,0.017865419237419678,0.7644709206337065,multiple_basin
case_4,R2,0.0,4,4,0.5738656908155491,0.8266172524936146,0.7167191322766167,3,0.0,0.5833333333333334,0.07187873126570535,1.256839241410952e-08,4.776954813945503e-06,0.7906138119084125,multiple_basin
case_4,R2,0.005,10,4,0.7105641985376556,1.4812125103064318,1.2239496560799894,3,1.0,0.9166666666666666,0.3115163161278069,0.00034862362513569175,0.019458699042715296,0.829216130280269,multiple_basin
case_4,R2,0.01,7,7,1.7724039381776153,2.1038316514701365,2.1038316514701365,6,1.0,0.4166666666666667,0.4241763598500903,0.0004645716517453075,0.02670765387962802,0.9337988000175838,multiple_basin
case_4,R2,0.02,10,2,0.005619448431291645,0.6269910414997533,0.6269910414997533,9,1.0,0.25,0.2641369104570872,0.0009404290484157459,0.025087651319210542,0.9998340335794367,multiple_basin
case_4,R3,0.0,3,2,0.08575856531256068,0.17060369242800363,0.17060369242800363,2,0.0,0.25,0.02177922263633238,3.1065990325792944e-08,5.980340137483276e-06,0.9986536598241014,multiple_basin
case_4,R3,0.005,11,6,1.0422673996097074,2.0459779763138077,1.6378564552837678,10,1.0,0.5833333333333334,0.21918978299666486,0.0003806963511081111,0.00682676535942234,0.8503392750099753,multiple_basin
case_4,R3,0.01,8,6,1.7455528248394403,1.9861934885496062,1.8041659883806171,7,1.0,0.3333333333333333,0.4075986487241815,0.0006200784932215006,0.017049473844083684,0.9304609317288347,multiple_basin
case_4,R3,0.02,10,2,3.1529156933293793e-06,1.688028829721601,1.688028829721601,1,1.0,0.9166666666666666,0.22836505623571615,0.0010591056861171432,0.032093263158651915,0.9999999999857394,multiple_basin
interior_seed20260822_0000,R2,0.0,4,4,0.7621570009337555,1.2450007977289044,1.2450007977289044,3,0.25,0.16666666666666666,0.2526782860337608,3.482482871938494e-08,2.782347689495192e-06,0.8194647582056156,multiple_basin
interior_seed20260822_0000,R2,0.005,11,6,0.9627333711841066,1.5507479319789932,1.5039698891342146,9,1.0,0.08333333333333333,0.335804210161506,0.00017450269501170389,0.011713601590695906,0.8062010526925839,multiple_basin
interior_seed20260822_0000,R2,0.01,4,1,0.051940333891071576,0.051983131812243406,0.051982906246996426,2,1.0,0.3333333333333333,0.3911120070201639,0.00047730766027747793,0.02185254954654817,0.9999999762131531,single_or_unresolved
interior_seed20260822_0000,R2,0.02,12,5,0.8075026670415159,1.7465216096508558,1.7465202366045958,4,1.0,0.5833333333333334,0.3980165487923334,0.0007144020158599813,0.02333015550413475,0.9360696154197486,multiple_basin
interior_seed20260822_0000,R3,0.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.066581295116156,2.809304382888653e-07,2.4254491924855195e-05,,single_or_unresolved
interior_seed20260822_0000,R3,0.005,11,3,1.1628824233721644,1.1738275065112318,1.1661505892809896,7,1.0,0.0,0.40467775241139764,0.00023145337915990801,0.007969800623456178,0.9983527624524168,multiple_basin
interior_seed20260822_0000,R3,0.01,11,3,1.684036880774593,1.69891606665538,1.6936154367773493,5,1.0,0.8333333333333334,0.3431226301406459,0.0005746209195275442,0.01666814840386355,0.9708360020039735,multiple_basin
interior_seed20260822_0000,R3,0.02,9,2,0.06739161995282597,0.456635383879568,0.456635383879568,5,1.0,0.25,0.3768165024371054,0.0009592195153390929,0.028716187133969548,0.9964280801398504,multiple_basin
interior_seed20260822_0001,R2,0.0,9,9,0.7380409433125608,1.258358959841563,1.258358959841563,8,0.4444444444444444,0.6666666666666666,0.15988702525253984,5.722617968343918e-09,3.785615138516225e-07,0.580578122757422,multiple_basin
interior_seed20260822_0001,R2,0.005,12,8,1.4558457782262817,1.912584787874071,1.9110453646255958,10,1.0,0.25,0.38026737060226734,0.00028332396061054384,0.008099489413302657,0.6817636677634258,multiple_basin
interior_seed20260822_0001,R2,0.01,12,5,1.3787868004780672,1.947873058840306,1.947873058840306,5,1.0,0.08333333333333333,0.383787244295718,0.00039833622135303107,0.019326859975973852,0.7638838585964692,multiple_basin
interior_seed20260822_0001,R2,0.02,12,10,1.2842692972131198,1.9980825535684859,1.5806504407557456,9,1.0,0.25,0.32732186050611145,0.0006198216610242224,0.017455318591850493,0.4475554945752977,multiple_basin
interior_seed20260822_0001,R3,0.0,7,7,0.5096724643867596,0.9539782073649405,0.941549365733658,6,0.42857142857142855,0.3333333333333333,0.22950033909948211,2.3722455418951573e-08,1.7854011947445483e-06,0.7328306075469783,multiple_basin
interior_seed20260822_0001,R3,0.005,9,5,1.2090843678001706,1.8000754546084874,1.8000754546084874,7,1.0,0.08333333333333333,0.3324370503574928,0.00029292802973884477,0.0064142865263400696,0.8663733036607938,multiple_basin
interior_seed20260822_0001,R3,0.01,10,3,0.06225795043223721,0.23318968146575145,0.23318968146575145,3,1.0,0.16666666666666666,0.32805278323009285,0.0004036764426675193,0.010981561171960169,0.9968047873974614,multiple_basin
interior_seed20260822_0001,R3,0.02,9,1,9.925609543606534e-05,0.00692757773136631,0.00692757773136631,0,1.0,0.75,0.3857082692063405,0.0006810888506532568,0.022983854784317283,0.999951164450754,ridge_like
interior_seed20260822_0002,R2,0.0,5,4,0.6555195339992492,0.7569383614706818,0.7569383614706818,4,0.0,0.16666666666666666,0.15452815102828593,2.117171276656193e-08,7.830271362391208e-07,0.8329545258008343,multiple_basin
interior_seed20260822_0002,R2,0.005,9,6,0.499351369627391,0.8830815281851421,0.6494416714512928,8,0.8888888888888888,0.16666666666666666,0.35844653940963384,0.00016093753258598082,0.007080244810547226,0.6209178780670145,multiple_basin
interior_seed20260822_0002,R2,0.01,12,8,1.0619591854011392,1.6855481269080872,1.33052398038134,11,1.0,0.0,0.24905060103851445,0.0004525986020982514,0.01673452226630447,0.7971535753569042,multiple_basin
interior_seed20260822_0002,R2,0.02,12,8,1.1012363779384473,1.9587233322937052,1.619443399438278,10,0.8333333333333334,0.6666666666666666,0.42634547388028293,0.000758538607828461,0.023728050147223925,0.5053822726552468,multiple_basin
interior_seed20260822_0002,R3,0.0,6,5,0.4624383830872389,0.7211222624995864,0.634570764523414,4,0.0,0.25,0.016073836052647745,2.3301962898702814e-08,1.3177152060953852e-06,0.9348944479655015,multiple_basin
interior_seed20260822_0002,R3,0.005,12,5,1.2417660841283096,1.6781847259748184,1.6781847259748184,6,1.0,0.75,0.35348981002743596,0.00021868051536124873,0.006042141448531767,0.8462187950068263,multiple_basin
interior_seed20260822_0002,R3,0.01,12,2,0.27086482828574604,0.3233325790659681,0.32000383056989873,6,1.0,0.3333333333333333,0.26094048171807965,0.0005070189686133668,0.015847063238163834,0.9837669914567744,multiple_basin
interior_seed20260822_0002,R3,0.02,11,6,1.048350651290081,1.5998951763773548,1.2844920870141332,8,1.0,0.4166666666666667,0.35837040435832623,0.0012081778409913566,0.023270661222747645,0.47032923058387915,multiple_basin
interior_seed20260822_0003,R2,0.0,6,5,0.8082898454997939,0.9901416176246572,0.9901416176246572,5,0.0,0.4166666666666667,0.27981548669094064,1.2672497998128142e-08,4.7539067546142734e-06,0.6560328037234088,multiple_basin
interior_seed20260822_0003,R2,0.005,10,5,0.2995297597961527,1.4670260018902475,1.4520912166728897,6,1.0,0.75,0.45314516135623284,0.00014985991358238028,0.008963586943188497,0.9740372627092712,multiple_basin
interior_seed20260822_0003,R2,0.01,12,9,1.2691456816494189,1.853890498849865,1.853890498849865,10,1.0,0.25,0.3630687698268502,0.0005068805546375692,0.025199207789206757,0.4761196460363954,multiple_basin
interior_seed20260822_0003,R2,0.02,12,4,1.658736618477667,1.7530585768004816,1.7530585768004816,6,1.0,0.08333333333333333,0.48166247499860165,0.0008523441041172503,0.04774533773633001,0.854488440587678,multiple_basin
interior_seed20260822_0003,R3,0.0,6,4,0.7884359131565787,1.020123648436441,0.9245612917899011,5,0.0,0.08333333333333333,0.035435006055193806,3.8288809794876836e-08,9.929227147735176e-06,0.969298214529414,multiple_basin
interior_seed20260822_0003,R3,0.005,9,6,0.5908701703733945,1.557112854709578,1.557112854709578,7,1.0,0.16666666666666666,0.38831099700983646,0.00023435249216792247,0.008317917204113609,0.7207072372442691,multiple_basin
interior_seed20260822_0003,R3,0.01,11,7,1.253733723946943,1.5458418476096671,1.4242327771744954,10,0.8181818181818182,0.0,0.33597504244128273,0.0005561849274222777,0.018744592046189116,0.5250377502772046,multiple_basin
interior_seed20260822_0003,R3,0.02,12,5,0.7919061169662651,1.7319602427063923,1.7319602427063923,10,1.0,0.6666666666666666,0.367918243946347,0.0009119715164620012,0.0349735215042276,0.9022028756751664,multiple_basin
interior_seed20260822_0005,R2,0.0,5,5,0.8461824407776146,0.9874943201900689,0.9874943201900689,4,0.2,0.25,0.0377897144769905,2.5299752006655633e-09,1.2770184336380412e-05,0.44469274286622584,multiple_basin
interior_seed20260822_0005,R2,0.005,12,8,1.5515125239424528,2.0424358305126127,1.8947071416003969,11,1.0,0.0,0.4262739166680492,0.00027041719510603035,0.07392595019603287,0.7679546930391685,multiple_basin
interior_seed20260822_0005,R2,0.01,12,4,0.3868341270853302,0.47894918118607466,0.4455710763902278,9,1.0,0.3333333333333333,0.45413036242569327,0.0003769514169031423,0.10103433119199333,0.922813525567084,multiple_basin
interior_seed20260822_0005,R2,0.02,12,9,1.3336797349290817,1.9387115212436727,1.6892429938844205,10,1.0,0.16666666666666666,0.38140324941156134,0.0009212180265122799,0.15810881787449985,0.5394321150704297,multiple_basin
