window,date,expiry,strike,option,reason,tau
covid_march_2020,2020-03-02,2020-03-05 00:00:00,9700.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,9750.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,9800.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,9850.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,9900.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,9950.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10050.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10100.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10350.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10450.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10550.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10650.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10750.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,12550.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,12950.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13100.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13150.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13200.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13250.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13300.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13350.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13400.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13450.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13550.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13600.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13650.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13700.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13750.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,13800.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,9750.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,9850.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10350.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,10450.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,12350.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
covid_march_2020,2020-03-02,2020-03-05 00:00:00,12450.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
