seed,step,component,raw_loss,scaled_loss,raw_grad_l2,scaled_grad_l2,scaled_grad_max,scaled_grad_mean,scope,terminal_grad_l2,boundary_penalty_active
17,0,teacher,1.0846977861938928e-10,0.27117444654847317,3.820524743882004e-09,9.551311859705008,4.201967633177094,0.036034470814890744,new continuation diagnostic; historical gradients unavailable,0.0,False
17,0,iv,3.2255862884490447e-06,0.8063965721122611,8.033099788703479e-07,0.20082749471758699,0.05612419073921289,0.0008914535566581869,new continuation diagnostic; historical gradients unavailable,0.0,False
17,0,pde,0.00018461861349066585,0.18461861349066586,0.00878204510685057,8.782045106850571,2.2435689652405144,0.035704320670763096,new continuation diagnostic; historical gradients unavailable,0.0,False
17,0,convexity,3.3355259985529873e-06,3.3355259985529874e-07,7.853293787209175e-07,7.853293787209176e-08,2.4525442462271363e-08,3.392519416881674e-10,new continuation diagnostic; historical gradients unavailable,0.0,False
17,20,teacher,1.1564636275725918e-10,0.2891159068931479,7.876201496298073e-09,19.69050374074518,8.132307492406298,0.07872385735632473,new continuation diagnostic; historical gradients unavailable,0.0,False
17,20,iv,8.29602665374613e-07,0.20740066634365326,9.143122591181011e-07,0.22857806477952528,0.09810517360395388,0.0008068046570465298,new continuation diagnostic; historical gradients unavailable,0.0,False
17,20,pde,0.0003159129248619163,0.3159129248619163,0.004870553173150696,4.870553173150696,1.1212965171710079,0.018993479885315922,new continuation diagnostic; historical gradients unavailable,0.0,False
17,20,convexity,1.68354266714322e-06,1.68354266714322e-07,3.451196875909178e-07,3.4511968759091784e-08,1.2044165430168327e-08,1.4860409014151577e-10,new continuation diagnostic; historical gradients unavailable,0.0,False
17,40,teacher,1.6658009895997983e-10,0.4164502473999495,8.141723775627804e-09,20.354309439069507,8.593925581922786,0.08001009332208149,new continuation diagnostic; historical gradients unavailable,0.0,False
17,40,iv,1.1435661590859502e-06,0.28589153977148757,5.804229323591349e-07,0.14510573308978372,0.06060935480166962,0.000597578249127953,new continuation diagnostic; historical gradients unavailable,0.0,False
17,40,pde,0.0064430953007211696,6.443095300721169,0.010042651905294938,10.042651905294937,2.2582040125760776,0.04103107276321624,new continuation diagnostic; historical gradients unavailable,0.0,False
17,40,convexity,5.462047484400506e-06,5.462047484400507e-07,1.3147518259177747e-06,1.3147518259177748e-07,4.4007302895167145e-08,5.476274744146921e-10,new continuation diagnostic; historical gradients unavailable,0.0,False
17,60,teacher,1.4248033597137363e-10,0.356200839928434,2.349523401188326e-09,5.873808502970814,2.2939548877443876,0.026294750684772796,new continuation diagnostic; historical gradients unavailable,0.0,False
17,60,iv,2.5186266678291492e-05,6.296566669572873,8.727804682109199e-06,2.1819511705272996,0.8166653656319464,0.009033907451981594,new continuation diagnostic; historical gradients unavailable,0.0,False
17,60,pde,0.000525469412321884,0.5254694123218839,0.0018888548348236461,1.888854834823646,0.4573644900036037,0.0077658034994093515,new continuation diagnostic; historical gradients unavailable,0.0,False
17,60,convexity,0.0,0.0,0.0,0.0,0.0,0.0,new continuation diagnostic; historical gradients unavailable,0.0,False
17,80,teacher,1.174784676774975e-10,0.2936961691937437,1.1358137110107655e-08,28.395342775269132,12.276180006149852,0.1075113879315467,new continuation diagnostic; historical gradients unavailable,0.0,False
17,80,iv,7.887748491120009e-07,0.19719371227800023,2.059718850482065e-06,0.5149297126205162,0.16706609144522827,0.002067582270573268,new continuation diagnostic; historical gradients unavailable,0.0,False
17,80,pde,0.00021897105841592825,0.21897105841592826,0.0009928742164108848,0.9928742164108847,0.2428004690331598,0.003988407844927337,new continuation diagnostic; historical gradients unavailable,0.0,False
17,80,convexity,3.830740049497464e-07,3.8307400494974643e-08,1.7530320948368605e-07,1.7530320948368606e-08,4.38104110021035e-09,7.66415991535303e-11,new continuation diagnostic; historical gradients unavailable,0.0,False
