method,seed,surface_id,parameter_range_scaled_rmse,noisy_price_rmse,clean_latent_price_rmse
model1,11,R2_FINAL_interior_train_008990,0.13079773836101388,0.0009660006522803346,0.0006247809553006742
model1,11,R2_FINAL_interior_train_008991,0.1758279958947919,0.0006297504262599631,0.00019893263505258994
model1,11,R2_FINAL_interior_train_008992,0.11480350943768039,0.001079121326546617,0.0006652177874597928
model1,11,R2_FINAL_interior_train_008993,0.1208818517858541,0.0007085173941199039,0.00033702238192876024
model1,11,R2_FINAL_interior_train_008995,0.1308647065410958,0.0008100470701092962,0.00027080892050750316
model1,11,R2_FINAL_interior_train_008996,0.10908446359925585,0.0011980986216429971,0.0008690197363505565
model1,11,R2_FINAL_interior_train_008997,0.11490400235601977,0.0010679897049501166,0.0007741208686803189
model1,11,R2_FINAL_interior_train_008998,0.14149586838868083,0.001035754195701374,0.0004055127863763999
model1,11,R2_FINAL_interior_train_008999,0.1288048985312734,0.0009249862223898785,0.0005096388411195582
model1,11,R2_FINAL_interior_train_009000,0.14055253401730203,0.0006767323241973444,0.000644399493119964
model1,11,R2_FINAL_interior_train_009001,0.15286677553155925,0.0007256178789556279,0.00048190345724520724
model1,11,R2_FINAL_interior_train_009002,0.13048986211366279,0.0007959370629220687,6.908937514036563e-05
model1,11,R2_FINAL_interior_train_009003,0.1317763849024879,0.0004551029723538289,5.116963429708904e-05
model1,11,R2_FINAL_interior_train_009004,0.11467610834740052,0.0009831294008600766,0.0003680966539203261
model1,11,R2_FINAL_interior_train_009005,0.10803856658665979,0.0008559163871209805,0.00020517532372526089
model1,11,R2_FINAL_interior_train_009006,0.14289479324879592,0.001276371539141973,0.0008318196618656319
model1,11,R2_FINAL_interior_train_009008,0.13455251819828348,0.000984103286716489,0.0005651320365792226
model1,11,R2_FINAL_interior_train_009009,0.14491037633985676,0.0007283768999221965,0.0004873516541257797
model1,11,R2_FINAL_interior_train_009010,0.11603335202199518,0.0008475156908267247,0.0008926461606867494
model1,11,R2_FINAL_interior_train_009011,0.09747600471134765,0.0009569787460188188,0.0007462079952700261
model1,11,R2_FINAL_interior_train_009012,0.127974333461272,0.0007229039312246201,0.00041736149750707443
model1,11,R2_FINAL_interior_train_009013,0.11184097177776156,0.0014084024113968125,0.0011338053160443516
model1,11,R2_FINAL_interior_train_009014,0.11900174093928705,0.0009415360174505081,0.0006652266310144995
model1,11,R2_FINAL_interior_train_009016,0.12415655144375762,0.00091572845377642,0.00044120028345651373
model1,11,R2_FINAL_interior_train_009017,0.1639641754616854,0.0006125652693863869,0.00016327703945733402
model1,11,R2_FINAL_interior_train_009019,0.16146251734333672,0.0008150925686805908,0.00050561578607157
model1,11,R2_FINAL_interior_train_009020,0.13992545146381805,0.0008896594226793837,0.000559068352903084
model1,11,R2_FINAL_interior_train_009021,0.14221479635062398,0.0004822817187710235,0.00031612546043243534
model1,11,R2_FINAL_interior_train_009022,0.20148423687608588,0.0007009291099965487,0.0005041915945376839
model1,11,R2_FINAL_interior_train_009023,0.10841439169181595,0.0011967285191163302,0.000530215023577523
model1,11,R2_FINAL_interior_train_009024,0.13246267677521917,0.0009556445027364835,0.0006506729112894422
model1,11,R2_FINAL_interior_train_009026,0.15261264738808333,0.0008970502086020244,0.0005198796047232941
model1,11,R2_FINAL_interior_train_009027,0.07009225844242041,0.0010261051351556326,0.0007215531477852124
model1,11,R2_FINAL_interior_train_009029,0.15752537434685177,0.0006136751261068584,0.0005651640511183958
model1,11,R2_FINAL_interior_train_009030,0.15687954048388153,0.0005691770375745449,0.00017987687624780062
model1,11,R2_FINAL_interior_train_009031,0.15057292895446464,0.0008504373635338493,0.0005945127024096442
model1,11,R2_FINAL_interior_train_009032,0.18647537054124838,0.0004285969346971292,0.00015874784183076551
model1,11,R2_FINAL_interior_train_009033,0.16527550174970845,0.0009930418331838922,0.00011015557915569636
model1,11,R2_FINAL_interior_train_009034,0.13720275756477637,0.0008643535478013999,0.0006454138048812446
model1,11,R2_FINAL_interior_train_009035,0.09239026789988514,0.0010377464749948774,0.0010722529839885034
model1,11,R2_FINAL_interior_train_009036,0.1138068517650263,0.000967858740868001,0.0005658024334812504
model1,11,R2_FINAL_interior_train_009037,0.1271793657341173,0.001414110997268499,0.0011202992513515272
model1,11,R2_FINAL_interior_train_009038,0.15795660735610656,0.0008167693826603817,0.0005179088751965556
model1,11,R2_FINAL_interior_train_009039,0.12035790922379547,0.0006609476968641742,0.00021394448739362593
model1,11,R2_FINAL_interior_train_009040,0.14958960262412987,0.0009242725630189805,0.0007944893803874484
model1,11,R2_FINAL_interior_train_009041,0.18456471760931703,0.0013126325279085094,0.0008295666074037002
model1,11,R2_FINAL_interior_train_009042,0.15181513741424574,0.0007478054336850345,0.00021295220939722436
model1,11,R2_FINAL_interior_train_009043,0.14080225094139592,0.0007139616537925759,0.00016749866339346047
model1,11,R2_FINAL_interior_train_009044,0.09688473496933563,0.0014161985596204065,0.0010303928880985094
model1,11,R2_FINAL_interior_train_009045,0.12716357564021344,0.0007150722014951172,0.00015131686724986483
model1,11,R2_FINAL_interior_train_009047,0.14924527350489372,0.0009469175038950213,0.0004295274189756276
