asset,expiries,BS_EXPIRY,SH,DH,sh_gain,sh_ci,sh_sig,bs_sig,sh_wins
BTC,7.181818181818182,8.132777160245324,2.495868988493713,1.856854723216172,0.5653287979755707,"[0.3859123411485242, 0.7073258242390171]",True,True,23/29
ETH,6.566037735849057,8.758753247559373,3.233065066063175,2.3185500322182215,0.9633045813734483,"[0.6088945011567228, 1.461759295533213]",True,True,22/27
SOL,4.21875,10.14971847856139,3.824130553725067,3.6724098300963597,0.2686670575511154,"[-0.10098369599324776, 1.13869735961095]",False,True,8/16
HYPE,4.218181818181818,4.681694495695442,3.60579112596521,3.257970862993568,0.2729677054887813,"[-0.058652815120193005, 0.7392886235469636]",False,True,36/55
XRP,4.076923076923077,13.092330756680227,5.2417532164484415,5.72352920680434,0.5879807820240349,"[-0.08094032532340886, 1.8187030296603415]",False,True,12/18
