case,quote,strike_over_spot,maturity_days,calibration_quote,parameter,price_derivative,noise_scaled_tolerance_sensitivity,conditional_information_contribution
0,0,0.8,30.0,True,kappa_s,3.1412983992960006e-05,0.05821250260590945,2.2472360055647403e-09
0,0,0.8,30.0,True,theta_s,0.0005971214159469079,0.2254741708102339,8.842065825474536e-09
0,0,0.8,30.0,True,sigma_s,-0.00013877504581908144,0.11303339545461909,1.3095977161523697e-07
0,0,0.8,30.0,True,rho_s,-0.00034276759178732217,1.0148619374617578,8.041554274832319e-09
0,0,0.8,30.0,True,v0_s,0.02286390211963457,6.434832054746227,5.1162821549323985e-09
0,0,0.8,30.0,True,kappa_f,-1.966471780922186e-05,0.42247742488233514,4.296634754409446e-05
0,0,0.8,30.0,True,theta_f,0.0059142075791276255,1.3390897659670284,3.2451750936121732e-09
0,0,0.8,30.0,True,sigma_f,5.135735715525126e-05,0.06671550664979738,1.5409458829669208e-07
0,0,0.8,30.0,True,rho_f,-0.0004878016554264514,1.4442769532024688,2.183163210252416e-06
0,0,0.8,30.0,True,v0_f,0.01808171176317383,5.6129919888060575,6.274703161610871e-09
0,1,0.8200000000000001,30.0,True,kappa_s,4.448545029708752e-05,0.05058635097994875,6.718264348543263e-07
0,1,0.8200000000000001,30.0,True,theta_s,0.0008446131435517323,0.19570425623143925,1.8998873167586723e-07
0,1,0.8200000000000001,30.0,True,sigma_s,-0.00019848631800748091,0.09920515828757338,4.3771220160628025e-07
0,1,0.8200000000000001,30.0,True,rho_s,-0.00042992022187044723,0.7810941210454976,1.1330416332153751e-05
0,1,0.8200000000000001,30.0,True,v0_s,0.03234744879800977,5.586440569934561,9.903042151307451e-08
0,1,0.8200000000000001,30.0,True,kappa_f,-2.728404242267413e-05,0.3596936653316229,4.281764160349403e-05
0,1,0.8200000000000001,30.0,True,theta_f,0.008346964403932941,1.1597115258510098,6.308355114920422e-08
0,1,0.8200000000000001,30.0,True,sigma_f,3.526440404157398e-05,0.028110524887195093,3.738756874455428e-07
0,1,0.8200000000000001,30.0,True,rho_f,-0.0006075876211641892,1.1038864765341945,0.00032523532116438876
0,1,0.8200000000000001,30.0,True,v0_f,0.0254878103976649,4.855072200352718,1.2056752984577871e-07
0,2,0.8400000000000001,30.0,False,kappa_s,6.01220771299241e-05,0.043681041424634075,1.1543325575929488e-06
0,2,0.8400000000000001,30.0,False,theta_s,0.0011411081111701842,0.16893236947903825,3.93008831588941e-07
0,2,0.8400000000000001,30.0,False,sigma_s,-0.00026526688986270035,0.08470915901931464,1.1456431648644255e-06
0,2,0.8400000000000001,30.0,False,rho_s,-0.0005081239030690867,0.5898325927852399,2.0380089464432442e-05
0,2,0.8400000000000001,30.0,False,v0_s,0.0437163336885229,4.823724846182651,2.0617927762566314e-07
0,2,0.8400000000000001,30.0,False,kappa_f,-3.625472455467938e-05,0.30537419064538884,0.00016207255034233483
0,2,0.8400000000000001,30.0,False,theta_f,0.011253719292365447,0.998989988376288,1.3129776250459441e-07
0,2,0.8400000000000001,30.0,False,sigma_f,5.6988042220933784e-06,0.0029024168673626454,1.0402741719113617e-06
0,2,0.8400000000000001,30.0,False,rho_f,-0.0007132879118759536,0.827987929564023,0.0005585950360045692
0,2,0.8400000000000001,30.0,False,v0_f,0.03432846005114698,4.177929742300683,2.512645176144517e-07
0,3,0.86,30.0,True,kappa_s,7.776680506033648e-05,0.03747433129145486,1.0118646068348392e-06
0,3,0.86,30.0,True,theta_s,0.0014766847818160345,0.1449954945662145,3.9564570735884267e-07
0,3,0.86,30.0,True,sigma_s,-0.0003323274653263017,0.0703872806691058,1.2711107013867954e-06
0,3,0.86,30.0,True,rho_s,-0.0005653537106429507,0.4352712832478599,1.9328032250575632e-05
0,3,0.86,30.0,True,v0_s,0.056594926804977574,4.141874394380706,2.0781383756246135e-07
0,3,0.86,30.0,True,kappa_f,-4.626426264983121e-05,0.2584603875029908,0.0002164355518786992
0,3,0.86,30.0,True,theta_f,0.014535000312326435,0.8557772370202407,1.323285398883271e-07
0,3,0.86,30.0,True,sigma_f,-3.662627441239786e-05,0.01237227099723761,1.1795056094096393e-06
0,3,0.86,30.0,True,rho_f,-0.0007883526737362612,0.6069603391455913,0.0005355132308572721
0,3,0.86,30.0,True,v0_f,0.04430122891352045,3.576046946743478,2.5343968924838755e-07
0,4,0.88,30.0,True,kappa_s,9.653047012397062e-05,0.03193703977264729,6.33819605154586e-07
0,4,0.88,30.0,True,theta_s,0.001835220097165297,0.12372158292167196,2.904823823684347e-07
0,4,0.88,30.0,True,sigma_s,-0.0003909369712542766,0.05684932321138554,1.0092821740409042e-06
0,4,0.88,30.0,True,rho_s,-0.0005903825336359865,0.31207851607302267,1.3539403003139361e-05
0,4,0.88,30.0,True,v0_s,0.07036980842123153,3.535870847833208,1.5255738807810696e-07
0,4,0.88,30.0,True,kappa_f,-5.6841226965601444e-05,0.21802304112011214,0.00020477025311299208
0,4,0.88,30.0,True,theta_f,0.018031438325392807,0.7288978323149418,9.714376049183811e-08
0,4,0.88,30.0,True,sigma_f,-8.834612762398497e-05,0.020489662288002565,9.514844506838156e-07
0,4,0.88,30.0,True,rho_f,-0.0008176450993716382,0.43221039707047026,0.0003879927135396142
0,4,0.88,30.0,True,v0_f,0.054923316763535124,3.0439309525795153,1.8620634703412302e-07
0,5,0.9,30.0,False,kappa_s,0.00011527707679592943,0.027034264378392882,3.048848598147282e-07
0,5,0.9,30.0,False,theta_s,0.0021958801096593154,0.10493184279546665,1.7304152078879843e-07
0,5,0.9,30.0,False,sigma_s,-0.00043178275855457996,0.04450668164499967,6.541035862094326e-07
0,5,0.9,30.0,False,rho_s,-0.0005748942817622446,0.215406956395119,7.665750278640197e-06
0,5,0.9,30.0,False,v0_s,0.0842459025689214,3.000545218107879,9.080519843173878e-08
