case,noise_model,condition_number,smallest_singular_value,numerical_rank,effective_rank,noise_resolved_tolerance_directions,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5,eigenvalue_6,eigenvalue_7,eigenvalue_8,eigenvalue_9,eigenvalue_10
0,unweighted,28211.80929269089,5.783050141201173e-07,10,10,,0.00026618022907054316,1.9732681284294933e-05,1.398242925977655e-06,1.0643284225924982e-06,5.628408240252288e-08,7.209849019648234e-09,1.742447207483488e-09,2.6133643874033675e-10,7.266235440076371e-11,3.344366893564691e-13
0,1% time value,23607.952237620306,0.0011114514985114498,10,10,4,688.490048235923,60.02845470637737,12.042905010684946,2.8734539782188597,0.2826038871772481,0.038678062522836454,0.021408970945460553,0.0010219521934101703,0.00020460925828822606,1.2353244335433473e-06
1,unweighted,3312.0091252902416,4.020704516840155e-06,10,10,,0.00017733210322030631,5.797299912296751e-06,1.6557585125888805e-06,4.034114301461786e-07,6.781671414321438e-08,1.715629424767879e-08,8.19975619941338e-09,5.715662857596179e-10,9.911086465760294e-11,1.6166064811738824e-11
1,1% time value,768.8090151949399,0.04463270626779177,10,10,6,1177.452445609465,242.85455326494952,164.53430803727449,6.224165942752387,3.3801576023737305,2.016903336492958,0.252523671723228,0.03444874798611991,0.005355658942612704,0.001992078468786979
2,unweighted,11940.72644486807,1.8304302454594398e-06,10,10,,0.0004777138852430193,7.59758775509725e-06,6.108581482953205e-07,3.0706431128533027e-07,1.9981982891451293e-08,7.677809434101485e-09,2.642656562994816e-10,5.5385893229986425e-11,1.6348139660616832e-11,3.350474883492705e-12
2,1% time value,7797.1331452460345,0.004412086235355958,10,10,3,1183.471721822797,18.53531195893513,3.247542042131003,0.8862810983615222,0.12215347689063637,0.029344621949346728,0.0024626833163510775,0.00012948214336930405,5.9375877598000814e-05,1.946650494821751e-05
3,unweighted,18281.13916038101,4.78923706320849e-07,10,10,,7.665476892561907e-05,9.284708229619246e-06,4.0462082458628836e-07,3.542608962300517e-07,8.885568286221415e-09,8.437496230446258e-09,5.440074752034067e-10,1.0529450711458381e-11,3.8027963699658025e-12,2.293679164760988e-13
3,1% time value,13088.527692200503,0.003247241218212471,10,10,4,1806.386564246639,82.96278043111124,30.327544585281093,6.103610164491961,0.11148195220367196,0.10493390242109185,0.04397588359336836,8.583867264950691e-05,4.9917960414674814e-05,1.0544575529258014e-05
4,unweighted,6414.063891807847,1.5944383843600392e-06,10,10,,0.0001045880450753877,2.8702717023185546e-06,6.950828175190959e-07,1.348599221074053e-07,3.945536206185236e-08,2.2184468757130944e-09,8.626598588358082e-10,3.3060025191163213e-10,8.333354191705409e-12,2.5422337615206524e-12
4,1% time value,5961.954406972244,0.006957042452296436,10,10,4,1720.3888054698518,157.86867927075275,92.08686344293446,2.1557243575740315,0.8751892058649029,0.49950993473097866,0.1412972974666202,0.003599070338942548,0.001908245180188289,4.84004396830548e-05
5,unweighted,11038.322982676267,1.1461441523502856e-06,10,10,,0.00016006068853831088,7.0184127169012934e-06,6.892474375866367e-07,3.2491983958241173e-07,3.3316045404839275e-08,4.4488465301603374e-09,5.46374934397998e-10,2.439686561644284e-10,7.047650320919461e-11,1.3136464179667546e-12
5,1% time value,5196.436136321425,0.006438750184580108,10,10,4,1119.47484459717,147.2231021692271,45.01288442845087,5.863950548593034,0.31397402584863626,0.1302315261816948,0.0790237272900972,0.003688416119930853,0.00048653400268043525,4.145750393943038e-05
6,unweighted,6577.1530855669425,2.0062049187475195e-06,10,10,,0.00017411110925570614,7.951215823203658e-06,1.8699331246181595e-06,2.0130068529042436e-07,3.518126467225659e-08,2.2750348366063612e-08,1.0662086388648979e-08,5.1490482723874797e-11,2.8726615780886695e-11,4.024858176006741e-12
6,1% time value,3199.1023421568016,0.009757479107798249,10,10,5,974.3871045381226,182.15533138241622,126.36138919357181,2.7413250025997784,1.407483162800324,0.24871142895719203,0.1928910354793669,0.0007457513392295773,0.00013005530567711406,9.520839853911931e-05
7,unweighted,2042.919373658797,7.379179199350562e-06,10,10,,0.00022725767966845034,4.886388804834471e-06,1.7038996485740623e-06,6.301805786489848e-07,9.570662794457517e-08,2.0641357431909624e-08,7.062615252935847e-09,7.592119874679689e-10,1.4387471750050514e-10,5.445228565612801e-11
7,1% time value,533.5115823261223,0.06603054062948402,10,10,6,1241.0160854645285,292.40193634644817,214.76806266967168,7.764360144724061,6.131171886116613,2.0742120140559046,0.3821671388827013,0.0695410922906659,0.012167292606127407,0.00436003229582194
8,unweighted,20545.68322699072,7.772859546818431e-07,10,10,,0.00025503677981037045,1.4588824767701175e-05,3.583234830661862e-07,3.037909843259025e-07,9.865537817343564e-09,6.797683096114445e-09,1.8008001180534485e-10,3.968703701308898e-11,1.0198817107313012e-11,6.041734553456643e-13
8,1% time value,19240.670292674324,0.0015504134426821833,10,10,4,889.8881951513416,45.22772209513765,3.8101925264893026,1.0111902080572144,0.04066730772944155,0.02790895517699372,0.0035428891835068226,0.00024800331870815156,1.7605094829470538e-05,2.40378184324962e-06
9,unweighted,16371.041835899116,1.0657143013650285e-06,10,10,,0.00030439269400643577,1.1756750010138385e-05,4.1761894122748867e-07,2.2293051381931928e-07,6.3892040563439234e-09,1.838689657840954e-09,3.660716665329419e-11,1.9115970469281702e-11,5.279374743786714e-12,1.1357469721339508e-12
9,1% time value,17709.06083215501,0.0017679040154595068,10,10,4,980.1858393970102,28.714300721732105,1.935051323169221,1.7087715460817594,0.04433802269603906,0.005337251658952189,0.0005795809359017761,0.00020122800291544606,2.1064096800718473e-05,3.125484607877848e-06
10,unweighted,10849.051679122325,1.7307153052896566e-06,10,10,,0.0003525614506982426,5.372399210663762e-06,9.121582825601555e-07,3.637308322507161e-07,4.8615914044795386e-08,8.443502593937064e-09,3.802367159153669e-09,1.0647758595740962e-09,2.557965593443533e-11,2.995375467963869e-12
10,1% time value,3903.9242549992996,0.010474894674544448,10,10,5,1672.2534290834333,329.2285978375082,117.63460196241938,9.367456964927037,2.3621787983233675,0.34536963669582665,0.08118475547573868,0.007592329546062797,0.001823597657524356,0.00010972341844279965
11,unweighted,6458.075433850872,1.8987344941390291e-06,10,10,,0.00015036082762742063,1.3921986857237136e-05,1.5451526577391493e-06,5.237121291011383e-07,3.0027873227746485e-08,4.484491698812759e-09,2.708418438004292e-09,7.272342444052356e-10,5.108617013705062e-11,3.6051926792333947e-12
11,1% time value,4537.810805764712,0.006832409280975742,10,10,4,961.2592186843241,85.95870527772061,37.50213220676398,3.8947393432855355,0.5030001080077147,0.06341137969336294,0.042714595454336424,0.005143238719754188,0.0013605147820043794,4.668181658276345e-05
12,unweighted,29735.25172605768,5.407869033629835e-07,10,10,,0.00025858038019414343,1.0348440739140623e-05,8.86218152974513e-07,6.747597056181508e-07,3.240999763852889e-08,3.875046450831978e-09,8.414101814623263e-10,1.3096501260120371e-10,3.230997136595411e-11,2.9245047484892483e-13
12,1% time value,5909.842605658346,0.004772748436802752,10,10,4,795.5892704074893,95.78221605031318,36.68254992757638,2.3264633370035486,0.21708344825163195,0.11702424911235534,0.006055207288638243,0.0006788808909316116,0.00013103875248658592,2.2779127641003114e-05
13,unweighted,33742.66064130792,4.946267485138567e-07,10,10,,0.000278556851691958,7.985356205898276e-06,3.090928861642521e-07,2.4022379289871096e-07,9.476530810793382e-09,5.073456912002352e-09,6.127871020984707e-11,5.707026988574118e-11,9.516046003115387e-12,2.4465562034539006e-13
13,1% time value,21267.302710338186,0.001643492360783268,10,10,4,1221.6877097895929,31.0236433316924,2.7562473821243128,1.134796475647168,0.07775077560605036,0.0265921036121658,0.0007901850487744693,0.00024179800573198446,2.812262272549204e-05,2.7010671399529593e-06
14,unweighted,3743.7792413933503,2.757999728373894e-06,10,10,,0.00010661269011920271,7.464548160230965e-06,2.0853458502609893e-06,8.841810437101283e-08,1.4626123121591291e-08,5.942104763942802e-09,4.495243315793764e-10,3.167706516673989e-10,7.3053022077702e-11,7.606562501710472e-12
14,1% time value,1635.9385995905452,0.029416525660284083,10,10,4,2315.8837445022723,193.52662659854363,70.79854275661057,1.4881102066032792,0.5378668776726359,0.26235352722737104,0.028897499865504217,0.0044622738272145765,0.003445970606493892,0.0008653319819221519
15,unweighted,21947.86860891663,7.552921416218832e-07,10,10,,0.00027479867574329144,1.4461714784156127e-05,9.804474560933057e-07,1.938405687984267e-07,1.68177478779905e-08,1.5292568596166492e-09,6.617858450003472e-10,1.1584718924089505e-10,2.2809318754203087e-12,5.704662191957708e-13
15,1% time value,15246.467260548898,0.002215726403494429,10,10,3,1141.2235286762104,39.79171913040041,6.266609098303582,0.5553529858182628,0.08242253590842573,0.008119334129436558,0.00262436009413552,0.0006219100775993885,1.4169633208286068e-05,4.909443495142358e-06
16,unweighted,5853.366815347844,1.829251483503056e-06,10,10,,0.00011464584350928721,1.1310401249146287e-05,9.782529725410847e-07,5.686773225674447e-07,8.26559956443675e-08,1.5084400165947525e-08,2.567095552578354e-09,4.949467181931928e-10,3.1268006975021007e-10,3.346160989898131e-12
16,1% time value,4451.27830130926,0.00775251871106472,10,10,5,1190.8447382903166,95.11444947688388,68.62580104550192,7.215244058569493,1.4203920643606096,0.4531086436528114,0.27899212136528795,0.004149867728480973,0.0025422637794295395,6.010154636540859e-05
17,unweighted,7674.278716640458,2.2394944373662273e-06,10,10,,0.00029537593681558204,6.575740910032958e-06,6.982377457119877e-07,5.231821435274801e-07,1.8483452165048287e-08,1.1062001718231386e-08,1.7089283650027744e-09,3.6077955456196635e-10,2.9666048842645955e-11,5.015335334994275e-12
17,1% time value,4394.640949668359,0.009633289238272396,10,10,5,1792.2393015458165,225.09714474209645,140.08624252465899,6.008494230130563,1.6185151802451734,0.20052052672321746,0.15575806775342746,0.01537439375000779,0.005722821393591278,9.280026154821476e-05
18,unweighted,7826.389434508464,2.239457365659677e-06,10,10,,0.00030719101305033046,7.4971326233422395e-06,7.530620320701461e-07,3.7039523962662875e-07,2.3107458173836406e-08,7.2632627015978115e-09,1.1256442333982992e-09,5.055840189959444e-11,1.1669857696103615e-11,5.01516929260738e-12
18,1% time value,3875.1436100110755,0.008782867391792034,10,10,4,1158.372542747503,177.52024598604856,72.02146804034876,2.570358779901737,0.22419364188682123,0.13115962023311786,0.01361182000813139,0.0009771996727044906,9.38113092262338e-05,7.71387596218038e-05
